a,mgra,parkarea,hstallsoth,hstallssam,dstallsoth,dstallssam,mstallsoth,mstallssam
109,4308,1,33,56,33,56,33,56
110,4309,1,33,33,33,33,33,33
111,4310,1,22,22,65,65,65,65
112,4311,2,2,2,2,2,2,2
113,4312,2,1,1,1,1,1,1
114,4313,2,2,2,2,2,2,2
115,4347,2,1,77,1,77,1,77
116,4353,2,1,78,1,78,1,78
117,4348,2,1,74,1,74,1,74
118,4354,2,5,5,0,0,0,0
119,4355,2,2,102,2,102,2,102
120,4349,2,2,151,2,151,2,151
121,4356,2,2,153,2,153,2,153
122,4358,1,12,32,7,27,7,27
123,4359,1,47,47,20,20,20,20
124,4352,1,24,32,24,32,24,32
125,4360,1,29,29,29,29,29,29
126,5179,1,10,28,10,28,10,28
127,5180,1,42,87,40,85,40,85
128,5181,1,1131,1131,1131,1131,1131,1131
129,5182,1,40,40,40,40,40,40
130,5186,1,40,49,40,49,40,49
131,5183,1,16,16,16,16,16,16
132,5184,1,70,70,101,101,101,101
133,5187,1,33,33,33,33,33,33
134,5188,1,16,16,16,16,16,16
135,5189,1,40,40,40,40,40,40
136,5191,1,342,342,342,342,342,342
137,5192,1,0,70,0,70,0,70
138,5190,1,23,23,23,23,23,23
139,4378,1,58,58,226,226,226,226
140,4379,1,7,7,225,225,225,225
141,4380,1,7,7,225,225,225,225
142,4381,1,24,24,242,242,242,242
143,4382,1,11,11,229,229,229,229
144,4383,1,19,19,19,19,19,19
145,4384,1,0,0,168,168,168,168
146,4385,1,33,33,201,201,201,201
147,4386,1,15,15,15,15,15,15
148,4387,1,1006,1006,1430,1430,41,41
149,4388,1,16,60,16,60,16,60
150,4389,2,2,2,2,2,2,2
151,4393,1,12,12,12,12,12,12
152,4390,1,37,37,107,107,107,107
153,4391,1,20,20,20,20,20,20
154,4392,2,1,1,1,1,1,1
155,4362,2,2,152,2,152,2,152
156,4364,2,2,2,2,2,2,2
157,4405,1,13,13,13,13,13,13
158,4406,1,42,42,42,42,42,42
159,4400,1,175,2279,159,2263,229,2333
160,4413,1,41,41,19,19,19,19
161,4407,1,27,27,27,27,27,27
162,4400,1,11,11,11,11,11,11
163,4408,1,36,36,36,36,36,36
164,4401,1,39,39,17,17,17,17
165,4402,1,33,51,33,51,33,51
166,4409,1,43,43,43,43,43,43
167,4410,1,0,70,0,70,0,70
168,4414,1,53,144,19,110,19,110
169,4403,1,60,60,0,0,0,0
170,4404,1,27,27,0,0,0,0
171,4415,1,19,53,19,53,19,53
172,4411,1,2,2,2,2,2,2
173,4417,1,16,16,16,16,16,16
174,4418,1,20,20,20,20,20,20
175,4419,1,31,57,24,50,24,50
176,4420,1,42,42,33,33,33,33
177,4421,1,20,82,5,67,5,67
178,4422,1,42,42,5,5,5,5
179,4423,1,28,82,0,54,0,54
180,4424,1,17,35,0,18,0,18
181,4425,1,34,256,9,231,9,231
182,4426,1,25,25,9,9,9,9
183,4427,1,0,5,0,5,0,5
184,4428,1,14,14,64,64,0,0
185,4429,1,29,29,0,0,0,0
186,4430,1,133,133,86,86,86,86
187,4431,1,27,52,0,25,0,25
188,4432,1,40,51,0,11,0,11
189,4433,1,62,94,54,86,10,42
190,4434,1,19,31,80,92,80,92
191,4435,1,34,107,20,93,20,93
192,4436,1,232,232,212,212,212,212
193,4437,1,41,41,10,10,10,10
194,4438,1,6,62,0,56,0,56
195,4439,1,17,91,0,74,0,74
196,4440,1,16,16,0,0,0,0
197,4441,1,21,21,21,21,21,21
198,4442,1,24,24,24,24,24,24
199,4443,1,9,34,9,34,9,34
200,4444,1,84,84,84,84,84,84
201,4445,1,33,33,23,23,23,23
202,4446,1,19,19,7,7,7,7
203,4447,1,5,5,0,0,0,0
204,4448,1,34,78,34,78,34,78
205,4449,1,46,46,36,36,36,36
206,4450,1,66,73,108,115,41,48
207,4451,1,27,146,7,126,7,126
208,4468,1,26,57,14,45,14,45
209,4469,1,23,50,130,157,100,127
210,4453,1,16,16,16,16,16,16
211,4470,1,27,70,19,62,19,62
212,4461,1,43,43,19,19,19,19
213,4454,1,32,59,137,164,137,164
214,4455,1,20,39,27,46,7,26
215,4472,1,27,45,51,69,10,28
216,4456,1,45,45,10,10,10,10
217,4463,1,14,14,7,7,7,7
218,4464,1,55,106,55,106,55,106
219,4465,1,92,267,75,250,54,229
220,4457,1,626,703,633,710,600,677
221,4458,1,9,61,50,102,0,52
222,4466,1,392,392,387,387,387,387
223,4467,1,156,269,150,263,150,263
224,4459,1,329,329,318,318,318,318
225,4484,1,665,665,654,654,594,594
226,4485,1,206,206,180,180,180,180
227,4473,1,24,24,233,233,233,233
228,4474,1,7,412,389,794,389,794
229,4475,1,12,131,0,119,0,119
230,4486,1,626,1297,622,1293,622,1293
231,4487,1,699,780,692,773,692,773
232,4488,1,277,344,274,341,274,341
233,4478,1,7,13,0,6,0,6
234,4479,1,9,307,0,298,0,298
235,4489,1,49,155,49,155,14,120
236,4490,1,101,101,177,177,177,177
237,4480,1,87,87,66,66,66,66
238,4481,1,20,470,805,1255,805,1255
239,4491,1,16,239,360,583,0,223
240,4483,1,79,147,62,130,62,130
241,4492,1,19,274,0,255,0,255
242,4493,1,28,125,0,97,0,97
243,4494,1,21,88,50,117,0,67
244,4495,1,10,161,52,203,0,151
245,4496,1,9,54,0,45,0,45
246,4497,1,42,42,0,0,0,0
247,4498,1,15,105,0,90,0,90
248,4499,1,0,130,61,191,0,130
249,22692,1,10,70,0,60,0,60
250,22693,1,35,69,0,34,0,34
251,22685,1,10,71,0,61,0,61
252,22686,1,37,131,0,94,0,94
253,22687,1,45,85,0,40,0,40
254,22694,1,520,588,500,568,0,68
255,22689,1,10,10,37,37,0,0
256,22688,1,20,100,82,162,18,98
257,22691,1,124,124,120,120,120,120
258,4523,1,0,76,0,76,0,76
259,4524,1,182,182,0,0,0,0
260,4525,1,2189,2189,0,0,2189,2189
261,4500,1,0,70,0,70,0,70
262,4526,1,10,10,0,0,0,0
263,4527,1,0,73,0,73,0,73
264,4528,1,5,5,0,0,0,0
265,4529,1,332,332,330,330,330,330
266,4530,1,384,384,379,379,379,379
267,4501,1,9,9,0,0,0,0
268,4531,1,28,98,0,70,0,70
269,4532,1,32,104,0,72,0,72
270,4502,1,12,12,0,0,0,0
271,4533,1,87,353,80,346,80,346
272,4534,1,7,7,0,0,0,0
273,4535,1,48,66,0,18,0,18
274,4536,1,26,141,10,125,10,125
275,4537,1,37,37,10,10,10,10
276,4538,1,11,11,0,0,0,0
277,4539,1,0,71,0,71,0,71
278,4503,1,29,131,0,102,0,102
279,4541,1,30,30,0,0,0,0
280,4542,1,15,116,52,153,0,101
281,4543,1,220,220,207,207,207,207
282,4544,1,6,531,0,525,0,525
283,4545,1,385,385,385,385,385,385
284,4546,1,9,121,0,112,0,112
285,4547,1,36,36,71,71,0,0
286,4548,1,212,223,198,209,198,209
287,4504,1,44,44,0,0,0,0
288,4505,1,0,69,0,69,0,69
289,4506,1,1586,1923,1557,1894,1557,1894
290,4507,1,21,100,130,209,130,209
291,4508,1,58,58,71,71,53,53
292,4549,1,224,224,0,0,0,0
293,4509,1,0,0,0,0,0,0
294,4510,1,493,493,964,964,814,814
295,4511,1,0,0,0,0,0,0
296,4512,1,256,256,256,256,256,256
297,4513,1,20,20,0,0,0,0
298,4514,1,24,120,170,266,0,96
299,4515,1,2,2,0,0,0,0
300,4516,1,6,6,0,0,0,0
301,4518,1,24,66,0,42,0,42
302,4519,1,7,7,7,7,7,7
303,4521,1,45,56,0,11,0,11
304,4522,1,19,19,19,19,19,19
305,22655,1,10,10,10,10,10,10
306,22656,1,25,25,17,17,17,17
307,22657,1,65,114,65,114,65,114
308,22658,1,1675,1675,1675,1675,50,50
309,22659,1,37,37,37,37,37,37
310,22660,1,39,39,196,196,39,39
311,22661,1,28,28,28,28,28,28
312,22662,1,16,16,1,1,1,1
313,22663,1,222,222,217,217,217,217
314,22664,1,18,18,15,15,15,15
315,4520,1,35,35,35,35,35,35
316,22665,1,64,64,64,64,64,64
317,22666,1,40,48,0,8,0,8
318,22668,1,7,7,7,7,7,7
319,22667,1,227,227,225,225,225,225
320,4517,1,21,68,0,47,0,47
321,22669,1,35,114,42,121,0,79
322,22670,1,19,19,14,14,14,14
323,22672,1,10,10,0,0,0,0
324,22673,1,88,88,88,88,88,88
325,22675,2,4,271,4,271,4,271
326,22676,2,3,193,3,193,3,193
327,22677,1,555,555,23,23,23,23
328,4440,1,37,37,37,37,37,37
329,22678,1,0,595,0,595,0,595
330,22679,1,31,31,31,31,31,31
331,22680,2,4,239,4,239,4,239
332,22681,1,96,236,96,236,96,236
333,22682,1,25,67,51,93,29,71
334,22683,1,160,189,160,189,52,81
335,22684,1,131,131,131,131,131,131
336,4550,1,47,200,209,362,209,362
337,4551,1,1439,1439,1436,1436,156,156
338,4558,1,81,81,73,73,73,73
339,4559,1,0,1330,0,1330,0,1330
340,4552,1,15,15,9,9,9,9
341,4562,1,229,229,222,222,222,222
342,4563,1,29,29,29,29,29,29
343,4553,1,21,172,7,158,7,158
344,4554,1,30,30,0,0,0,0
345,4555,1,262,326,319,383,225,289
346,4556,1,510,510,502,502,502,502
347,11668,1,130,274,64,208,64,208
348,4572,1,710,710,685,685,685,685
349,4573,1,1250,1250,1247,1247,1247,1247
350,4574,1,2,2,0,0,0,0
351,4575,1,612,612,608,608,608,608
352,4576,1,385,385,385,385,385,385
353,4577,1,753,1515,753,1515,753,1515
354,4578,1,769,769,764,764,764,764
355,4579,1,16,68,0,52,0,52
356,4580,1,12,12,0,0,0,0
357,4581,1,0,68,0,68,0,68
358,4582,1,0,66,0,66,0,66
359,4583,1,19,19,0,0,0,0
360,4584,1,0,68,0,68,0,68
361,11672,1,0,69,0,69,0,69
362,4585,1,23,38,0,15,0,15
363,11684,1,4,15,0,11,0,11
364,11693,1,21,47,0,26,0,26
365,11694,1,30,30,0,0,0,0
366,11695,1,0,6,0,6,0,6
367,11700,1,37,37,204,204,24,24
368,11702,1,5,5,0,0,0,0
369,11706,1,13,13,0,0,0,0
370,22671,1,0,36,0,36,0,36
371,4591,1,5,5,0,0,0,0
372,4592,1,6,6,6,6,6,6
373,4593,1,24,24,10,10,10,10
374,4587,1,9,9,186,186,186,186
375,4588,1,18,18,0,0,0,0
376,4595,1,42,174,0,132,0,132
377,4596,1,154,163,146,155,10,19
378,4589,1,10,10,10,10,10,10
379,4598,1,19,69,92,142,19,69
380,4590,1,19,153,7,141,7,141
381,4600,1,7,7,7,7,7,7
382,4601,1,4,4,0,0,0,0
383,4602,1,248,248,239,239,33,33
384,4610,1,33,86,45,98,0,53
385,4611,1,17,17,17,17,17,17
386,4603,1,1036,1036,1036,1036,36,36
387,4604,1,0,72,0,72,0,72
388,4605,1,0,71,0,71,0,71
389,4606,1,0,71,0,71,0,71
390,4607,1,9,9,9,9,9,9
391,4612,1,22,26,22,26,22,26
392,4608,1,259,259,259,259,39,39
393,4613,1,7,7,7,7,7,7
394,4614,1,123,123,123,123,123,123
395,5226,2,130,130,130,130,130,130
396,5218,1,2,2,2,2,2,2
397,5230,1,222,379,217,374,217,374
398,5218,1,0,45,0,45,0,45
399,5240,1,72,72,60,60,0,0
400,5229,1,25,25,25,25,25,25
401,5231,1,75,75,71,71,71,71
402,5232,1,0,45,0,45,0,45
403,5233,1,0,38,0,38,0,38
404,5234,1,26,46,7,27,7,27
405,5235,1,27,79,75,127,27,79
406,5236,1,20,20,9,9,9,9
407,5237,1,48,84,71,107,48,84
408,5238,1,14,14,14,14,14,14
409,5239,1,29,37,162,170,15,23
410,5241,1,16,82,0,66,0,66
411,5219,1,30,30,0,0,0,0
412,22674,1,18,32,0,14,0,14
413,4616,1,69,159,44,134,44,134
414,4617,1,59,59,59,59,31,31
415,4618,1,241,267,207,233,207,233
416,4619,1,10,224,0,214,0,214
417,4620,1,251,304,272,325,272,325
418,4621,1,30,47,0,17,0,17
419,4622,1,9,109,0,100,0,100
420,4623,1,37,72,135,170,135,170
421,4624,1,28,100,0,72,0,72
422,4625,1,14,41,0,27,0,27
423,4654,2,0,6,0,6,0,6
424,4656,2,2,121,2,121,2,121
425,4658,2,2,117,2,117,2,117
426,4660,1,0,295,0,295,0,295
427,4655,1,69,69,69,69,69,69
428,4657,1,59,59,59,59,59,59
429,4666,1,78,101,64,87,64,87
430,4667,1,32,32,32,32,32,32
431,4668,1,32,32,32,32,32,32
432,4669,1,41,41,41,41,41,41
433,4670,1,29,29,17,17,17,17
434,4671,1,37,37,16,16,16,16
435,4672,1,42,42,42,42,42,42
436,4673,1,30,30,7,7,7,7
437,4674,1,0,71,0,71,0,71
438,4675,1,24,154,87,217,87,217
439,4676,1,38,38,31,31,31,31
440,4696,1,19,27,0,8,0,8
441,4689,1,0,139,0,139,0,139
442,4690,1,24,77,17,70,17,70
443,4697,1,33,33,33,33,33,33
444,4695,1,33,46,33,46,33,46
445,4691,1,21,235,17,231,17,231
446,4684,1,14,130,0,116,0,116
447,4685,1,15,57,0,42,0,42
448,4698,1,27,59,0,32,0,32
449,4692,1,14,101,33,120,33,120
450,4693,1,20,54,10,44,10,44
451,4686,1,28,68,24,64,24,64
452,4699,1,7,98,7,98,7,98
453,4700,1,18,54,3,39,3,39
454,4701,1,10,10,10,10,10,10
455,4687,1,24,106,24,106,24,106
456,4702,1,39,103,31,95,31,95
457,4688,1,31,31,31,31,31,31
458,4709,1,59,59,59,59,59,59
459,4710,1,50,115,50,115,50,115
460,4711,1,28,61,28,61,28,61
461,4712,1,17,69,17,69,17,69
462,4713,1,14,270,0,256,0,256
463,4703,1,20,49,15,44,15,44
464,4714,1,20,139,16,135,16,135
465,4704,1,32,96,9,73,9,73
466,4705,1,6,6,6,6,6,6
467,4706,1,2,2,2,2,2,2
468,4707,2,20,83,1,64,1,64
469,4708,1,5,5,5,5,5,5
470,4715,1,0,16,0,16,0,16
471,4716,2,3,76,3,76,3,76
472,5205,2,403,403,403,403,3,3
473,5194,2,13,34,13,34,13,34
474,5195,1,10,16,10,16,10,16
475,5201,1,25,25,23,23,23,23
476,5202,1,23,118,14,109,14,109
477,5207,2,3,13,3,13,3,13
478,5196,1,32,155,32,155,32,155
479,5203,1,16,55,16,55,16,55
480,5197,1,24,40,24,40,24,40
481,5198,1,35,35,35,35,35,35
482,5199,1,9,9,9,9,9,9
483,5200,1,5,67,5,67,5,67
484,5204,1,3,3,0,0,0,0
485,5208,1,10,20,0,10,0,10
486,5209,1,26,64,7,45,7,45
487,4717,1,2,13,2,13,2,13
488,4723,1,0,74,0,74,0,74
489,4721,1,4,21,0,17,0,17
490,4718,1,0,70,0,70,0,70
491,4719,1,22,22,39,39,39,39
492,4720,1,24,24,14,14,14,14
493,4724,1,31,31,19,19,19,19
494,4725,1,20,38,20,38,20,38
495,4726,1,19,30,19,30,19,30
496,4733,1,0,59,0,59,0,59
497,4728,1,7,7,7,7,7,7
498,4734,1,32,64,32,64,32,64
499,4729,1,71,131,66,126,16,76
500,4735,1,67,134,29,96,14,81
501,4730,1,78,78,49,49,49,49
502,4731,1,34,167,15,148,15,148
503,4737,1,60,924,22,886,22,886
504,4738,1,13,292,13,292,13,292
505,4740,1,11,11,11,11,11,11
506,4741,1,26,49,26,49,26,49
507,4755,1,164,164,164,164,164,164
508,4742,1,2,5,0,3,0,3
509,4756,1,0,18,0,18,0,18
510,4743,1,43,43,14,14,14,14
511,4744,1,16,64,14,62,14,62
512,4748,1,6,179,0,173,0,173
513,4749,1,32,32,0,0,0,0
514,4750,1,41,212,0,171,0,171
515,4758,1,24,24,0,0,0,0
516,4751,1,640,640,640,640,640,640
517,4759,1,196,209,196,209,196,209
518,4752,1,33,194,33,194,33,194
519,4753,1,3,3,3,3,3,3
520,4746,2,10,93,0,83,0,83
521,4754,2,0,16,0,16,0,16
522,4761,2,28,28,0,0,0,0
523,4762,2,10,40,0,30,0,30
524,4763,2,11,87,0,76,0,76
525,4764,2,9,39,0,30,0,30
526,4765,2,12,30,3,21,3,21
527,4766,2,1,7,1,7,1,7
528,4767,2,5,17,5,17,5,17
529,4768,2,6,6,6,6,6,6
530,4769,2,2,88,2,88,2,88
531,4770,2,13,53,0,40,0,40
532,4771,1,6,6,0,0,0,0
533,4772,1,0,86,0,86,0,86
534,4773,1,7,107,0,100,0,100
535,4774,1,22,32,17,27,17,27
536,4775,1,38,92,24,78,24,78
537,4776,1,23,130,0,107,0,107
538,4777,1,10,56,0,46,0,46
539,4778,1,22,154,0,132,0,132
540,4779,2,3,21,3,21,3,21
541,4780,2,1,32,1,32,1,32
542,4781,2,1,33,1,33,1,33
543,4782,2,1,33,1,33,1,33
544,4783,2,1,33,1,33,1,33
545,4784,2,1,32,1,32,1,32
546,4785,2,0,14,0,14,0,14
547,4786,2,1,65,1,65,1,65
548,4787,2,3,60,3,60,3,60
549,4788,1,29,46,17,34,17,34
550,4789,1,29,69,19,59,19,59
551,4790,1,24,24,24,24,24,24
552,4791,1,14,14,14,14,14,14
553,4792,1,29,36,26,33,26,33
554,4793,1,26,33,24,31,24,31
555,4794,2,1,38,1,38,1,38
556,4795,2,0,28,0,28,0,28
557,4796,2,1,41,1,41,1,41
558,4797,2,0,24,0,24,0,24
559,4798,2,1,36,1,36,1,36
560,4799,2,0,26,0,26,0,26
561,4807,2,1,34,1,34,1,34
562,4808,2,1,1,1,1,1,1
563,4809,2,1,40,1,40,1,40
564,4810,2,1,1,1,1,1,1
565,4811,2,2,2,2,2,2,2
566,4800,2,0,5,0,5,0,5
567,4801,2,2,2,2,2,2,2
568,4802,2,3,3,3,3,3,3
569,4803,2,1,65,1,65,1,65
570,4804,2,2,20,2,20,2,20
571,4805,1,23,23,23,23,23,23
572,4806,1,49,49,49,49,49,49
573,4828,1,11,11,11,11,11,11
574,4829,1,67,67,67,67,67,67
575,4819,1,19,19,19,19,19,19
576,4860,2,7,80,0,73,0,73
577,4861,2,0,38,0,38,0,38
578,4862,2,33,78,2,47,2,47
579,4866,2,3,23,3,23,3,23
580,4867,2,4,4,4,4,4,4
581,4876,2,0,426,0,426,0,426
582,4877,2,1,95,1,95,1,95
583,4878,2,2,152,2,152,2,152
584,4978,2,1,76,1,76,1,76
585,4979,2,1,61,1,61,1,61
586,4980,2,1,34,1,34,1,34
587,4879,2,1,33,1,33,1,33
588,4880,2,1,66,1,66,1,66
589,4980,2,2,2,2,2,2,2
590,4884,2,1,34,1,34,1,34
591,4885,2,1,32,1,32,1,32
592,4886,2,1,33,1,33,1,33
593,4887,2,1,32,1,32,1,32
594,4888,2,6,16,6,16,6,16
595,4889,2,1,41,1,41,1,41
596,4890,2,1,70,1,70,1,70
597,4891,2,2,2,2,2,2,2
598,4892,2,19,54,1,36,1,36
599,4893,2,0,18,0,18,0,18
600,4894,2,4,4,0,0,0,0
601,4895,2,1,33,1,33,1,33
602,4896,2,12,12,0,0,0,0
603,4897,2,1,32,1,32,1,32
604,4928,2,2,117,2,117,2,117
605,4929,2,0,8,0,8,0,8
606,4930,2,1,66,1,66,1,66
607,4931,2,2,158,2,158,2,158
608,4932,2,1,63,1,63,1,63
609,4933,2,0,21,0,21,0,21
610,4935,2,2,141,2,141,2,141
611,4939,2,1,1,391,391,1,1
612,4940,2,1,1,1601,1601,1,1
613,4941,2,1,1,1,1,1,1
614,11202,1,20,20,177,177,20,20
615,11206,2,4,263,4,263,4,263
616,11219,2,0,7,0,7,0,7
617,11212,2,0,10,0,10,0,10
618,11203,2,0,23,0,23,0,23
