a,dest,poe,mgra_entry,mgra_return,poe_taz
310,352,0,7090,7090,1
311,344,0,7090,7090,1
312,348,0,7090,7090,1
313,349,0,7090,7090,1
314,350,0,7090,7090,1
315,336,0,7090,7090,1
316,351,0,7090,7090,1
317,336,0,7090,7090,1
318,328,0,7090,7090,1
319,354,0,7090,7090,1
320,355,0,7090,7090,1
321,353,0,7090,7090,1
322,356,0,7090,7090,1
323,357,0,7090,7090,1
324,358,0,7090,7090,1
325,328,0,7090,7090,1
326,339,0,7090,7090,1
327,360,0,7090,7090,1
328,328,0,7090,7090,1
329,361,0,7090,7090,1
330,364,0,7090,7090,1
331,366,0,7090,7090,1
332,367,0,7090,7090,1
333,369,0,7090,7090,1
334,370,0,7090,7090,1
335,365,0,7090,7090,1
336,371,0,7090,7090,1
337,396,0,7090,7090,1
338,372,0,7090,7090,1
339,375,0,7090,7090,1
340,373,0,7090,7090,1
341,374,0,7090,7090,1
342,376,0,7090,7090,1
343,373,0,7090,7090,1
344,377,0,7090,7090,1
345,390,0,7090,7090,1
346,379,0,7090,7090,1
347,13,0,7090,7090,1
348,378,0,7090,7090,1
349,373,0,7090,7090,1
350,380,0,7090,7090,1
351,381,0,7090,7090,1
352,382,0,7090,7090,1
353,363,0,7090,7090,1
354,384,0,7090,7090,1
355,385,0,7090,7090,1
356,386,0,7090,7090,1
357,384,0,7090,7090,1
358,388,0,7090,7090,1
359,397,0,7090,7090,1
360,389,0,7090,7090,1
361,391,0,7090,7090,1
362,393,0,7090,7090,1
363,395,0,7090,7090,1
364,398,0,7090,7090,1
365,403,0,7090,7090,1
366,392,0,7090,7090,1
367,400,0,7090,7090,1
368,365,0,7090,7090,1
369,414,0,7090,7090,1
370,405,0,7090,7090,1
371,406,0,7090,7090,1
372,408,0,7090,7090,1
373,407,0,7090,7090,1
374,409,0,7090,7090,1
375,396,0,7090,7090,1
376,411,0,7090,7090,1
377,424,0,7090,7090,1
378,413,0,7090,7090,1
379,417,0,7090,7090,1
380,419,0,7090,7090,1
381,419,0,7090,7090,1
382,415,0,7090,7090,1
383,418,0,7090,7090,1
384,414,0,7090,7090,1
385,420,0,7090,7090,1
386,416,0,7090,7090,1
387,421,0,7090,7090,1
388,422,0,7090,7090,1
389,411,0,7090,7090,1
390,423,0,7090,7090,1
391,427,0,7090,7090,1
392,407,0,7090,7090,1
393,428,0,7090,7090,1
394,429,0,7090,7090,1
395,421,0,7090,7090,1
396,430,0,7090,7090,1
397,408,0,7090,7090,1
398,422,0,7090,7090,1
399,431,0,7090,7090,1
400,449,0,7090,7090,1
401,432,0,7090,7090,1
402,433,0,7090,7090,1
403,434,0,7090,7090,1
404,436,0,7090,7090,1
405,432,0,7090,7090,1
406,414,0,7090,7090,1
407,437,0,7090,7090,1
408,438,0,7090,7090,1
409,439,0,7090,7090,1
410,440,0,7090,7090,1
411,441,0,7090,7090,1
412,442,0,7090,7090,1
413,443,0,7090,7090,1
414,422,0,7090,7090,1
415,444,0,7090,7090,1
416,445,0,7090,7090,1
417,447,0,7090,7090,1
418,423,0,7090,7090,1
419,432,0,7090,7090,1
420,450,0,7090,7090,1
421,461,0,7090,7090,1
422,451,0,7090,7090,1
423,452,0,7090,7090,1
424,453,0,7090,7090,1
425,454,0,7090,7090,1
426,455,0,7090,7090,1
427,446,0,7090,7090,1
428,456,0,7090,7090,1
429,457,0,7090,7090,1
430,463,0,7090,7090,1
431,464,0,7090,7090,1
432,421,0,7090,7090,1
433,458,0,7090,7090,1
434,459,0,7090,7090,1
435,460,0,7090,7090,1
436,462,0,7090,7090,1
437,463,0,7090,7090,1
438,466,0,7090,7090,1
439,480,0,7090,7090,1
440,469,0,7090,7090,1
441,489,0,7090,7090,1
442,465,0,7090,7090,1
443,472,0,7090,7090,1
444,473,0,7090,7090,1
445,470,0,7090,7090,1
446,475,0,7090,7090,1
447,476,0,7090,7090,1
448,487,0,7090,7090,1
449,479,0,7090,7090,1
450,481,0,7090,7090,1
451,482,0,7090,7090,1
452,483,0,7090,7090,1
453,485,0,7090,7090,1
454,484,0,7090,7090,1
455,486,0,7090,7090,1
456,488,0,7090,7090,1
457,478,0,7090,7090,1
458,474,0,7090,7090,1
459,492,0,7090,7090,1
460,491,0,7090,7090,1
461,467,0,7090,7090,1
462,493,0,7090,7090,1
463,521,0,7090,7090,1
464,461,0,7090,7090,1
465,496,0,7090,7090,1
466,499,0,7090,7090,1
467,497,0,7090,7090,1
468,498,0,7090,7090,1
469,487,0,7090,7090,1
470,500,0,7090,7090,1
471,501,0,7090,7090,1
472,502,0,7090,7090,1
473,504,0,7090,7090,1
474,505,0,7090,7090,1
475,506,0,7090,7090,1
476,501,0,7090,7090,1
477,507,0,7090,7090,1
478,510,0,7090,7090,1
479,509,0,7090,7090,1
480,503,0,7090,7090,1
481,487,0,7090,7090,1
482,490,0,7090,7090,1
483,509,0,7090,7090,1
484,551,0,7090,7090,1
485,514,0,7090,7090,1
486,515,0,7090,7090,1
487,516,0,7090,7090,1
488,565,0,7090,7090,1
489,519,0,7090,7090,1
490,537,0,7090,7090,1
491,494,0,7090,7090,1
492,520,0,7090,7090,1
493,522,0,7090,7090,1
494,523,0,7090,7090,1
495,524,0,7090,7090,1
496,513,0,7090,7090,1
497,526,0,7090,7090,1
498,525,0,7090,7090,1
499,523,0,7090,7090,1
500,554,0,7090,7090,1
501,527,0,7090,7090,1
502,528,0,7090,7090,1
503,533,0,7090,7090,1
504,490,0,7090,7090,1
505,531,0,7090,7090,1
506,530,0,7090,7090,1
507,534,0,7090,7090,1
508,532,0,7090,7090,1
509,570,0,7090,7090,1
510,535,0,7090,7090,1
511,564,0,7090,7090,1
512,538,0,7090,7090,1
513,540,0,7090,7090,1
514,539,0,7090,7090,1
515,541,0,7090,7090,1
516,581,0,7090,7090,1
517,543,0,7090,7090,1
518,582,0,7090,7090,1
519,546,0,7090,7090,1
520,485,0,7090,7090,1
521,548,0,7090,7090,1
522,549,0,7090,7090,1
523,557,0,7090,7090,1
524,537,0,7090,7090,1
525,548,0,7090,7090,1
526,552,0,7090,7090,1
527,553,0,7090,7090,1
528,555,0,7090,7090,1
529,578,0,7090,7090,1
530,559,0,7090,7090,1
531,556,0,7090,7090,1
532,561,0,7090,7090,1
533,587,0,7090,7090,1
534,543,0,7090,7090,1
535,562,0,7090,7090,1
536,584,0,7090,7090,1
537,558,0,7090,7090,1
538,552,0,7090,7090,1
539,566,0,7090,7090,1
540,539,0,7090,7090,1
541,567,0,7090,7090,1
542,569,0,7090,7090,1
543,568,0,7090,7090,1
544,563,0,7090,7090,1
545,571,0,7090,7090,1
546,575,0,7090,7090,1
547,573,0,7090,7090,1
548,577,0,7090,7090,1
549,574,0,7090,7090,1
550,599,0,7090,7090,1
551,580,0,7090,7090,1
552,567,0,7090,7090,1
553,602,0,7090,7090,1
554,595,0,7090,7090,1
555,588,0,7090,7090,1
556,609,0,7090,7090,1
557,591,0,7090,7090,1
558,603,0,7090,7090,1
559,594,0,7090,7090,1
560,598,0,7090,7090,1
561,597,0,7090,7090,1
562,601,0,7090,7090,1
563,604,0,7090,7090,1
564,605,0,7090,7090,1
565,607,0,7090,7090,1
566,579,0,7090,7090,1
567,586,0,7090,7090,1
568,603,0,7090,7090,1
569,617,0,7090,7090,1
570,613,0,7090,7090,1
571,590,0,7090,7090,1
572,595,0,7090,7090,1
573,631,0,7090,7090,1
574,623,0,7090,7090,1
575,608,0,7090,7090,1
576,614,0,7090,7090,1
577,648,0,7090,7090,1
578,614,0,7090,7090,1
579,616,0,7090,7090,1
580,618,0,7090,7090,1
581,627,0,7090,7090,1
582,620,0,7090,7090,1
583,621,0,7090,7090,1
584,593,0,7090,7090,1
585,624,0,7090,7090,1
586,625,0,7090,7090,1
587,626,0,7090,7090,1
588,619,0,7090,7090,1
589,595,0,7090,7090,1
590,632,0,7090,7090,1
591,629,0,7090,7090,1
592,630,0,7090,7090,1
593,642,0,7090,7090,1
594,654,0,7090,7090,1
595,600,0,7090,7090,1
596,612,0,7090,7090,1
597,636,0,7090,7090,1
598,637,0,7090,7090,1
599,639,0,7090,7090,1
600,662,0,7090,7090,1
601,624,0,7090,7090,1
602,641,0,7090,7090,1
603,634,0,7090,7090,1
604,645,0,7090,7090,1
605,644,0,7090,7090,1
606,663,0,7090,7090,1
607,646,0,7090,7090,1
608,651,0,7090,7090,1
609,655,0,7090,7090,1
610,653,0,7090,7090,1
611,657,0,7090,7090,1
612,658,0,7090,7090,1
613,665,0,7090,7090,1
614,659,0,7090,7090,1
615,660,0,7090,7090,1
616,661,0,7090,7090,1
617,652,0,7090,7090,1
618,664,0,7090,7090,1
619,657,0,7090,7090,1
620,666,0,7090,7090,1
621,670,0,7090,7090,1
622,671,0,7090,7090,1
623,672,0,7090,7090,1
624,673,0,7090,7090,1
625,675,0,7090,7090,1
626,674,0,7090,7090,1
627,677,0,7090,7090,1
628,676,0,7090,7090,1
629,680,0,7090,7090,1
630,667,0,7090,7090,1
631,681,0,7090,7090,1
632,670,0,7090,7090,1
633,683,0,7090,7090,1
634,682,0,7090,7090,1
635,654,0,7090,7090,1
636,706,0,7090,7090,1
637,678,0,7090,7090,1
638,685,0,7090,7090,1
639,686,0,7090,7090,1
640,687,0,7090,7090,1
641,690,0,7090,7090,1
642,694,0,7090,7090,1
643,691,0,7090,7090,1
644,689,0,7090,7090,1
645,696,0,7090,7090,1
646,656,0,7090,7090,1
647,698,0,7090,7090,1
648,699,0,7090,7090,1
649,695,0,7090,7090,1
650,701,0,7090,7090,1
651,700,0,7090,7090,1
652,702,0,7090,7090,1
653,703,0,7090,7090,1
654,704,0,7090,7090,1
655,679,0,7090,7090,1
656,707,0,7090,7090,1
657,709,0,7090,7090,1
658,710,0,7090,7090,1
659,711,0,7090,7090,1
660,712,0,7090,7090,1
661,714,0,7090,7090,1
662,715,0,7090,7090,1
663,717,0,7090,7090,1
664,719,0,7090,7090,1
665,720,0,7090,7090,1
666,718,0,7090,7090,1
667,721,0,7090,7090,1
668,723,0,7090,7090,1
669,722,0,7090,7090,1
670,724,0,7090,7090,1
671,725,0,7090,7090,1
672,729,0,7090,7090,1
673,716,0,7090,7090,1
674,672,0,7090,7090,1
675,730,0,7090,7090,1
676,731,0,7090,7090,1
677,699,0,7090,7090,1
678,732,0,7090,7090,1
679,749,0,7090,7090,1
680,735,0,7090,7090,1
681,736,0,7090,7090,1
682,737,0,7090,7090,1
683,738,0,7090,7090,1
684,697,0,7090,7090,1
685,739,0,7090,7090,1
686,740,0,7090,7090,1
687,741,0,7090,7090,1
688,742,0,7090,7090,1
689,743,0,7090,7090,1
690,739,0,7090,7090,1
691,744,0,7090,7090,1
692,745,0,7090,7090,1
693,747,0,7090,7090,1
694,748,0,7090,7090,1
695,750,0,7090,7090,1
696,752,0,7090,7090,1
697,751,0,7090,7090,1
698,734,0,7090,7090,1
699,754,0,7090,7090,1
700,755,0,7090,7090,1
701,758,0,7090,7090,1
702,759,0,7090,7090,1
