coefficient_name,value,constrain,purpose,mode,auto_suff,model_counts,target_counts,difference,percent_diff,coef_change,new_value,converged
coef_age4155_sr2_maint,-0.82262,F,,,,,,,,,-0.82262,True
coef_age4155_sr3p_maint,-1.93552,F,,,,,,,,,-1.93552,True
coef_age4155_nmot_maint,-1.34146,F,,,,,,,,,-1.34146,True
coef_age4155_tran_maint,-1.39312,F,,,,,,,,,-1.39312,True
coef_age5664_sr2_maint,-0.95497,F,,,,,,,,,-0.95497,True
coef_age5664_sr3p_maint,-2.16777,F,,,,,,,,,-2.16777,True
coef_age5664_nmot_maint,-1.3422,F,,,,,,,,,-1.3422,True
coef_age5664_tran_maint,-1.46184,F,,,,,,,,,-1.46184,True
coef_age65pl_sr2_maint,-1.06222,F,,,,,,,,,-1.06222,True
coef_age65pl_sr3p_maint,-2.1471,F,,,,,,,,,-2.1471,True
coef_age65pl_nmot_maint,-2.32071,F,,,,,,,,,-2.32071,True
coef_age65pl_tran_maint,-2.86495,F,,,,,,,,,-2.86495,True
coef_female_sr2_maint,0.323867,F,,,,,,,,,0.323867,True
coef_female_sr3p_maint,0.34258,F,,,,,,,,,0.34258,True
coef_female_tran_maint,0.0,F,,,,,,,,,0.0,True
coef_female_nmot_maint,0.0,F,,,,,,,,,0.0,True
coef_ageund16_bike_maint,0.0,F,,,,,,,,,0.0,True
coef_age1624_bike_maint,0.0,F,,,,,,,,,0.0,True
coef_age4155_bike_maint,-0.68811,F,,,,,,,,,-0.68811,True
coef_age5664_bike_maint,-0.60566,F,,,,,,,,,-0.60566,True
coef_age65pl_bike_maint,-1.45757,F,,,,,,,,,-1.45757,True
coef_female_bike_maint,-1.12343,F,,,,,,,,,-1.12343,True
coef_inc100plus_bike_maint,0.603652,F,,,,,,,,,0.603652,True
coef_LUnorm_bike_maint,0.078368,F,,,,,,,,,0.078368,True
coef_oMlCoast_bike_maint,-1.33664,F,,,,,,,,,-1.33664,True
coef_oMlCoast2p_bike_maint,1.256542,F,,,,,,,,,1.256542,True
