Supercolonia_ID,Population,Distance_poe0,Distance_poe1,Distance_poe2,Distance_poe3,Distance_poe4
512,717,7.61,6.32,24.02,7.32,29.02
513,650,7.38,5.82,23.52,6.82,28.52
514,512,8.22,6.99,23.85,7.99,28.85
515,976,8.13,6.9,24.07,7.9,29.07
516,578,7.94,6.71,24.21,7.71,29.21
517,217,8.11,6.83,23.82,7.83,28.82
518,625,7.9,6.33,23.63,7.33,28.63
519,374,8.94,7.23,22.99,8.23,27.99
520,36,8.68,7.4,23.25,8.4,28.25
521,4240,8.79,7.56,23.69,8.56,28.69
522,1144,9.21,7.87,23.63,8.87,28.63
523,383,9.15,7.8,23.57,8.8,28.57
525,5751,9.86,8.52,24.28,9.52,29.28
527,8,9.68,8.33,22.84,9.33,27.84
528,240,9.62,8.27,23.02,9.27,28.02
529,117,9.56,8.22,22.95,9.22,27.95
530,841,9.14,7.79,23.56,8.79,28.56
531,677,9.1,7.76,23.52,8.76,28.52
532,319,9,7.66,23.42,8.66,28.42
534,217,8.44,6.02,23.34,7.02,28.34
535,90,8.44,6.02,23.34,7.02,28.34
536,169,8.31,5.9,23.21,6.9,28.21
537,1699,8.42,6,23.32,7,28.32
538,77,7.88,5.46,22.96,6.46,27.96
539,587,8.44,6.02,23.34,7.02,28.34
541,1193,8.92,6.5,23.19,7.5,28.19
544,195,8.87,6.45,23.14,7.45,28.14
546,978,9.62,7.23,21.87,8.23,26.87
547,439,9.33,6.94,22.16,7.94,27.16
548,651,9.16,6.77,22.32,7.77,27.32
549,551,9.31,7.03,22.51,8.03,27.51
550,3063,9.76,7.49,22.27,8.49,27.27
551,2027,9.71,7.32,21.78,8.32,26.78
553,262,9.62,7.35,21.81,8.35,26.81
554,248,9.67,7.4,22.05,8.4,27.05
555,228,9.39,7.12,22.04,8.12,27.04
556,54,8.79,6.88,22.65,7.88,27.65
558,2019,9.93,4.66,18.8,5.66,23.8
559,2731,9.73,4.46,17.56,5.46,22.56
560,388,9.54,4.27,18.11,5.27,23.11
561,3903,9.22,3.95,18.43,4.95,23.43
562,3520,10.29,5.65,18.79,6.65,23.79
567,8462,11.02,6.48,18.69,7.48,23.69
568,3912,10.16,4.92,19.37,5.92,24.37
579,5560,11.32,6.13,18.56,7.13,23.56
583,1761,11.03,7.15,18.95,8.15,23.95
584,1497,11.09,7.21,19.2,8.21,24.2
586,20724,10.64,6.37,19.6,7.37,24.6
588,1966,11.99,8.11,19.37,9.11,24.37
589,2190,11.54,7.65,19.22,8.65,24.22
593,698,12.64,8.75,18.56,9.75,23.56
604,77,6.55,8.19,28.02,9.19,33.02
605,400,7.74,13.38,34.46,14.38,39.46
606,288,5.38,7.16,26.99,8.16,31.99
607,290,2.14,6.79,27.11,7.79,32.11
608,445,4.56,5.74,25.72,6.74,30.72
609,4728,11.13,8.77,20.32,9.77,25.32
610,7518,13.28,9.4,17.94,10.4,22.94
612,785,7.33,12.97,33.61,13.97,38.61
616,13940,8.48,3.21,18.68,4.21,23.68
619,0,12.62,10.34,20.8,11.34,25.8
628,1718,7.01,6.51,25.04,7.51,30.04
629,544,8.98,5.1,21.21,6.1,26.21
630,3021,9.14,5.25,20.56,6.25,25.56
631,161,9.55,5.67,20.34,6.67,25.34
636,194,5.15,8.82,28.65,9.82,33.65
638,2761,5.96,11.5,32.17,12.5,37.17
641,4007,7.32,4,22.13,5,27.13
642,4095,8.84,6.42,22.68,7.42,27.68
644,607,8.17,2.9,19.44,3.9,24.44
647,428,7.14,5.58,23.27,6.58,28.27
648,959,3.41,8.08,28.49,9.08,33.49
653,1211,7.06,6.55,25.08,7.55,30.08
657,6095,11.45,7.41,18.83,8.41,23.83
659,1803,10.93,5.66,18.13,6.66,23.13
663,1187,6.62,12.26,33.34,13.26,38.34
664,732,6.29,11.93,33,12.93,38
665,616,6.59,12.23,33.3,13.23,38.3
666,180,6.66,12.3,33.38,13.3,38.38
667,4107,7.03,12.67,33.75,13.67,38.75
668,2336,5.97,11.61,32.69,12.61,37.69
671,915,10.88,5.61,18.07,6.61,23.07
673,6787,11.61,6.34,17.99,7.34,22.99
675,984,3.9,9.54,30.62,10.54,35.62
677,237,7.6,3.17,20.79,4.17,25.79
679,8794,8.29,3.86,19.74,4.86,24.74
682,2111,6.09,5.62,25.45,6.62,30.45
683,2942,5.91,6.73,26.56,7.73,31.56
684,1891,6.29,6.26,26.09,7.26,31.09
685,939,5.24,5.29,25.12,6.29,30.12
693,2181,9.71,4.44,20.66,5.44,25.66
699,174,5.03,7.86,27.69,8.86,32.69
706,7646,12.71,8.68,18,9.68,23
707,17563,13.33,8.79,18.47,9.79,23.47
708,13468,12.54,8.5,18.28,9.5,23.28
