Purpose,DurationLo,DurationHi,Outbound,Inbound,Percent
3,8,24,0,1,0.078174712
3,8,24,0,2,0.102543838
3,8,24,0,3,0.085245029
3,8,24,1,0,0.118538849
3,8,24,1,1,0.058878337
3,8,24,1,2,0.05728131
3,8,24,1,3,0.055281837
3,8,24,2,0,0.065491291
3,8,24,2,1,0.035166604
3,8,24,2,2,0.019753293
3,8,24,2,3,0
3,8,24,3,0,0.051067624
3,8,24,3,1,0.143414732
3,8,24,3,2,0
3,8,24,3,3,0.013835086
4,0,4,0,0,0.2771703
4,0,4,0,1,0.145938802
4,0,4,0,2,0.108012068
4,0,4,0,3,0.032826541
4,0,4,1,0,0.185695365
4,0,4,1,1,0.066848268
4,0,4,1,2,0
4,0,4,1,3,0
4,0,4,2,0,0.123487515
4,0,4,2,1,0.026597008
4,0,4,2,2,0
4,0,4,2,3,0
4,0,4,3,0,0.033424134
4,0,4,3,1,0
4,0,4,3,2,0
4,0,4,3,3,0
4,4,8,0,0,0.210711627
4,4,8,0,1,0.177572389
4,4,8,0,2,0.136455913
4,4,8,0,3,0.020495073
4,4,8,1,0,0.092748335
4,4,8,1,1,0.157469763
4,4,8,1,2,0.05415818
4,4,8,1,3,0.031785547
4,4,8,2,0,0.069423281
4,4,8,2,1,0.009835978
4,4,8,2,2,0
4,4,8,2,3,0
4,4,8,3,0,0.039343914
4,4,8,3,1,0
4,4,8,3,2,0
4,4,8,3,3,0
4,8,24,0,0,0.212337668
4,8,24,0,1,0.203151753
4,8,24,0,2,0.018437359
4,8,24,0,3,0.083435026
4,8,24,1,0,0.086018775
4,8,24,1,1,0.015047585
4,8,24,1,2,0
4,8,24,1,3,0.077691349
4,8,24,2,0,0.071169667
4,8,24,2,1,0.122799427
4,8,24,2,2,0
4,8,24,2,3,0
4,8,24,3,0,0.083237887
4,8,24,3,1,0.026673503
4,8,24,3,2,0
4,8,24,3,3,0
5,0,4,0,0,0.300071256
5,0,4,0,1,0.074195074
5,0,4,0,2,0.121646589
5,0,4,0,3,0.012795585
5,0,4,1,0,0.202811486
5,0,4,1,1,0.057015232
5,0,4,1,2,0.02051811
5,0,4,1,3,0
5,0,4,2,0,0.156763601
5,0,4,2,1,0.012795585
5,0,4,2,2,0
5,0,4,2,3,0
5,0,4,3,0,0.04138748
5,0,4,3,1,0
5,0,4,3,2,0
5,0,4,3,3,0
5,4,8,0,0,0.179946604
5,4,8,0,1,0.102452256
5,4,8,0,2,0.064452358
5,4,8,0,3,0.096052573
5,4,8,1,0,0.139271782
5,4,8,1,1,0.085719337
5,4,8,1,2,0.016545633
5,4,8,1,3,0.046003169
5,4,8,2,0,0.112008353
5,4,8,2,1,0.052975012
5,4,8,2,2,0.017866275
5,4,8,2,3,0
5,4,8,3,0,0.056250824
5,4,8,3,1,0.030455824
5,4,8,3,2,0
5,4,8,3,3,0
5,8,24,0,0,0
5,8,24,0,1,0
5,8,24,0,2,0.18977289
5,8,24,0,3,0
5,8,24,1,0,0
5,8,24,1,1,0.036683599
5,8,24,1,2,0.021697807
5,8,24,1,3,0
5,8,24,2,0,0.423071725
5,8,24,2,1,0
5,8,24,2,2,0
5,8,24,2,3,0.110050798
5,8,24,3,0,0.052476211
5,8,24,3,1,0.123474828
5,8,24,3,2,0
5,8,24,3,3,0.042772142
