Model,Alternative,Matrix,Index1,Index2,Value,Comment,Comment2,Comment3,Comment4,Comment5,End
TripMatrix,I:T,CVM_PM:IT,tripOut,15.5,19,Light 15:30 to 19:00,toll,,CVM_PM:IT,,End
TripMatrix,I:T,CVM_EV:IT,tripOut,19,24,Light 19:00 to 03:00,toll,,CVM_EV:IT,,End
TripMatrix,I:T,CVM_EV:IT,tripOut,0,3,Light 19:00 to 03:00,toll,,CVM_EV:IT,,End
TripMatrix,M:T,CVM_EA:MT,tripOut,3,6,Light 3:00 to 6:00,toll,,CVM_EA:MT,,End
TripMatrix,M:T,CVM_AM:MT,tripOut,6,9,Light 6:00 to 9:00,toll,,CVM_AM:MT,,End
TripMatrix,M:T,CVM_MD:MT,tripOut,9,15.5,Light 9 to 15:30,toll,,CVM_MD:MT,,End
TripMatrix,M:T,CVM_PM:MT,tripOut,15.5,19,Light 15:30 to 19:00,toll,,CVM_PM:MT,,End
TripMatrix,M:T,CVM_EV:MT,tripOut,19,27,Light 19:00 to 03:00,toll,,CVM_EV:MT,,End
TripMatrix,M:T,CVM_EV:MT,tripOut,0,3,Light 19:00 to 03:00,toll,,CVM_EV:MT,,End
TripMatrix,H:T,CVM_EA:HT,tripOut,3,6,Light 3:00 to 6:00,toll,,CVM_EA:HT,,End
TripMatrix,H:T,CVM_AM:HT,tripOut,6,9,Light 6:00 to 9:00,toll,,CVM_AM:HT,,End
TripMatrix,H:T,CVM_MD:HT,tripOut,9,15.5,Light 9 to 15:30,toll,,CVM_MD:HT,,End
TripMatrix,H:T,CVM_PM:HT,tripOut,15.5,19,Light 15:30 to 19:00,toll,,CVM_PM:HT,,End
TripMatrix,H:T,CVM_EV:HT,tripOut,19,27,Light 19:00 to 03:00,toll,,CVM_EV:HT,,End
TripMatrix,H:T,CVM_EV:HT,tripOut,0,3,Light 19:00 to 03:00,toll,,CVM_EV:HT,,End
TripMatrix,L:NT,CVM_EA:LNT,tripOut,3,6,Light 3:00 to 6:00,nontoll,,CVM_EA:LNT,,End
TripMatrix,L:NT,CVM_AM:LNT,tripOut,6,9,Light 6:00 to 9:00,nontoll,,CVM_AM:LNT,,End
TripMatrix,L:NT,CVM_MD:LNT,tripOut,9,15.5,Light 9 to 15:30,nontoll,,CVM_MD:LNT,,End
TripMatrix,L:NT,CVM_PM:LNT,tripOut,15.5,19,Light 15:30 to 19:00,nontoll,,CVM_PM:LNT,,End
TripMatrix,L:NT,CVM_EV:LNT,tripOut,19,24,Light 19:00 to 03:00,nontoll,,CVM_EV:LNT,,End
TripMatrix,L:NT,CVM_EV:LNT,tripOut,0,3,Light 19:00 to 03:00,nontoll,,CVM_EV:LNT,,End
TripMatrix,I:NT,CVM_EA:INT,tripOut,3,6,Light 3:00 to 6:00,nontoll,,CVM_EA:INT,,End
TripMatrix,I:NT,CVM_AM:INT,tripOut,6,9,Light 6:00 to 9:00,nontoll,,CVM_AM:INT,,End
TripMatrix,I:NT,CVM_MD:INT,tripOut,9,15.5,Light 9 to 15:30,nontoll,,CVM_MD:INT,,End
TripMatrix,I:NT,CVM_PM:INT,tripOut,15.5,19,Light 15:30 to 19:00,nontoll,,CVM_PM:INT,,End
TripMatrix,I:NT,CVM_EV:INT,tripOut,19,24,Light 19:00 to 03:00,nontoll,,CVM_EV:INT,,End
TripMatrix,I:NT,CVM_EV:INT,tripOut,0,3,Light 19:00 to 03:00,nontoll,,CVM_EV:INT,,End
TripMatrix,M:NT,CVM_EA:MNT,tripOut,3,6,Light 3:00 to 6:00,nontoll,,CVM_EA:MNT,,End
TripMatrix,M:NT,CVM_AM:MNT,tripOut,6,9,Light 6:00 to 9:00,nontoll,,CVM_AM:MNT,,End
TripMatrix,M:NT,CVM_MD:MNT,tripOut,9,15.5,Light 9 to 15:30,nontoll,,CVM_MD:MNT,,End
TripMatrix,M:NT,CVM_PM:MNT,tripOut,15.5,19,Light 15:30 to 19:00,nontoll,,CVM_PM:MNT,,End
TripMatrix,M:NT,CVM_EV:MNT,tripOut,19,27,Light 19:00 to 03:00,nontoll,,CVM_EV:MNT,,End
TripMatrix,M:NT,CVM_EV:MNT,tripOut,0,3,Light 19:00 to 03:00,nontoll,,CVM_EV:MNT,,End
TripMatrix,H:NT,CVM_EA:HNT,tripOut,3,6,Light 3:00 to 6:00,nontoll,,CVM_EA:HNT,,End
TripMatrix,H:NT,CVM_AM:HNT,tripOut,6,9,Light 6:00 to 9:00,nontoll,,CVM_AM:HNT,,End
TripMatrix,H:NT,CVM_MD:HNT,tripOut,9,15.5,Light 9 to 15:30,nontoll,,CVM_MD:HNT,,End
TripMatrix,H:NT,CVM_PM:HNT,tripOut,15.5,19,Light 15:30 to 19:00,nontoll,,CVM_PM:HNT,,End
TripMatrix,H:NT,CVM_EV:HNT,tripOut,19,27,Light 19:00 to 03:00,nontoll,,CVM_EV:HNT,,End
TripMatrix,H:NT,CVM_EV:HNT,tripOut,0,3,Light 19:00 to 03:00,nontoll,,CVM_EV:HNT,,End
LandUseTypeCode,,CVM_LU_Type,,,0,land use type code, ,,LandUseTypeCode,,End
ShipNoShip,NoShip,,,,0,,,,,,
ShipNoShip,Ship,,,,1.4892,,,,,,
ShipNoShip,Ship,CVM_LU_Res,,,0,,,,,,
ShipNoShip,Ship,CVM_LU_Ret,,,-0.3602,,,,,,
ShipNoShip,Ship,CVM_LU_Ind,,,0,,,,,,
ShipNoShip,Ship,CVM_LU_Emp,,,0.5372,,,,,,
ShipNoShip,Ship,REZone,,,-0.8298,,,,,,
ShipNoShip,Ship,PctIN,,,1.071,,,,,,
ShipNoShip,Ship,PctWH,,,0,,,,,,
ShipNoShip,Ship,PctRE,,,0,,,,,,
ShipNoShip,Ship,PctSV,,,-1.273,,,,,,
ShipNoShip,Ship,PctTH,,,1.025,,,,,,
ShipNoShip,Ship,CUGen,,,0.4327,,,,,,
GenPerEmployee,Gen,,,,-3.1872,,,,,,
GenPerEmployee,Gen,CVM_LU_Low,,,0,,,,,,
GenPerEmployee,Gen,CVM_LU_Res,,,0,,,,,,
GenPerEmployee,Gen,CVM_LU_Ret,,,0,,,,,,
GenPerEmployee,Gen,CVM_LU_Ind,,,-0.6467,,,,,,
GenPerEmployee,Gen,CVM_LU_Emp,,,-0.4693,,,,,,
GenPerEmployee,Gen,PctIN,,,-0.9668,,,,,,
GenPerEmployee,Gen,PctWH,,,0,,,,,,
GenPerEmployee,Gen,PctRE,,,0,,,,,,
GenPerEmployee,Gen,PctSV,,,0.8487,,,,,,
GenPerEmployee,Gen,PctTH,,,0,,,,,,
GenPerEmployee,Gen,LnJobs30,,,-0.1116,,,,,,
GenPerEmployee,Gen,CUTimeOD,,,0.5433,,,,,,
TourTOD,OE,20,nest,,0,,,,,,
TourTOD,AM,10,nest,,0,,,,,,
TourTOD,MD,20,nest,,0,,,,,,
TourTOD,PM,10,nest,,0,,,,,,
TourTOD,OL,top,nest,,0,,,,,,
TourTOD,10,top,nest,,0.549,,,,,,
TourTOD,20,top,nest,,0.4909,,,,,,
TourTOD,OE,,,,-1.534,,,,,,
TourTOD,OE,CVM_LU_Res,,,1.164,,,,,,
TourTOD,OE,CVM_LU_Ind,,,1.165,,,,,,
TourTOD,OE,CVM_LU_Emp,,,0,,,,,,
TourTOD,OE,Over3K_IN,,,-0.6308,,,,,,
TourTOD,OE,Over3K_RE,,,0,,,,,,
TourTOD,OE,Over3K_SV,,,0,,,,,,
TourTOD,OE,PctIN,,,1.38,,,,,,
TourTOD,OE,PctRE,,,0,,,,,,
TourTOD,OE,PctSV,,,0,,,,,,
TourTOD,OE,PctTH,,,0,,,,,,
TourTOD,OE,CUPurpVeh,,,0,,,,,,
TourTOD,AM,,,,-1.796,,,,,,
TourTOD,AM,CVM_LU_Res,,,0.8059,,,,,,
TourTOD,AM,CVM_LU_Ind,,,0.7884,,,,,,
TourTOD,AM,CVM_LU_Emp,,,0,,,,,,
TourTOD,AM,Over3K_IN,,,-0.2712,,,,,,
TourTOD,AM,Over3K_WH,,,0,,,,,,
TourTOD,AM,Over3K_SV,,,0,,,,,,
TourTOD,AM,PctRE,,,0,,,,,,
TourTOD,AM,PctSV,,,0,,,,,,
TourTOD,AM,PctTH,,,0,,,,,,End
TourTOD,AM,CUPurpVeh,,,0.5767,,,,,,End
TourTOD,MD,,,,0.5935,,,,,,End
TourTOD,MD,CUPurpVeh,,,0.5767,,,,,,End
TourTOD,PM,,,,-2.7525,,,,,,End
TourTOD,PM,CVM_LU_Ret,,,0,,,,,,End
TourTOD,PM,CVM_LU_Ind,,,-0.3953,,,,,,End
TourTOD,PM,CVM_LU_Emp,,,0,,,,,,End
TourTOD,PM,PctWH,,,0,,,,,,End
TourTOD,PM,PctRE,,,0,,,,,,End
TourTOD,PM,REZone,,,0,,,,,,End
TourTOD,PM,CUPurpVeh,,,0.5767,,,,,,End
TourTOD,OL,,,,-4.4375,,,,,,End
TourTOD,OL,CVM_LU_Res,,,0.4634,,,,,,End
TourTOD,OL,CVM_LU_Ind,,,-0.5059,Calibration Constant,,,,,End
TourTOD,OL,Over3K_WH,,,0,Calibration Constant,,,,,End
TourTOD,OL,PctIN,,,1.113,Calibration Constant,,,,,End
TourTOD,OL,PctRE,,,0,Calibration Constant,,,,,End
TourTOD,OL,CUPurpVeh,,,0.5767,Calibration Constant,,,,,End
VehicleTourType,HG,47,nest,,0,,,,,,End
VehicleTourType,HO,47,nest,,0,,,,,,End
VehicleTourType,HS,47,nest,,0,,,,,,End
VehicleTourType,LG,top,nest,,0,,,,,,End
VehicleTourType,LO,46,nest,,0,,,,,,End
VehicleTourType,LS,top,nest,,0,,,,,,End
VehicleTourType,IG,top,nest,,0,,,,,,End
VehicleTourType,IO,46,nest,,0,,,,,,End
VehicleTourType,IS,top,nest,,0,,,,,,End
VehicleTourType,MG,top,nest,,0,,,,,,End
VehicleTourType,MO,46,nest,,0,,,,,,End
VehicleTourType,MS,top,nest,,0,,,,,,End
VehicleTourType,46,top,nest,0.2533,0.2533,,,,,,End
VehicleTourType,47,top,nest,0.5699,0.5699,,,,,,End
VehicleTourType,LG,,,,0,Calibration Constant,,,,,End
VehicleTourType,LO,,,,0,Calibration Constant,,,,,End
VehicleTourType,LS,,,,0,Calibration Constant,,,,,End
VehicleTourType,IG,,,,0,Calibration Constant,,,,,End
VehicleTourType,IO,,,,0,Calibration Constant,,,,,End
VehicleTourType,IS,,,,0,Calibration Constant,,,,,End
VehicleTourType,MG,,,,0,Calibration Constant,,,,,End
VehicleTourType,MO,,,,0,Calibration Constant,,,,,End
VehicleTourType,MS,,,,0,Calibration Constant,,,,,End
VehicleTourType,HS,,,,0,Calibration Constant,,,,,End
VehicleTourType,HG,,,,0,Calibration Constant,,,,,End
VehicleTourType,HO,,,,0,Calibration Constant,,,,,End
VehicleTourType,LS,Acc_LE,origin,,0.000006603,Employment Accessibility - Light,,,,,End
VehicleTourType,LG,Acc_LE,origin,,0.000006603,Employment Accessibility - Light,,,,,End
VehicleTourType,LO,Acc_LE,origin,,0.000006603,Employment Accessibility - Light,,,,,End
VehicleTourType,IS,Acc_ME,origin,,0.000006603,Employment Accessibility - Medium Lesser 9.6T,,,,,End
VehicleTourType,IG,Acc_ME,origin,,0.000006603,Employment Accessibility - Medium Lesser 9.6T,,,,,End
VehicleTourType,IO,Acc_ME,origin,,0.000006603,Employment Accessibility - Medium Lesser 9.6T,,,,,End
VehicleTourType,MS,Acc_ME,origin,,0.000006603,Employment Accessibility - Medium Greater 9.6T,,,,,End
VehicleTourType,MG,Acc_ME,origin,,0.000006603,Employment Accessibility - Medium Greater 9.6T,,,,,End
VehicleTourType,MO,Acc_ME,origin,,0.000006603,Employment Accessibility - Medium Greater 9.6T,,,,,End
VehicleTourType,HS,Acc_HE,origin,,0.000006603,Employment Accessibility - Heavy,,,,,End
VehicleTourType,HG,Acc_HE,origin,,0.000006603,Employment Accessibility - Heavy,,,,,End
VehicleTourType,HO,Acc_HE,origin,,0.000006603,Employment Accessibility - Heavy,,,,,End
VehicleTourType,LS,Acc_LP,origin,,0.000006603,Population accessibility - Light,,,,,End
VehicleTourType,LG,Acc_LP,origin,,0.000006603,Population accessibility - Light,,,,,End
VehicleTourType,LO,Acc_LP,origin,,0.000006603,Population accessibility - Light,,,,,End
VehicleTourType,IS,Acc_MP,origin,,0.000006603,Population Accessibility - Medium Lesser 9.6T,,,,,End
VehicleTourType,IG,Acc_MP,origin,,0.000006603,Population Accessibility - Medium Lesser 9.6T,,,,,End
VehicleTourType,IO,Acc_MP,origin,,0.000006603,Population Accessibility - Medium Lesser 9.6T,,,,,End
VehicleTourType,MS,Acc_MP,origin,,0.000006603,Population accessibility - Medium Greater 9.6T,,,,,End
VehicleTourType,MG,Acc_MP,origin,,0.000006603,Population accessibility - Medium Greater 9.6T,,,,,End
VehicleTourType,MO,Acc_MP,origin,,0.000006603,Population accessibility - Medium Greater 9.6T,,,,,End
VehicleTourType,HS,Acc_HP,origin,,0.000006603,Population accessibility - Heavy,,,,,End
VehicleTourType,HG,Acc_HP,origin,,0.000006603,Population accessibility - Heavy,,,,,End
VehicleTourType,HO,Acc_HP,origin,,0.000006603,Population accessibility - Heavy,,,,,End
VehicleTourType,LG,CVM_LU_Ind,origin,,0.591,Tour Purpose Constant given land use type indicated in Index2,,,,,End
VehicleTourType,IG,CVM_LU_Ind,origin,,0.591,Tour Purpose Constant given land use type indicated in Index2,,,,,End
VehicleTourType,MG,CVM_LU_Ind,origin,,0.591,Tour Purpose Constant given land use type indicated in Index2,,,,,End
VehicleTourType,HG,CVM_LU_Ind,origin,,0.591,Tour Purpose Constant given land use type indicated in Index2,,,,,End
VehicleTourType,LS,CVM_LU_Ind,origin,,0,Tour Purpose Constant given land use type indicated in Index2,,,,,End
VehicleTourType,IS,CVM_LU_Ind,origin,,0,Tour Purpose Constant given land use type indicated in Index2,,,,,End
VehicleTourType,MS,CVM_LU_Ind,origin,,0,Tour Purpose Constant given land use type indicated in Index2,,,,,End
VehicleTourType,HS,CVM_LU_Ind,origin,,0,Tour Purpose Constant given land use type indicated in Index2,,,,,End
VehicleTourType,IS,CVM_LU_Ind,origin,,0.8489,Vehicle Constant given land use type indicated in Index2,,,,,End
VehicleTourType,IG,CVM_LU_Ind,origin,,0.8489,Vehicle Constant given land use type indicated in Index2,,,,,End
VehicleTourType,IO,CVM_LU_Ind,origin,,0.8489,Vehicle Constant given land use type indicated in Index2,,,,,End
VehicleTourType,HS,CVM_LU_Ind,origin,,0.7822,Vehicle Constant given land use type indicated in Index2,,,,,End
VehicleTourType,HG,CVM_LU_Ind,origin,,0.7822,Vehicle Constant given land use type indicated in Index2,,,,,End
VehicleTourType,HO,CVM_LU_Ind,origin,,0.7822,Vehicle Constant given land use type indicated in Index2,,,,,End
VehicleTourType,LS,CVM_LU_Emp,origin,,-1.91,Tour Purpose Constant given land use type indicated in Index2,,,,,End
VehicleTourType,IS,CVM_LU_Emp,origin,,-1.91,Tour Purpose Constant given land use type indicated in Index2,,,,,End
VehicleTourType,MS,CVM_LU_Emp,origin,,-1.91,Tour Purpose Constant given land use type indicated in Index2,,,,,End
VehicleTourType,HS,CVM_LU_Emp,origin,,-1.91,Tour Purpose Constant given land use type indicated in Index2,,,,,End
VehicleTourType,LO,CVM_LU_Emp,origin,,-4.868,Tour Purpose Constant given land use type indicated in Index2,,,,,End
VehicleTourType,IO,CVM_LU_Emp,origin,,-4.868,Tour Purpose Constant given land use type indicated in Index2,,,,,End
VehicleTourType,MO,CVM_LU_Emp,origin,,-4.868,Tour Purpose Constant given land use type indicated in Index2,,,,,End
VehicleTourType,HO,CVM_LU_Emp,origin,,-4.868,Tour Purpose Constant given land use type indicated in Index2,,,,,End
VehicleTourType,MS,CVM_LU_Emp,origin,,-1.578,Vehicle Constant given land use type indicated in Index2,,,,,End
VehicleTourType,MG,CVM_LU_Emp,origin,,-1.578,Vehicle Constant given land use type indicated in Index2,,,,,End
VehicleTourType,MO,CVM_LU_Emp,origin,,-1.578,Vehicle Constant given land use type indicated in Index2,,,,,End
VehicleTourType,HS,CVM_LU_Emp,origin,,2.517,Vehicle Constant given land use type indicated in Index2,,,,,End
VehicleTourType,HG,CVM_LU_Emp,origin,,2.517,Vehicle Constant given land use type indicated in Index2,,,,,End
VehicleTourType,HO,CVM_LU_Emp,origin,,2.517,Vehicle Constant given land use type indicated in Index2,,,,,End
VehicleTourType,LS,CVM_LU_Ret,origin,,0.285,Tour Purpose Constant given land use type indicated in Index2,,,,,End
VehicleTourType,IS,CVM_LU_Ret,origin,,0.285,Tour Purpose Constant given land use type indicated in Index2,,,,,End
VehicleTourType,MS,CVM_LU_Ret,origin,,0.285,Tour Purpose Constant given land use type indicated in Index2,,,,,End
VehicleTourType,HS,CVM_LU_Ret,origin,,0.285,Tour Purpose Constant given land use type indicated in Index2,,,,,End
VehicleTourType,IS,CVM_LU_Ret,origin,,1.328,Vehicle Constant given land use type indicated in Index2,,,,,End
VehicleTourType,IG,CVM_LU_Ret,origin,,1.328,Vehicle Constant given land use type indicated in Index2,,,,,End
VehicleTourType,IO,CVM_LU_Ret,origin,,1.328,Vehicle Constant given land use type indicated in Index2,,,,,End
VehicleTourType,HS,CVM_LU_Ret,origin,,3.823,Vehicle Constant given land use type indicated in Index2,,,,,End
VehicleTourType,HG,CVM_LU_Ret,origin,,3.823,Vehicle Constant given land use type indicated in Index2,,,,,End
VehicleTourType,HO,CVM_LU_Ret,origin,,3.823,Vehicle Constant given land use type indicated in Index2,,,,,End
VehicleTourType,LS,CVM_LU_Res,origin,,0.5624,Tour Purpose Constant given land use type indicated in Index2,,,,,End
VehicleTourType,IS,CVM_LU_Res,origin,,0.5624,Tour Purpose Constant given land use type indicated in Index2,,,,,End
VehicleTourType,MS,CVM_LU_Res,origin,,0.5624,Tour Purpose Constant given land use type indicated in Index2,,,,,End
VehicleTourType,HS,CVM_LU_Res,origin,,0.5624,Tour Purpose Constant given land use type indicated in Index2,,,,,End
VehicleTourType,LO,CVM_LU_Res,origin,,1.09,Tour Purpose Constant given land use type indicated in Index2,,,,,End
VehicleTourType,IO,CVM_LU_Res,origin,,1.09,Tour Purpose Constant given land use type indicated in Index2,,,,,End
VehicleTourType,MO,CVM_LU_Res,origin,,1.09,Tour Purpose Constant given land use type indicated in Index2,,,,,End
VehicleTourType,HO,CVM_LU_Res,origin,,1.09,Tour Purpose Constant given land use type indicated in Index2,,,,,End
VehicleTourType,IS,CVM_LU_Res,origin,,-1.443,Vehicle Constant given land use type indicated in Index2,,,,,End
VehicleTourType,IG,CVM_LU_Res,origin,,-1.443,Vehicle Constant given land use type indicated in Index2,,,,,End
VehicleTourType,IO,CVM_LU_Res,origin,,-1.443,Vehicle Constant given land use type indicated in Index2,,,,,End
VehicleTourType,MS,CVM_LU_Res,origin,,-0.701,Vehicle Constant given land use type indicated in Index2,,,,,End
VehicleTourType,MG,CVM_LU_Res,origin,,-0.701,Vehicle Constant given land use type indicated in Index2,,,,,End
VehicleTourType,MO,CVM_LU_Res,origin,,-0.701,Vehicle Constant given land use type indicated in Index2,,,,,End
VehicleTourType,HS,CVM_LU_Res,origin,,-1.312,Vehicle Constant given land use type indicated in Index2,,,,,End
VehicleTourType,HG,CVM_LU_Res,origin,,-1.312,Vehicle Constant given land use type indicated in Index2,,,,,End
VehicleTourType,HO,CVM_LU_Res,origin,,-1.312,Vehicle Constant given land use type indicated in Index2,,,,,End
VehicleTourType,LG,PctIN,origin,,1.012,percent employment industrial - Goods,,,,,End
VehicleTourType,IG,PctIN,origin,,1.012,percent employment industrial - Goods,,,,,End
VehicleTourType,MG,PctIN,origin,,1.012,percent employment industrial - Goods,,,,,End
VehicleTourType,HG,PctIN,origin,,1.012,percent employment industrial - Goods,,,,,End
VehicleTourType,MS,PctIN,origin,,-0.904,percent employment industrial - Medium Greater 9.6T,,,,,End
VehicleTourType,MG,PctIN,origin,,-0.904,percent employment industrial - Medium Greater 9.6T,,,,,End
VehicleTourType,MO,PctIN,origin,,-0.904,percent employment industrial - Medium Greater 9.6T,,,,,End
VehicleTourType,HS,PctIN,origin,,3.842,percent employment industrial - Heavy,,,,,End
VehicleTourType,HG,PctIN,origin,,3.842,percent employment industrial - Heavy,,,,,End
VehicleTourType,HO,PctIN,origin,,3.842,percent employment industrial - Heavy,,,,,End
VehicleTourType,IS,PctWH,origin,,0,percent employment wholesale - Medium Lesser 9.6T,,,,,End
VehicleTourType,IG,PctWH,origin,,0,percent employment wholesale - Medium Lesser 9.6T,,,,,End
VehicleTourType,IO,PctWH,origin,,0,percent employment wholesale - Medium Lesser 9.6T,,,,,End
VehicleTourType,MS,PctWH,origin,,0,percent employment wholesale - Medium Greater 9.6T,,,,,End
VehicleTourType,MG,PctWH,origin,,0,percent employment wholesale - Medium Greater 9.6T,,,,,End
VehicleTourType,MO,PctWH,origin,,0,percent employment wholesale - Medium Greater 9.6T,,,,,End
VehicleTourType,HS,PctWH,origin,,0,percent employment wholesale - Heavy,,,,,End
VehicleTourType,HG,PctWH,origin,,0,percent employment wholesale - Heavy,,,,,End
VehicleTourType,HO,PctWH,origin,,0,percent employment wholesale - Heavy,,,,,End
VehicleTourType,LG,,,,0,Tour Purpose Constant_MASTER for IN Goods,,,,,End
VehicleTourType,IG,,,,0,Tour Purpose Constant_slave for IN Goods (master is IN-Early Goods),,,,,End
VehicleTourType,MG,,,,0,Tour Purpose Constant_slave for IN Goods (master is IN-Early Goods),,,,,End
VehicleTourType,HG,,,,0,Tour Purpose Constant_slave for IN Goods (master is IN-Early Goods),,,,,End
VehicleTourType,LS,,,,1.2432,Tour Purpose Constant_MASTER for IN Service,,,,,End
VehicleTourType,IS,,,,1.2432,Tour Purpose Constant_slave for IN Service (master is IN-Early Service),,,,,End
VehicleTourType,MS,,,,1.2432,Tour Purpose Constant_slave for IN Service (master is IN-Early Service),,,,,End
VehicleTourType,HS,,,,1.2432,Tour Purpose Constant_slave for IN Service (master is IN-Early Service),,,,,End
VehicleTourType,LO,,,,-2.1178,Tour Purpose Constant_MASTER for IN Other,,,,,End
VehicleTourType,IO,,,,-2.1178,Tour Purpose Constant_slave for IN Other (master is IN-Early Other),,,,,End
VehicleTourType,MO,,,,-2.1178,Tour Purpose Constant_slave for IN Other (master is IN-Early Other),,,,,End
VehicleTourType,HO,,,,-2.1178,Tour Purpose Constant_slave for IN Other (master is IN-Early Other),,,,,End
VehicleTourType,LS,,,,0,Vehicle Constant_MASTER for IN Light,,,,,End
VehicleTourType,LG,,,,0,Vehicle Constant_slave for IN Light (master in IN_Early Light),,,,,End
VehicleTourType,LO,,,,0,Vehicle Constant_slave for IN Light (master in IN_Early Light),,,,,End
VehicleTourType,IS,,,,-2.464,Vehicle Constant_MASTER for IN Medium<=9.6T,,,,,End
VehicleTourType,IG,,,,-2.464,Vehicle Constant_slave for IN Medium<=9.6T (master in IN_Early Medium<=9.6T),,,,,End
VehicleTourType,IO,,,,-2.464,Vehicle Constant_slave for IN Medium<=9.6T (master in IN_Early Medium<=9.6T),,,,,End
VehicleTourType,MS,,,,-0.5749,Vehicle Constant_MASTER for IN Medium>9.6T,,,,,End
VehicleTourType,MG,,,,-0.5749,Vehicle Constant_slave for IN Medium>9.6T (master in IN_Early Medium>9.6T),,,,,End
VehicleTourType,MO,,,,-0.5749,Vehicle Constant_slave for IN Medium>9.6T (master in IN_Early Medium>9.6T),,,,,End
VehicleTourType,HS,,,,-1.5427,Vehicle Constant_MASTER for IN Heavy,,,,,End
VehicleTourType,HG,,,,-1.5427,Vehicle Constant_slave for IN Heavy (master in IN_Early Heavy),,,,,End
VehicleTourType,HO,,,,-1.5427,Vehicle Constant_slave for IN Heavy (master in IN_Early Heavy),,,,,End
LSStopType,S,,,,2.525,alternative specific constant,,,,,
LSStopType,S,,logStopCount,service,1.075,ln ( number of previous stops for service purpose +1),,,,,
LSStopType,O,,logStopCount,other,1.121,ln ( number of previous stops for other purpose + 1),,,,,
LSStopType,O,,totalAccumulator,,0.2234,Total light vehicle time since start of tour (minutes) - travel time plus stop duration time,,,,,
LSStopType,R,,logStopCount,all,-0.9242,ln ( number of previous stops for all purposes + 1),,,,,
LSStopType,R,,travelDisutility,origin,0.03253,0.1 times the travel disutility to return to origin,,,,,
LSStopType,R,,timeAccumulator,,0.003123,total light vehicle drive time since start of tour (minutes),,,,,
LSStopType,R,,totalAccumulator,,0.3525,Total light vehicle time since start of tour (minutes) - travel time plus stop duration time,,,,,
LSStopType,R,,,,2.905,alternative specific constant,,,,,
LGStopType,G,,,,2.89,alternative specific constant,,,,,
LGStopType,G,,logStopCount,goods,0.3996,ln ( number of previous stops for service purpose +1),,,,,
LGStopType,O,,logStopCount,other,0.9585,ln ( number of previous stops for other purpose + 1),,,,,
LGStopType,O,,totalAccumulator,,0.1103,Total light vehicle time since start of tour (minutes) - travel time plus stop duration time,,,,,
LGStopType,R,,logStopCount,all,-1.127,ln ( number of previous stops for all purposes + 1),,,,,
LGStopType,R,,travelDisutility,origin,0.03335,0.1 times the travel disutility to return to origin,,,,,
LGStopType,R,,timeAccumulator,,0.004555,total light vehicle drive time since start of tour (minutes),,,,,
LGStopType,R,,totalAccumulator,,0.2748,Total light vehicle time since start of tour (minutes) - travel time plus stop duration time,,,,,
LGStopType,R,,,,3.608,alternative specific constant,,,,,
LOStopType,O,,,,0,alternative specific constant,,,,,
LOStopType,R,Acc_LE,cstop,,7.02E-07,accessibility to employment,,,,,
LOStopType,R,,logStopCount,all,-3.38,ln ( number of previous stops for all purposes + 1),,,,,
LOStopType,R,,travelDisutility,origin,0.2696,0.1 times the travel disutility to return to origin,,,,,
