primary_purpose,distance_bin_spline,total_share,purpose_share,source
Visitor Business,1_2,0.0007,0.0035,Survey
Visitor Business,2_3,0.0337,0.1689,Survey
Visitor Business,3_4,0.0656,0.3288,Survey
Visitor Business,4_5,0.0164,0.0822,Survey
Visitor Business,5_7.5,0.0252,0.1263,Survey
Visitor Business,7.5_10,0.0147,0.0737,Survey
Visitor Business,10_15,0.0149,0.0747,Survey
Visitor Business,15_20,0.0083,0.0416,Survey
Visitor Business,20_30,0.0062,0.0311,Survey
Visitor Business,30_40,0.0093,0.0466,Survey
Visitor Business,40_50,0.0026,0.013,Survey
Visitor Business,50+,0.0014,0.007,Survey
Visitor Personal,0_0.25,0.0,0.0,Survey
Visitor Personal,0.25_0.5,0.0,0.0,Survey
Visitor Personal,0.5_1,0.0004,0.0011,Survey
Visitor Personal,1_2,0.0014,0.004,Survey
Visitor Personal,2_3,0.031,0.0876,Survey
Visitor Personal,3_4,0.0479,0.1354,Survey
Visitor Personal,4_5,0.0351,0.0992,Survey
Visitor Personal,5_7.5,0.0538,0.1521,Survey
Visitor Personal,7.5_10,0.0422,0.1193,Survey
Visitor Personal,10_15,0.051,0.1442,Survey
Visitor Personal,15_20,0.0155,0.0438,Survey
Visitor Personal,20_30,0.0275,0.0777,Survey
Visitor Personal,30_40,0.0339,0.0958,Survey
Visitor Personal,40_50,0.0103,0.0291,Survey
Visitor Personal,50+,0.0037,0.0105,Survey
