stop_period,stop_skim_period,purpose,freq
16.75,4: PM,7: Joint Maintenance,536
17.25,4: PM,7: Joint Maintenance,3373
17.75,4: PM,7: Joint Maintenance,1253
18.25,4: PM,7: Joint Maintenance,900
18.75,4: PM,7: Joint Maintenance,1013
19.25,5: EV,7: Joint Maintenance,552
19.75,5: EV,7: Joint Maintenance,957
20.25,5: EV,7: Joint Maintenance,1174
20.75,5: EV,7: Joint Maintenance,13
21.25,5: EV,7: Joint Maintenance,4
21.75,5: EV,7: Joint Maintenance,434
22.25,5: EV,7: Joint Maintenance,70
22.75,5: EV,7: Joint Maintenance,70
23.25,5: EV,7: Joint Maintenance,13
23.75,5: EV,7: Joint Maintenance,13
24.25,5: EV,7: Joint Maintenance,0
4.75,1: EA,8: Joint Discretionary,237
5.25,1: EA,8: Joint Discretionary,0
5.75,1: EA,8: Joint Discretionary,0
6.25,2: AM,8: Joint Discretionary,0
6.75,2: AM,8: Joint Discretionary,627
7.25,2: AM,8: Joint Discretionary,36
7.75,2: AM,8: Joint Discretionary,73
8.25,2: AM,8: Joint Discretionary,358
8.75,2: AM,8: Joint Discretionary,0
9.25,3: MD,8: Joint Discretionary,2310
9.75,3: MD,8: Joint Discretionary,379
10.25,3: MD,8: Joint Discretionary,643
10.75,3: MD,8: Joint Discretionary,1692
11.25,3: MD,8: Joint Discretionary,2960
11.75,3: MD,8: Joint Discretionary,2269
12.25,3: MD,8: Joint Discretionary,6473
12.75,3: MD,8: Joint Discretionary,3680
13.25,3: MD,8: Joint Discretionary,1398
13.75,3: MD,8: Joint Discretionary,1925
14.25,3: MD,8: Joint Discretionary,1054
14.75,3: MD,8: Joint Discretionary,1814
15.25,3: MD,8: Joint Discretionary,940
15.75,4: PM,8: Joint Discretionary,564
16.25,4: PM,8: Joint Discretionary,1115
16.75,4: PM,8: Joint Discretionary,638
17.25,4: PM,8: Joint Discretionary,1100
17.75,4: PM,8: Joint Discretionary,596
18.25,4: PM,8: Joint Discretionary,1207
18.75,4: PM,8: Joint Discretionary,1881
19.25,5: EV,8: Joint Discretionary,1786
19.75,5: EV,8: Joint Discretionary,1269
20.25,5: EV,8: Joint Discretionary,432
20.75,5: EV,8: Joint Discretionary,699
21.25,5: EV,8: Joint Discretionary,248
21.75,5: EV,8: Joint Discretionary,383
22.25,5: EV,8: Joint Discretionary,232
22.75,5: EV,8: Joint Discretionary,90
23.25,5: EV,8: Joint Discretionary,23
23.75,5: EV,8: Joint Discretionary,15
24.25,5: EV,8: Joint Discretionary,0
4.75,1: EA,9: Work-based,40
5.25,1: EA,9: Work-based,13
5.75,1: EA,9: Work-based,156
6.25,2: AM,9: Work-based,13
6.75,2: AM,9: Work-based,39
7.25,2: AM,9: Work-based,98
7.75,2: AM,9: Work-based,128
8.25,2: AM,9: Work-based,663
8.75,2: AM,9: Work-based,1631
9.25,3: MD,9: Work-based,3118
