OwnershipCategory,tour_mode,purpose,freq
1: 1+ Veh/Adults > Veh,09: TNC to Transit,2: University,13
1: 1+ Veh/Adults > Veh,01: SOV,3: School,4726
1: 1+ Veh/Adults > Veh,02: Shared Ride 2,3: School,17227
1: 1+ Veh/Adults > Veh,03: Shared Ride 3+,3: School,53769
1: 1+ Veh/Adults > Veh,04: Walk,3: School,16302
1: 1+ Veh/Adults > Veh,05: Bike,3: School,1524
1: 1+ Veh/Adults > Veh,06: Walk to Transit,3: School,3964
1: 1+ Veh/Adults > Veh,07: PNR to Transit,3: School,19
1: 1+ Veh/Adults > Veh,08: KNR to Transit,3: School,589
1: 1+ Veh/Adults > Veh,09: TNC to Transit,3: School,30417
1: 1+ Veh/Adults > Veh,01: SOV,5: Individual Maintenance,115094
1: 1+ Veh/Adults > Veh,02: Shared Ride 2,5: Individual Maintenance,162934
1: 1+ Veh/Adults > Veh,03: Shared Ride 3+,5: Individual Maintenance,146802
1: 1+ Veh/Adults > Veh,04: Walk,5: Individual Maintenance,44643
1: 1+ Veh/Adults > Veh,05: Bike,5: Individual Maintenance,931
1: 1+ Veh/Adults > Veh,06: Walk to Transit,5: Individual Maintenance,5025
1: 1+ Veh/Adults > Veh,07: PNR to Transit,5: Individual Maintenance,87
1: 1+ Veh/Adults > Veh,08: KNR to Transit,5: Individual Maintenance,893
1: 1+ Veh/Adults > Veh,09: TNC to Transit,5: Individual Maintenance,173
1: 1+ Veh/Adults > Veh,01: SOV,6: Individual Discretionary,30132
1: 1+ Veh/Adults > Veh,02: Shared Ride 2,6: Individual Discretionary,36666
1: 1+ Veh/Adults > Veh,03: Shared Ride 3+,6: Individual Discretionary,22438
1: 1+ Veh/Adults > Veh,04: Walk,6: Individual Discretionary,23222
1: 1+ Veh/Adults > Veh,05: Bike,6: Individual Discretionary,3066
1: 1+ Veh/Adults > Veh,06: Walk to Transit,6: Individual Discretionary,4327
1: 1+ Veh/Adults > Veh,07: PNR to Transit,6: Individual Discretionary,112
1: 1+ Veh/Adults > Veh,08: KNR to Transit,6: Individual Discretionary,2114
1: 1+ Veh/Adults > Veh,09: TNC to Transit,6: Individual Discretionary,0
1: 1+ Veh/Adults > Veh,01: SOV,7: Joint Maintenance,0
1: 1+ Veh/Adults > Veh,02: Shared Ride 2,7: Joint Maintenance,24139
1: 1+ Veh/Adults > Veh,03: Shared Ride 3+,7: Joint Maintenance,2899
1: 1+ Veh/Adults > Veh,04: Walk,7: Joint Maintenance,371
1: 1+ Veh/Adults > Veh,05: Bike,7: Joint Maintenance,21
1: 1+ Veh/Adults > Veh,06: Walk to Transit,7: Joint Maintenance,815
1: 1+ Veh/Adults > Veh,07: PNR to Transit,7: Joint Maintenance,12
1: 1+ Veh/Adults > Veh,08: KNR to Transit,7: Joint Maintenance,110
1: 1+ Veh/Adults > Veh,09: TNC to Transit,7: Joint Maintenance,0
1: 1+ Veh/Adults > Veh,01: SOV,8: Joint Discretionary,0
1: 1+ Veh/Adults > Veh,02: Shared Ride 2,8: Joint Discretionary,12756
1: 1+ Veh/Adults > Veh,03: Shared Ride 3+,8: Joint Discretionary,2125
1: 1+ Veh/Adults > Veh,04: Walk,8: Joint Discretionary,2806
1: 1+ Veh/Adults > Veh,05: Bike,8: Joint Discretionary,22
1: 1+ Veh/Adults > Veh,06: Walk to Transit,8: Joint Discretionary,609
1: 1+ Veh/Adults > Veh,07: PNR to Transit,8: Joint Discretionary,91
1: 1+ Veh/Adults > Veh,08: KNR to Transit,8: Joint Discretionary,277
1: 1+ Veh/Adults > Veh,09: TNC to Transit,8: Joint Discretionary,0
1: 1+ Veh/Adults > Veh,01: SOV,9: Work-based,10869
1: 1+ Veh/Adults > Veh,02: Shared Ride 2,9: Work-based,6253
1: 1+ Veh/Adults > Veh,03: Shared Ride 3+,9: Work-based,192
1: 1+ Veh/Adults > Veh,04: Walk,9: Work-based,4326
1: 1+ Veh/Adults > Veh,05: Bike,9: Work-based,50
1: 1+ Veh/Adults > Veh,06: Walk to Transit,9: Work-based,262
1: 1+ Veh/Adults > Veh,07: PNR to Transit,9: Work-based,31
1: 1+ Veh/Adults > Veh,08: KNR to Transit,9: Work-based,118
1: 1+ Veh/Adults > Veh,09: TNC to Transit,9: Work-based,8
1: 1+ Veh/Adults > Veh,01: SOV,Total,353324
1: 1+ Veh/Adults > Veh,02: Shared Ride 2,Total,334265
1: 1+ Veh/Adults > Veh,03: Shared Ride 3+,Total,244638
1: 1+ Veh/Adults > Veh,04: Walk,Total,97459
1: 1+ Veh/Adults > Veh,05: Bike,Total,16278
1: 1+ Veh/Adults > Veh,06: Walk to Transit,Total,44239
1: 1+ Veh/Adults > Veh,07: PNR to Transit,Total,2717
1: 1+ Veh/Adults > Veh,08: KNR to Transit,Total,10912
1: 1+ Veh/Adults > Veh,09: TNC to Transit,Total,30611
2: Vehicles >= Adults,01: SOV,1: Work,579545
2: Vehicles >= Adults,02: Shared Ride 2,1: Work,121278
2: Vehicles >= Adults,03: Shared Ride 3+,1: Work,74424
2: Vehicles >= Adults,04: Walk,1: Work,5173
2: Vehicles >= Adults,05: Bike,1: Work,11081
2: Vehicles >= Adults,06: Walk to Transit,1: Work,3670
2: Vehicles >= Adults,07: PNR to Transit,1: Work,3327
2: Vehicles >= Adults,08: KNR to Transit,1: Work,2148
2: Vehicles >= Adults,09: TNC to Transit,1: Work,98
2: Vehicles >= Adults,01: SOV,2: University,40618
2: Vehicles >= Adults,02: Shared Ride 2,2: University,10674
2: Vehicles >= Adults,03: Shared Ride 3+,2: University,7429
2: Vehicles >= Adults,04: Walk,2: University,2036
2: Vehicles >= Adults,05: Bike,2: University,185
2: Vehicles >= Adults,06: Walk to Transit,2: University,1814
2: Vehicles >= Adults,07: PNR to Transit,2: University,706
2: Vehicles >= Adults,08: KNR to Transit,2: University,763
2: Vehicles >= Adults,09: TNC to Transit,2: University,2120
2: Vehicles >= Adults,01: SOV,3: School,15739
2: Vehicles >= Adults,02: Shared Ride 2,3: School,94229
2: Vehicles >= Adults,03: Shared Ride 3+,3: School,282376
2: Vehicles >= Adults,04: Walk,3: School,14576
2: Vehicles >= Adults,05: Bike,3: School,8398
2: Vehicles >= Adults,06: Walk to Transit,3: School,473
2: Vehicles >= Adults,07: PNR to Transit,3: School,5
2: Vehicles >= Adults,08: KNR to Transit,3: School,219
2: Vehicles >= Adults,09: TNC to Transit,3: School,32688
2: Vehicles >= Adults,01: SOV,5: Individual Maintenance,391902
2: Vehicles >= Adults,02: Shared Ride 2,5: Individual Maintenance,319782
2: Vehicles >= Adults,03: Shared Ride 3+,5: Individual Maintenance,433480
2: Vehicles >= Adults,04: Walk,5: Individual Maintenance,42282
2: Vehicles >= Adults,05: Bike,5: Individual Maintenance,2544
2: Vehicles >= Adults,06: Walk to Transit,5: Individual Maintenance,1125
2: Vehicles >= Adults,07: PNR to Transit,5: Individual Maintenance,189
2: Vehicles >= Adults,08: KNR to Transit,5: Individual Maintenance,478
2: Vehicles >= Adults,09: TNC to Transit,5: Individual Maintenance,0
2: Vehicles >= Adults,01: SOV,6: Individual Discretionary,144758
2: Vehicles >= Adults,02: Shared Ride 2,6: Individual Discretionary,74545
2: Vehicles >= Adults,03: Shared Ride 3+,6: Individual Discretionary,82844
2: Vehicles >= Adults,04: Walk,6: Individual Discretionary,34422
2: Vehicles >= Adults,05: Bike,6: Individual Discretionary,6008
2: Vehicles >= Adults,06: Walk to Transit,6: Individual Discretionary,1119
2: Vehicles >= Adults,07: PNR to Transit,6: Individual Discretionary,193
2: Vehicles >= Adults,08: KNR to Transit,6: Individual Discretionary,893
2: Vehicles >= Adults,09: TNC to Transit,6: Individual Discretionary,8
2: Vehicles >= Adults,01: SOV,7: Joint Maintenance,0
2: Vehicles >= Adults,02: Shared Ride 2,7: Joint Maintenance,39330
2: Vehicles >= Adults,03: Shared Ride 3+,7: Joint Maintenance,15648
2: Vehicles >= Adults,04: Walk,7: Joint Maintenance,1294
2: Vehicles >= Adults,05: Bike,7: Joint Maintenance,49
2: Vehicles >= Adults,06: Walk to Transit,7: Joint Maintenance,116
2: Vehicles >= Adults,07: PNR to Transit,7: Joint Maintenance,12
2: Vehicles >= Adults,08: KNR to Transit,7: Joint Maintenance,19
2: Vehicles >= Adults,09: TNC to Transit,7: Joint Maintenance,0
2: Vehicles >= Adults,01: SOV,8: Joint Discretionary,0
2: Vehicles >= Adults,02: Shared Ride 2,8: Joint Discretionary,28348
2: Vehicles >= Adults,03: Shared Ride 3+,8: Joint Discretionary,21405
2: Vehicles >= Adults,04: Walk,8: Joint Discretionary,4779
2: Vehicles >= Adults,05: Bike,8: Joint Discretionary,44
2: Vehicles >= Adults,06: Walk to Transit,8: Joint Discretionary,73
2: Vehicles >= Adults,07: PNR to Transit,8: Joint Discretionary,66
2: Vehicles >= Adults,08: KNR to Transit,8: Joint Discretionary,45
2: Vehicles >= Adults,09: TNC to Transit,8: Joint Discretionary,0
2: Vehicles >= Adults,01: SOV,9: Work-based,47008
2: Vehicles >= Adults,02: Shared Ride 2,9: Work-based,11679
2: Vehicles >= Adults,03: Shared Ride 3+,9: Work-based,6074
2: Vehicles >= Adults,04: Walk,9: Work-based,21553
2: Vehicles >= Adults,05: Bike,9: Work-based,448
2: Vehicles >= Adults,06: Walk to Transit,9: Work-based,63
2: Vehicles >= Adults,07: PNR to Transit,9: Work-based,43
2: Vehicles >= Adults,08: KNR to Transit,9: Work-based,94
2: Vehicles >= Adults,09: TNC to Transit,9: Work-based,6
2: Vehicles >= Adults,01: SOV,Total,1219569
2: Vehicles >= Adults,02: Shared Ride 2,Total,699865
2: Vehicles >= Adults,03: Shared Ride 3+,Total,923680
2: Vehicles >= Adults,04: Walk,Total,126115
2: Vehicles >= Adults,05: Bike,Total,28758
2: Vehicles >= Adults,06: Walk to Transit,Total,8452
2: Vehicles >= Adults,07: PNR to Transit,Total,4541
2: Vehicles >= Adults,08: KNR to Transit,Total,4659
2: Vehicles >= Adults,09: TNC to Transit,Total,34920
All Households,01: SOV,1: Work,769230
All Households,02: Shared Ride 2,1: Work,197622
All Households,03: Shared Ride 3+,1: Work,86424
All Households,04: Walk,1: Work,14928
All Households,05: Bike,1: Work,24811
All Households,06: Walk to Transit,1: Work,33278
All Households,07: PNR to Transit,1: Work,5090
All Households,08: KNR to Transit,1: Work,9091
All Households,09: TNC to Transit,1: Work,98
All Households,01: SOV,2: University,49340
All Households,02: Shared Ride 2,2: University,18969
All Households,03: Shared Ride 3+,2: University,11955
All Households,04: Walk,2: University,4428
All Households,05: Bike,2: University,874
All Households,06: Walk to Transit,2: University,15998
All Households,07: PNR to Transit,2: University,1307
All Households,08: KNR to Transit,2: University,3071
All Households,09: TNC to Transit,2: University,2136
All Households,01: SOV,3: School,20538
All Households,02: Shared Ride 2,3: School,113724
All Households,03: Shared Ride 3+,3: School,336408
All Households,04: Walk,3: School,38857
All Households,05: Bike,3: School,9922
All Households,06: Walk to Transit,3: School,5135
All Households,07: PNR to Transit,3: School,24
All Households,08: KNR to Transit,3: School,852
All Households,09: TNC to Transit,3: School,73691
All Households,01: SOV,5: Individual Maintenance,511064
All Households,02: Shared Ride 2,5: Individual Maintenance,496220
All Households,03: Shared Ride 3+,5: Individual Maintenance,584852
All Households,04: Walk,5: Individual Maintenance,111470
All Households,05: Bike,5: Individual Maintenance,7885
All Households,06: Walk to Transit,5: Individual Maintenance,11898
All Households,07: PNR to Transit,5: Individual Maintenance,276
All Households,08: KNR to Transit,5: Individual Maintenance,1985
All Households,09: TNC to Transit,5: Individual Maintenance,173
All Households,01: SOV,6: Individual Discretionary,175203
All Households,02: Shared Ride 2,6: Individual Discretionary,115599
All Households,03: Shared Ride 3+,6: Individual Discretionary,106219
All Households,04: Walk,6: Individual Discretionary,64609
All Households,05: Bike,6: Individual Discretionary,11918
All Households,06: Walk to Transit,6: Individual Discretionary,9220
All Households,07: PNR to Transit,6: Individual Discretionary,306
All Households,08: KNR to Transit,6: Individual Discretionary,4169
All Households,09: TNC to Transit,6: Individual Discretionary,8
All Households,01: SOV,7: Joint Maintenance,0
All Households,02: Shared Ride 2,7: Joint Maintenance,66057
All Households,03: Shared Ride 3+,7: Joint Maintenance,18626
All Households,04: Walk,7: Joint Maintenance,1889
All Households,05: Bike,7: Joint Maintenance,70
All Households,06: Walk to Transit,7: Joint Maintenance,1892
All Households,07: PNR to Transit,7: Joint Maintenance,25
All Households,08: KNR to Transit,7: Joint Maintenance,157
All Households,09: TNC to Transit,7: Joint Maintenance,0
All Households,01: SOV,8: Joint Discretionary,0
All Households,02: Shared Ride 2,8: Joint Discretionary,42232
All Households,03: Shared Ride 3+,8: Joint Discretionary,23530
All Households,04: Walk,8: Joint Discretionary,8129
All Households,05: Bike,8: Joint Discretionary,66
All Households,06: Walk to Transit,8: Joint Discretionary,1189
All Households,07: PNR to Transit,8: Joint Discretionary,156
All Households,08: KNR to Transit,8: Joint Discretionary,417
All Households,09: TNC to Transit,8: Joint Discretionary,0
All Households,01: SOV,9: Work-based,57877
All Households,02: Shared Ride 2,9: Work-based,18543
All Households,03: Shared Ride 3+,9: Work-based,6266
All Households,04: Walk,9: Work-based,27361
All Households,05: Bike,9: Work-based,929
All Households,06: Walk to Transit,9: Work-based,533
All Households,07: PNR to Transit,9: Work-based,74
All Households,08: KNR to Transit,9: Work-based,220
All Households,09: TNC to Transit,9: Work-based,14
All Households,01: SOV,Total,1583252
All Households,02: Shared Ride 2,Total,1068966
All Households,03: Shared Ride 3+,Total,1174280
All Households,04: Walk,Total,271671
All Households,05: Bike,Total,56475
All Households,06: Walk to Transit,Total,79143
All Households,07: PNR to Transit,Total,7258
All Households,08: KNR to Transit,Total,19962
All Households,09: TNC to Transit,Total,76119
