periods_left_min,periods_left_max,stop_num,outbound,duration_offset,prob
19,22,3,True,-3,0.0
23,26,1,True,-3,0.12
23,26,2,True,-3,0.25
23,26,3,True,-3,0.25
27,47,1,True,-3,0.14
27,47,2,True,-3,0.0
27,47,3,True,-3,0.0
0,0,1,True,-4,0.0
0,0,2,True,-4,0.0
0,0,3,True,-4,0.0
1,8,1,True,-4,0.0
1,8,2,True,-4,0.0
1,8,3,True,-4,1.0
9,14,1,True,-4,0.0
9,14,2,True,-4,0.15
9,14,3,True,-4,0.0
15,18,1,True,-4,0.25
15,18,2,True,-4,0.21
15,18,3,True,-4,0.0
19,22,1,True,-4,0.0
19,22,2,True,-4,0.36
19,22,3,True,-4,0.0
23,26,1,True,-4,0.06
23,26,2,True,-4,0.25
23,26,3,True,-4,0.25
27,47,1,True,-4,0.14
27,47,2,True,-4,0.0
27,47,3,True,-4,0.0
0,0,1,True,-5,0.0
0,0,2,True,-5,0.0
0,0,3,True,-5,0.0
1,8,1,True,-5,0.0
1,8,2,True,-5,0.0
1,8,3,True,-5,0.0
9,14,1,True,-5,1.0
9,14,2,True,-5,0.08
9,14,3,True,-5,0.0
15,18,1,True,-5,0.25
15,18,2,True,-5,0.07
15,18,3,True,-5,0.0
19,22,1,True,-5,0.14
19,22,2,True,-5,0.09
19,22,3,True,-5,0.5
23,26,1,True,-5,0.29
23,26,2,True,-5,0.25
23,26,3,True,-5,0.25
27,47,1,True,-5,0.14
27,47,2,True,-5,0.0
27,47,3,True,-5,0.0
0,0,1,True,-6,0.0
0,0,2,True,-6,0.0
0,0,3,True,-6,1.0
1,8,1,True,-6,0.0
1,8,2,True,-6,0.0
1,8,3,True,-6,0.0
9,14,1,True,-6,0.0
9,14,2,True,-6,0.31
9,14,3,True,-6,0.0
15,18,1,True,-6,0.25
15,18,2,True,-6,0.21
15,18,3,True,-6,0.0
19,22,1,True,-6,0.36
19,22,2,True,-6,0.09
19,22,3,True,-6,0.0
23,26,1,True,-6,0.24
23,26,2,True,-6,0.0
23,26,3,True,-6,0.0
27,47,1,True,-6,0.0
27,47,2,True,-6,0.33
27,47,3,True,-6,1.0
0,0,1,True,-7,0.0
0,0,2,True,-7,0.0
0,0,3,True,-7,0.0
1,8,1,True,-7,0.0
1,8,2,True,-7,0.0
1,8,3,True,-7,0.0
9,14,1,True,-7,0.0
9,14,2,True,-7,0.15
9,14,3,True,-7,0.0
15,18,1,True,-7,0.25
15,18,2,True,-7,0.21
15,18,3,True,-7,0.0
19,22,1,True,-7,0.14
19,22,2,True,-7,0.27
19,22,3,True,-7,0.0
23,26,1,True,-7,0.0
23,26,2,True,-7,0.0
23,26,3,True,-7,0.0
27,47,1,True,-7,0.29
27,47,2,True,-7,0.0
27,47,3,True,-7,0.0
0,0,1,True,-8,0.0
0,0,2,True,-8,0.0
0,0,3,True,-8,0.0
1,8,1,True,-8,0.0
1,8,2,True,-8,0.0
1,8,3,True,-8,0.0
9,14,1,True,-8,0.0
9,14,2,True,-8,0.08
9,14,3,True,-8,0.0
15,18,1,True,-8,0.0
15,18,2,True,-8,0.07
15,18,3,True,-8,0.0
19,22,1,True,-8,0.21
19,22,2,True,-8,0.09
19,22,3,True,-8,0.0
23,26,1,True,-8,0.24
23,26,2,True,-8,0.0
23,26,3,True,-8,0.0
27,47,1,True,-8,0.14
27,47,2,True,-8,0.33
27,47,3,True,-8,0.0
0,0,1,True,-9,0.0
0,0,2,True,-9,0.0
0,0,3,True,-9,0.0
1,8,1,True,-9,0.0
1,8,2,True,-9,0.0
1,8,3,True,-9,0.0
9,14,1,True,-9,0.0
9,14,2,True,-9,0.0
9,14,3,True,-9,1.0
15,18,1,True,-9,0.0
15,18,2,True,-9,0.07
15,18,3,True,-9,0.0
19,22,1,True,-9,0.07
19,22,2,True,-9,0.0
19,22,3,True,-9,0.0
23,26,1,True,-9,0.06
23,26,2,True,-9,0.25
23,26,3,True,-9,0.25
27,47,1,True,-9,0.14
27,47,2,True,-9,0.33
27,47,3,True,-9,0.0
