"HH_ID","JTRIP_ID","NUMBER_HH","PERSON_1","PERSON_2","PERSON_3","PERSON_4","PERSON_5","PERSON_6","PERSON_7","PERSON_8","PERSON_9","COMPOSITION","DAYNO","uid"
161006745,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161006745-1"
161006745,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161006745-2"
161006901,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161006901-1"
161007006,1,2,4,5,NA,NA,NA,NA,NA,NA,NA,2,1,"1-161007006-1"
161007426,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161007426-1"
161007426,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161007426-2"
161007426,3,3,1,2,3,NA,NA,NA,NA,NA,NA,3,1,"1-161007426-3"
161007426,4,3,1,2,3,NA,NA,NA,NA,NA,NA,3,1,"1-161007426-4"
161007426,5,3,1,2,3,NA,NA,NA,NA,NA,NA,3,1,"1-161007426-5"
161007647,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161007647-1"
161007647,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161007647-2"
161008124,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161008124-1"
161009004,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161009004-1"
161009004,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161009004-2"
161009344,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161009344-1"
161009344,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161009344-2"
161009344,3,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161009344-3"
161009344,4,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161009344-4"
161009466,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161009466-1"
161009466,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161009466-2"
161009538,1,4,1,2,3,4,NA,NA,NA,NA,NA,3,1,"1-161009538-1"
161009538,2,4,1,2,3,4,NA,NA,NA,NA,NA,3,1,"1-161009538-2"
161009538,3,2,1,2,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161009538-3"
161009538,4,2,1,2,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161009538-4"
161009538,5,2,1,4,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161009538-5"
161009538,6,3,1,2,4,NA,NA,NA,NA,NA,NA,3,1,"1-161009538-6"
161009538,7,4,1,2,3,4,NA,NA,NA,NA,NA,3,1,"1-161009538-7"
161009538,8,4,1,2,3,4,NA,NA,NA,NA,NA,3,1,"1-161009538-8"
161009538,9,2,1,4,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161009538-9"
161009538,10,2,1,4,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161009538-10"
161009682,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161009682-1"
161009682,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161009682-2"
161010322,1,3,2,3,4,NA,NA,NA,NA,NA,NA,3,1,"1-161010322-1"
161010322,2,2,2,4,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161010322-2"
161011774,1,2,1,3,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161011774-1"
161011774,2,2,1,4,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161011774-2"
161011774,3,2,2,3,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161011774-3"
161012877,1,3,2,3,4,NA,NA,NA,NA,NA,NA,3,1,"1-161012877-1"
161012877,2,2,2,4,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161012877-2"
161012877,3,3,1,2,4,NA,NA,NA,NA,NA,NA,3,1,"1-161012877-3"
161012877,4,2,2,4,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161012877-4"
161012877,5,2,2,4,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161012877-5"
161012877,6,3,1,2,4,NA,NA,NA,NA,NA,NA,3,1,"1-161012877-6"
161012877,7,3,1,2,4,NA,NA,NA,NA,NA,NA,3,1,"1-161012877-7"
161012877,8,4,1,2,3,4,NA,NA,NA,NA,NA,3,1,"1-161012877-8"
161012877,9,4,1,2,3,4,NA,NA,NA,NA,NA,3,1,"1-161012877-9"
161012877,10,4,1,2,3,4,NA,NA,NA,NA,NA,3,1,"1-161012877-10"
161012877,11,4,1,2,3,4,NA,NA,NA,NA,NA,3,1,"1-161012877-11"
161013286,1,2,1,4,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161013286-1"
161013286,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161013286-2"
161013286,3,2,2,3,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161013286-3"
161013286,4,2,1,4,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161013286-4"
161013286,5,2,1,4,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161013286-5"
161013468,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161013468-1"
161013468,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161013468-2"
161013533,1,2,1,3,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161013533-1"
161013533,2,2,1,3,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161013533-2"
161015092,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161015092-1"
161015092,2,3,2,3,4,NA,NA,NA,NA,NA,NA,3,1,"1-161015092-2"
161015092,3,3,2,3,4,NA,NA,NA,NA,NA,NA,3,1,"1-161015092-3"
161015092,4,3,2,3,4,NA,NA,NA,NA,NA,NA,3,1,"1-161015092-4"
161015092,5,3,2,3,4,NA,NA,NA,NA,NA,NA,3,1,"1-161015092-5"
161015092,6,3,2,3,4,NA,NA,NA,NA,NA,NA,3,1,"1-161015092-6"
161015425,1,4,2,4,5,6,NA,NA,NA,NA,NA,3,1,"1-161015425-1"
161015425,2,5,2,3,4,5,6,NA,NA,NA,NA,3,1,"1-161015425-2"
161015425,3,5,2,3,4,5,6,NA,NA,NA,NA,3,1,"1-161015425-3"
161015425,4,5,2,3,4,5,6,NA,NA,NA,NA,3,1,"1-161015425-4"
161015728,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161015728-1"
161015728,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161015728-2"
161015948,1,3,1,4,5,NA,NA,NA,NA,NA,NA,3,1,"1-161015948-1"
161015948,2,3,1,4,5,NA,NA,NA,NA,NA,NA,3,1,"1-161015948-2"
161015948,3,3,1,4,5,NA,NA,NA,NA,NA,NA,3,1,"1-161015948-3"
161015948,4,3,1,4,5,NA,NA,NA,NA,NA,NA,3,1,"1-161015948-4"
161015948,5,4,1,3,4,5,NA,NA,NA,NA,NA,3,1,"1-161015948-5"
161015948,6,5,1,2,3,4,5,NA,NA,NA,NA,3,1,"1-161015948-6"
161015948,7,5,1,2,3,4,5,NA,NA,NA,NA,3,1,"1-161015948-7"
161015948,8,5,1,2,3,4,5,NA,NA,NA,NA,3,1,"1-161015948-8"
161015948,9,5,1,2,3,4,5,NA,NA,NA,NA,3,1,"1-161015948-9"
161016298,1,4,2,3,4,5,NA,NA,NA,NA,NA,3,1,"1-161016298-1"
161016298,2,4,2,3,4,5,NA,NA,NA,NA,NA,3,1,"1-161016298-2"
161016298,3,4,2,3,4,5,NA,NA,NA,NA,NA,3,1,"1-161016298-3"
161016298,4,4,2,3,4,5,NA,NA,NA,NA,NA,3,1,"1-161016298-4"
161016298,5,4,2,3,4,5,NA,NA,NA,NA,NA,3,1,"1-161016298-5"
161017972,1,2,2,4,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161017972-1"
161018140,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161018140-1"
161018140,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161018140-2"
161018140,3,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161018140-3"
161018806,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161018806-1"
161018806,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161018806-2"
161018806,3,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161018806-3"
161018806,4,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161018806-4"
161019100,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161019100-1"
161019100,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161019100-2"
161019100,3,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161019100-3"
161019145,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161019145-1"
161019145,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161019145-2"
161019145,3,2,2,3,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161019145-3"
161019145,4,2,2,3,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161019145-4"
161019145,5,2,2,3,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161019145-5"
161019145,6,2,1,3,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161019145-6"
161019145,7,2,1,3,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161019145-7"
161019145,8,2,1,3,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161019145-8"
161020999,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161020999-1"
161020999,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161020999-2"
161021443,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161021443-1"
161021443,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161021443-2"
161021715,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161021715-1"
161021715,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161021715-2"
161021715,3,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161021715-3"
161021844,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161021844-1"
161022132,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161022132-1"
161022132,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161022132-2"
161022132,3,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161022132-3"
161022132,4,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161022132-4"
161022560,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161022560-1"
161022796,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161022796-1"
161022796,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161022796-2"
161022796,3,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161022796-3"
161022796,4,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161022796-4"
161022796,5,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161022796-5"
161024713,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161024713-1"
161024713,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161024713-2"
161025151,1,2,3,4,NA,NA,NA,NA,NA,NA,NA,2,1,"1-161025151-1"
161025151,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161025151-2"
161025818,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161025818-1"
161026296,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161026296-1"
161027443,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161027443-1"
161027443,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161027443-2"
161027443,3,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161027443-3"
161027443,4,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161027443-4"
161028908,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161028908-1"
161028908,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161028908-2"
161029109,1,2,1,4,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161029109-1"
161029109,2,2,1,4,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161029109-2"
161029109,3,3,1,3,4,NA,NA,NA,NA,NA,NA,3,1,"1-161029109-3"
161029109,4,3,1,3,4,NA,NA,NA,NA,NA,NA,3,1,"1-161029109-4"
161029426,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161029426-1"
161029426,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161029426-2"
161030167,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161030167-1"
161030167,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161030167-2"
161030167,3,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161030167-3"
161030235,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161030235-1"
161030235,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161030235-2"
161030235,3,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161030235-3"
161030695,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161030695-1"
161032317,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161032317-1"
161032317,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161032317-2"
161032317,3,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161032317-3"
161032317,4,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161032317-4"
161032317,5,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161032317-5"
161032317,6,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161032317-6"
161032317,7,2,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161032317-7"
161032317,8,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161032317-8"
161032317,9,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161032317-9"
161032317,10,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161032317-10"
161032317,11,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161032317-11"
161032317,12,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161032317-12"
161032317,13,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161032317-13"
161032317,14,2,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161032317-14"
161032328,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161032328-1"
161033959,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161033959-1"
161033959,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161033959-2"
161034366,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161034366-1"
161034366,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161034366-2"
161034366,3,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161034366-3"
161036765,1,2,2,4,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161036765-1"
161036765,2,2,2,4,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161036765-2"
161036765,3,2,2,3,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161036765-3"
161036765,4,2,2,3,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161036765-4"
161036765,5,2,2,4,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161036765-5"
161036765,6,2,2,4,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161036765-6"
161036765,7,2,2,4,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161036765-7"
161036765,8,2,2,4,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161036765-8"
161036765,9,2,1,4,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161036765-9"
161038777,1,3,2,3,4,NA,NA,NA,NA,NA,NA,3,1,"1-161038777-1"
161038777,2,3,2,3,4,NA,NA,NA,NA,NA,NA,3,1,"1-161038777-2"
161038777,3,3,2,3,4,NA,NA,NA,NA,NA,NA,3,1,"1-161038777-3"
161039129,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161039129-1"
161039129,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161039129-2"
161040271,1,3,2,3,4,NA,NA,NA,NA,NA,NA,3,1,"1-161040271-1"
161040271,2,3,1,3,4,NA,NA,NA,NA,NA,NA,3,1,"1-161040271-2"
161040271,3,4,1,2,3,4,NA,NA,NA,NA,NA,3,1,"1-161040271-3"
161041572,1,4,1,3,4,5,NA,NA,NA,NA,NA,3,1,"1-161041572-1"
161041572,2,4,1,3,4,5,NA,NA,NA,NA,NA,3,1,"1-161041572-2"
161041780,1,3,1,3,4,NA,NA,NA,NA,NA,NA,3,1,"1-161041780-1"
161041780,2,4,1,2,5,6,NA,NA,NA,NA,NA,3,1,"1-161041780-2"
161041780,3,4,1,2,5,6,NA,NA,NA,NA,NA,3,1,"1-161041780-3"
161041780,4,4,1,2,5,6,NA,NA,NA,NA,NA,3,1,"1-161041780-4"
161041780,5,3,1,3,4,NA,NA,NA,NA,NA,NA,3,1,"1-161041780-5"
161043551,1,2,1,3,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161043551-1"
161043551,2,2,1,3,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161043551-2"
161043551,3,2,1,3,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161043551-3"
161043551,4,2,1,3,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161043551-4"
161043551,5,2,1,3,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161043551-5"
161048779,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161048779-1"
161048941,1,3,1,3,4,NA,NA,NA,NA,NA,NA,3,1,"1-161048941-1"
161048941,2,2,1,4,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161048941-2"
161048941,3,2,1,4,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161048941-3"
161048941,4,2,1,4,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161048941-4"
161048941,5,2,1,4,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161048941-5"
161048941,6,2,2,3,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161048941-6"
161048941,7,2,2,3,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161048941-7"
161048941,8,2,2,3,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161048941-8"
161048941,9,2,2,3,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161048941-9"
161048941,10,3,1,3,4,NA,NA,NA,NA,NA,NA,3,1,"1-161048941-10"
161050238,1,2,4,5,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161050238-1"
161051444,1,4,1,1,2,3,NA,NA,NA,NA,NA,3,1,"1-161051444-1"
161051444,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161051444-2"
161051444,3,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161051444-3"
161051444,4,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161051444-4"
161051444,5,2,1,3,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161051444-5"
161052772,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161052772-1"
161052772,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161052772-2"
161052772,3,2,2,3,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161052772-3"
161052772,4,2,2,3,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161052772-4"
161052868,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161052868-1"
161052868,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161052868-2"
161054526,1,2,1,3,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161054526-1"
161054526,2,2,1,3,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161054526-2"
161054526,3,2,1,3,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161054526-3"
161055787,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161055787-1"
161056031,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161056031-1"
161056031,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161056031-2"
161056522,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161056522-1"
161056522,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161056522-2"
161056532,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161056532-1"
161056532,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161056532-2"
161056532,3,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161056532-3"
161056852,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161056852-1"
161056852,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161056852-2"
161057009,1,3,3,5,6,NA,NA,NA,NA,NA,NA,3,1,"1-161057009-1"
161057009,2,3,3,5,6,NA,NA,NA,NA,NA,NA,3,1,"1-161057009-2"
161061769,1,3,2,3,4,NA,NA,NA,NA,NA,NA,3,1,"1-161061769-1"
161061769,2,3,2,3,4,NA,NA,NA,NA,NA,NA,3,1,"1-161061769-2"
161061769,3,3,2,3,4,NA,NA,NA,NA,NA,NA,3,1,"1-161061769-3"
161061782,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161061782-1"
161062079,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161062079-1"
161062079,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161062079-2"
161062263,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,"1-161062263-1"
161062881,1,2,1,3,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161062881-1"
161063048,1,4,1,2,3,4,NA,NA,NA,NA,NA,3,1,"1-161063048-1"
161063048,2,3,1,3,4,NA,NA,NA,NA,NA,NA,3,1,"1-161063048-2"
161063048,3,3,1,3,4,NA,NA,NA,NA,NA,NA,3,1,"1-161063048-3"
161063048,4,3,1,3,4,NA,NA,NA,NA,NA,NA,3,1,"1-161063048-4"
161063048,5,4,1,2,3,4,NA,NA,NA,NA,NA,3,1,"1-161063048-5"
161063048,6,4,1,2,3,4,NA,NA,NA,NA,NA,3,1,"1-161063048-6"
161063048,7,4,1,2,3,4,NA,NA,NA,NA,NA,3,1,"1-161063048-7"
161063048,8,4,1,2,3,4,NA,NA,NA,NA,NA,3,1,"1-161063048-8"
161063048,9,4,1,2,3,4,NA,NA,NA,NA,NA,3,1,"1-161063048-9"
161063733,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161063733-1"
161063733,2,2,1,4,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161063733-2"
161063733,3,2,1,4,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161063733-3"
161063733,4,3,1,3,4,NA,NA,NA,NA,NA,NA,3,1,"1-161063733-4"
161063733,5,3,1,3,4,NA,NA,NA,NA,NA,NA,3,1,"1-161063733-5"
161063733,6,3,1,3,4,NA,NA,NA,NA,NA,NA,3,1,"1-161063733-6"
161065277,1,4,2,4,5,6,NA,NA,NA,NA,NA,3,1,"1-161065277-1"
161065277,2,4,2,4,5,6,NA,NA,NA,NA,NA,3,1,"1-161065277-2"
161065277,3,4,2,4,5,6,NA,NA,NA,NA,NA,3,1,"1-161065277-3"
161065277,4,4,2,4,5,6,NA,NA,NA,NA,NA,3,1,"1-161065277-4"
161065277,5,2,2,6,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161065277-5"
161065277,6,2,2,6,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161065277-6"
161065277,7,3,1,3,4,NA,NA,NA,NA,NA,NA,3,1,"1-161065277-7"
161065277,8,3,2,5,6,NA,NA,NA,NA,NA,NA,3,1,"1-161065277-8"
161065277,9,3,1,3,4,NA,NA,NA,NA,NA,NA,3,1,"1-161065277-9"
161065277,10,2,1,4,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161065277-10"
161065277,11,2,1,4,NA,NA,NA,NA,NA,NA,NA,3,1,"1-161065277-11"
161067401,1,3,2,3,4,NA,NA,NA,NA,NA,NA,3,1,"1-161067401-1"
161067401,2,3,2,3,4,NA,NA,NA,NA,NA,NA,3,1,"1-161067401-2"
161067401,3,3,2,3,4,NA,NA,NA,NA,NA,NA,3,1,"1-161067401-3"
161067401,4,4,1,2,3,4,NA,NA,NA,NA,NA,3,1,"1-161067401-4"
