"HH_ID","JTOUR_ID","NUMBER_HH","PERSON_1","PERSON_2","PERSON_3","PERSON_4","PERSON_5","PERSON_6","PERSON_7","PERSON_8","PERSON_9","COMPOSITION","JOINT_PURP","DAYNO","uid","finalweight","TOURMODE","AUTOSUFF","ANCHOR_DEPART_BIN","ANCHOR_ARRIVE_BIN","TOUR_DUR_BIN","DIST","DISTMILE","OUTBOUND_STOPS","INBOUND_STOPS","TOTAL_STOPS","SKIMDIST"
161019145,1,2,1,3,NA,NA,NA,NA,NA,NA,NA,3,9,1,"161019145-1",10.75532,2,2,25,32,8,18.264504,0.00345918636363636,0,1,1,8.932618
161020999,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,9,1,"161020999-1",19.5998,2,1,18,28,11,49.763437,0.00942489337121212,0,0,0,25.051813
161021443,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,7,1,"161021443-1",13.01136,2,2,29,31,3,2.72623,0.000516331439393939,0,0,0,1.363115
161021715,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,4,1,"161021715-1",65.0861,3,2,18,25,8,38.5848,0.00730772727272727,0,1,1,18.93771
161022132,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,7,1,"161022132-1",66.02,3,2,27,30,4,10.80612,0.00204661363636364,1,0,1,4.844042
161022796,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,6,1,"161022796-1",65.0568,2,1,5,NA,NA,23.788188,0.00450533863636364,4,0,4,0.257481
161029109,1,3,1,3,4,NA,NA,NA,NA,NA,NA,3,7,1,"161029109-1",13.01136,3,2,26,27,2,2.871816,0.000543904545454545,0,0,0,1.436839
161029426,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,9,1,"161029426-1",54.237675,2,2,33,35,3,6.677038,0.00126459053030303,0,0,0,3.29493
161030167,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,5,1,"161030167-1",3.9483,2,1,27,28,2,1.316573,0.000249350946969697,0,0,0,0.728761
161030235,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,9,1,"161030235-1",10.83308,2,2,26,33,8,7.704962,0.00145927310606061,0,1,1,2.354869
161033959,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,13,1,"161033959-1",66.5285,2,1,17,18,2,1.748534,0.000331161742424242,0,0,0,0.874267
161034366,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,9,1,"161034366-1",65.0568,2,2,21,25,5,16.858812,0.00319295681818182,0,1,1,2.651805
161036765,1,2,2,4,NA,NA,NA,NA,NA,NA,NA,3,4,1,"161036765-1",3.91996,2,2,6,7,2,1.242426,0.000235307954545455,0,0,0,0.621213
161036765,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,3,3,1,"161036765-2",3.91996,2,2,8,9,2,3.895636,0.000737809848484849,0,0,0,1.947818
161036765,3,2,2,4,NA,NA,NA,NA,NA,NA,NA,3,4,1,"161036765-3",3.91996,2,2,20,20,1,1.242426,0.000235307954545455,0,0,0,0.621213
161036765,4,2,2,4,NA,NA,NA,NA,NA,NA,NA,3,4,1,"161036765-4",3.91996,2,2,25,25,1,6.0257,0.00114123106060606,0,0,0,2.943588
161041780,1,4,1,2,5,6,NA,NA,NA,NA,NA,3,9,1,"161041780-1",1933.79354961189,3,2,10,19,10,56.668456,0.0107326621212121,1,0,1,21.185642
161052772,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,3,9,1,"161052772-1",13.02836,2,2,27,29,3,5.81098,0.00110056439393939,0,0,0,2.90549
161056031,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,9,1,"161056031-1",19.5998,2,1,14,22,9,26.178706,0.00495808825757576,0,0,0,13.358189
161056522,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,13,1,"161056522-1",77.1996112535807,2,1,5,6,2,1.009194,0.000191135227272727,0,0,0,0.504597
161056532,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,5,1,"161056532-1",4.89995,2,2,32,33,2,2.9764,0.000563712121212121,1,0,1,1.390736
161057009,1,3,3,5,6,NA,NA,NA,NA,NA,NA,3,3,1,"161057009-1",1283.30018255722,3,1,6,22,17,4.137218,0.000783564015151515,0,0,0,2.068609
161061769,1,3,2,3,4,NA,NA,NA,NA,NA,NA,3,9,1,"161061769-1",1146.23225331078,3,2,11,17,7,29.462437,0.00558000700757576,0,1,1,14.973999
161063048,1,3,1,3,4,NA,NA,NA,NA,NA,NA,3,5,1,"161063048-1",19.5998,4,0,8,10,3,0.8743,0.000165587121212121,0,0,0,0.43715
161063733,1,2,1,4,NA,NA,NA,NA,NA,NA,NA,3,6,1,"161063733-1",116.873166666667,3,2,13,16,4,3.508873,0.00066455928030303,0,0,0,1.699679
161067401,1,3,2,3,4,NA,NA,NA,NA,NA,NA,3,1,1,"161067401-1",16.2642,3,2,5,25,21,29.908198,0.00566443143939394,0,1,1,15.63192
161067401,2,4,1,2,3,4,NA,NA,NA,NA,NA,3,9,1,"161067401-2",16.2642,3,2,26,29,4,10.008877,0.00189562064393939,0,0,0,5.319232
161069462,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,9,1,"161069462-1",339.618869698682,2,2,29,34,6,4.069843,0.000770803598484849,0,0,0,2.165081
161071302,1,3,1,4,5,NA,NA,NA,NA,NA,NA,3,8,1,"161071302-1",207.17742,3,2,12,16,5,5.613863,0.00106323162878788,0,0,0,2.806932
161071607,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,5,1,"161071607-1",13.01136,2,2,10,17,8,47.81538,0.00905594318181818,0,1,1,23.631321
161072569,1,2,3,4,NA,NA,NA,NA,NA,NA,NA,1,1,1,"161072569-1",667.726458099492,2,2,7,34,28,9.676407,0.00183265284090909,0,0,0,4.936035
161072625,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,3,3,1,"161072625-1",16.271525,3,2,20,25,6,23.680564,0.0044849553030303,0,0,0,12.305827
161072774,1,3,2,4,6,NA,NA,NA,NA,NA,NA,3,9,1,"161072774-1",246.95496,3,2,25,27,3,3.825502,0.000724526893939394,0,0,0,1.897424
161075271,1,3,2,3,4,NA,NA,NA,NA,NA,NA,3,5,1,"161075271-1",19.1382,3,2,23,28,6,30.753353,0.00582449867424242,1,0,1,10.224973
161075271,2,4,1,2,3,4,NA,NA,NA,NA,NA,3,8,1,"161075271-2",19.1382,3,2,30,34,5,4.602347,0.000871656628787879,1,0,1,2.135577
161075678,1,4,3,4,5,6,NA,NA,NA,NA,NA,3,8,1,"161075678-1",761.18525,3,2,22,27,6,5.251578,0.000994617045454545,0,0,0,2.625789
161075772,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,9,1,"161075772-1",65.0568,2,2,27,34,8,18.805198,0.00356159053030303,0,1,1,8.881917
161085647,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,13,1,"161085647-1",21.2229590636572,2,2,NA,35,NA,NA,NA,0,1,1,NA
161085771,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,1,2,1,"161085771-1",316.59881417531,2,1,18,27,10,8.106011,0.00153522935606061,0,1,1,3.731076
161088773,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,6,1,"161088773-1",72.2676486469807,6,0,17,26,10,71.560489,0.0135531229166667,0,0,0,35.580875
161089128,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,5,1,"161089128-1",4.89995,4,1,27,28,2,0.489304,9.26712121212121e-05,0,0,0,0.244652
161091353,1,2,2,5,NA,NA,NA,NA,NA,NA,NA,3,6,1,"161091353-1",157.967577848109,2,1,12,16,5,4.678788,0.000886134090909091,0,0,0,2.283672
161097078,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,3,8,1,"161097078-1",3.94122,2,2,28,30,3,2.839252,0.000537737121212121,0,0,0,1.419626
161097175,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,6,1,"161097175-1",21.6953666666667,2,2,18,23,6,34.391924,0.00651362196969697,0,0,0,17.33882
161098959,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,9,1,"161098959-1",1487.5834,2,1,11,17,7,12.075982,0.0022871178030303,0,5,5,3.363294
161100993,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,7,1,"161100993-1",16.3851,4,2,28,34,7,1.869975,0.000354161931818182,0,1,1,0.752747
161101364,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,9,1,"161101364-1",3.91996,2,2,9,13,5,11.464002,0.0021712125,0,0,0,5.735185
161103469,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,13,1,"161103469-1",131.0274,2,2,NA,24,NA,NA,NA,0,2,2,NA
161104297,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,6,1,"161104297-1",65.5173,2,2,13,19,7,16.264617,0.00308041988636364,0,1,1,7.213368
161105240,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,7,1,"161105240-1",257.28726,2,2,29,33,5,5.57039,0.00105499810606061,0,0,0,2.785195
161110860,1,2,1,3,NA,NA,NA,NA,NA,NA,NA,3,9,1,"161110860-1",16.316175,2,2,25,27,3,14.520721,0.0027501365530303,0,0,0,7.345283
161111418,1,2,3,4,NA,NA,NA,NA,NA,NA,NA,2,3,1,"161111418-1",23.417094242566,2,2,6,21,16,3.927301,0.000743807007575758,0,0,0,1.925339
161114533,1,3,1,2,3,NA,NA,NA,NA,NA,NA,3,6,1,"161114533-1",13.17048,3,2,11,15,5,7.468632,0.00141451363636364,0,0,0,3.734316
161114965,1,4,1,3,4,5,NA,NA,NA,NA,NA,3,5,1,"161114965-1",325.231525,3,2,30,31,2,2.666684,0.000505053787878788,0,0,0,1.333342
161115663,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,1,5,1,"161115663-1",118.695884605323,2,2,23,25,3,11.50903,0.00217974053030303,0,0,0,5.508526
161117778,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,3,4,1,"161117778-1",71.306375,2,2,25,26,2,2.107106,0.000399073106060606,0,0,0,1.053553
161123956,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,6,1,"161123956-1",297.3314,2,2,27,30,4,10.370487,0.00196410738636364,0,0,0,4.999729
161124623,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,7,1,"161124623-1",1376.68135028567,2,1,28,32,5,10.431259,0.00197561723484849,0,0,0,4.670139
161124777,1,3,1,3,4,NA,NA,NA,NA,NA,NA,3,9,1,"161124777-1",418.48435,3,2,11,17,7,36.585208,0.00692901666666667,0,1,1,30.012964
161124777,2,3,1,3,4,NA,NA,NA,NA,NA,NA,3,7,1,"161124777-2",418.48435,3,2,22,22,1,3.752369,0.000710675946969697,0,0,0,3.447639
161124777,3,3,1,3,4,NA,NA,NA,NA,NA,NA,3,5,1,"161124777-3",418.48435,3,2,23,29,7,34.084775,0.00645544981060606,2,1,3,6.365415
161128333,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,3,4,1,"161128333-1",92.6597653196167,2,2,28,31,4,23.903905,0.00452725473484849,0,0,0,11.899253
161130780,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,5,1,"161130780-1",322.69435,2,2,30,32,3,3.2851,0.00062217803030303,0,0,0,1.743886
161131228,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,2,1,"161131228-1",65.9999,2,2,11,19,9,12.92656,0.00244821212121212,0,2,2,5.901114
161131653,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,5,1,"161131653-1",58.5294526751147,2,1,18,22,5,7.842112,0.00148524848484848,0,0,0,3.911487
161134721,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,7,1,"161134721-1",3.92922,2,2,27,30,4,33.262588,0.00629973257575758,0,2,2,12.70103
161140330,1,2,3,4,NA,NA,NA,NA,NA,NA,NA,2,3,1,"161140330-1",65.7284,4,2,7,21,15,0.820966,0.000155485984848485,0,0,0,0.410483
161142490,1,2,3,4,NA,NA,NA,NA,NA,NA,NA,1,2,1,"161142490-1",582.881334217679,3,1,11,18,8,22.668572,0.00429329015151515,0,0,0,11.288311
161142490,2,2,3,4,NA,NA,NA,NA,NA,NA,NA,1,9,1,"161142490-2",582.881334217679,2,1,25,30,6,10.467815,0.00198254071969697,0,2,2,5.067422
161143249,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,9,1,"161143249-1",27.7716376716401,4,2,27,35,9,2.189541,0.000414685795454545,0,1,1,0.908399
161150480,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,9,1,"161150480-1",89.6920931976836,2,2,18,21,4,8.188074,0.00155077159090909,0,0,0,4.094037
161150906,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,5,1,"161150906-1",65.0568,2,1,18,19,2,2.72939,0.000516929924242424,0,1,1,1.188917
161153204,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,6,1,"161153204-1",825.3132,2,1,10,13,4,5.558793,0.00105280170454545,0,0,0,2.717648
161154629,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,3,3,1,"161154629-1",4.89995,2,2,8,9,2,20.556375,0.00389325284090909,0,0,0,10.652974
161154629,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,3,8,1,"161154629-2",4.89995,2,2,29,36,8,7.925352,0.00150101363636364,0,0,0,3.962788
161157000,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,9,1,"161157000-1",19.5998,2,2,16,26,11,27.447113,0.00519831685606061,1,1,2,3.83426
161157742,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,7,1,"161157742-1",230.725238701916,2,1,28,32,5,16.165545,0.00306165625,0,0,0,7.768647
161159431,1,3,1,3,4,NA,NA,NA,NA,NA,NA,3,1,1,"161159431-1",75.16182,3,2,5,25,21,53.63487,0.0101581193181818,0,0,0,26.775892
161164454,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,5,1,"161164454-1",19.609,2,1,13,19,7,20.121683,0.00381092481060606,1,0,1,4.52226
161170732,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,3,9,1,"161170732-1",13.44424,2,2,25,27,3,10.777255,0.00204114678030303,0,0,0,4.927702
161171919,1,2,2,4,NA,NA,NA,NA,NA,NA,NA,3,5,1,"161171919-1",13.0147,2,2,26,26,1,2.287884,0.000433311363636364,0,0,0,1.150161
161177832,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,5,1,"161177832-1",215.2656,2,2,26,27,2,4.273136,0.000809306060606061,0,0,0,2.136568
161179090,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,8,1,"161179090-1",4.937825,2,2,30,37,8,12.689572,0.00240332803030303,0,0,0,6.407137
161179116,1,3,2,3,4,NA,NA,NA,NA,NA,NA,3,9,1,"161179116-1",130.00335,4,2,10,12,3,1.121358,0.000212378409090909,0,0,0,0.560679
161179116,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,3,5,1,"161179116-2",130.00335,2,2,19,22,4,7.902953,0.00149677140151515,0,0,0,3.951476
161182768,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,7,1,"161182768-1",10.76016,2,2,16,20,5,16.229851,0.00307383541666667,0,2,2,6.342891
161184656,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,9,1,"161184656-1",105.123316080588,2,1,6,10,5,10.511915,0.00199089299242424,0,0,0,5.219077
161186118,1,2,1,3,NA,NA,NA,NA,NA,NA,NA,3,3,1,"161186118-1",16.279125,2,1,7,7,1,2.965842,0.0005617125,0,0,0,1.482921
161186362,1,3,2,3,4,NA,NA,NA,NA,NA,NA,1,7,1,"161186362-1",425.826266666667,3,2,28,30,3,11.898313,0.00225346837121212,0,0,0,5.558404
161191527,1,2,1,3,NA,NA,NA,NA,NA,NA,NA,1,7,1,"161191527-1",502.597338969237,2,2,31,32,2,2.264098,0.000428806439393939,0,0,0,1.132049
161191527,2,2,1,3,NA,NA,NA,NA,NA,NA,NA,1,13,1,"161191527-2",502.597338969237,2,2,32,33,2,2.264098,0.000428806439393939,0,0,0,1.132049
161192242,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,7,1,"161192242-1",3.94056,4,1,21,24,4,0.245858,4.65640151515152e-05,0,0,0,0.122929
161193801,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,9,1,"161193801-1",85.2083,2,2,21,26,6,9.022565,0.00170881912878788,0,1,1,4.360748
161194872,1,3,1,2,4,NA,NA,NA,NA,NA,NA,3,6,1,"161194872-1",78.37416,3,1,9,16,8,67.695446,0.0128211071969697,1,4,5,15.824573
161198371,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,7,1,"161198371-1",125.34125,4,2,28,31,4,1.013036,0.000191862878787879,0,0,0,0.506518
161198512,1,3,1,2,4,NA,NA,NA,NA,NA,NA,3,9,1,"161198512-1",290.99995698019,3,2,24,29,6,15.14548,0.00286846212121212,0,0,0,7.349598
161198512,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,7,1,"161198512-2",290.99995698019,2,2,30,33,4,4.269801,0.000808674431818182,0,0,0,2.136147
161199166,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,7,1,"161199166-1",13.20878,2,2,18,20,3,7.279278,0.00137865113636364,0,0,0,3.431626
161202843,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,7,1,"161202843-1",8.6518,4,1,14,18,5,1.926012,0.000364775,0,0,0,0.927853
161203024,1,2,3,4,NA,NA,NA,NA,NA,NA,NA,3,3,1,"161203024-1",2082.30758168916,2,2,5,22,18,3.023876,0.000572703787878788,0,0,0,1.511938
161206837,1,3,2,3,4,NA,NA,NA,NA,NA,NA,3,3,1,"161206837-1",6.53326666666667,3,2,6,7,2,4.12457,0.000781168560606061,1,0,1,1.139774
161206837,2,2,1,4,NA,NA,NA,NA,NA,NA,NA,3,9,1,"161206837-2",6.53326666666667,2,2,25,27,3,1.961959,0.000371583143939394,0,0,0,0.993364
161207184,1,4,2,3,4,5,NA,NA,NA,NA,NA,3,3,1,"161207184-1",71.827325,3,2,7,8,2,3.999331,0.000757449053030303,0,0,0,1.999665
161209345,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,3,4,1,"161209345-1",13.06072,3,2,20,23,4,8.064082,0.00152728825757576,2,0,2,2.509861
161210977,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,7,1,"161210977-1",65.0568,2,1,6,10,5,4.496546,0.000851618560606061,1,0,1,1.270185
161210977,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,6,1,"161210977-2",65.0568,2,1,12,21,10,10.067828,0.00190678560606061,0,3,3,3.192916
161214755,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,6,1,"161214755-1",48.80444,3,2,27,32,6,0.733756,0.000138968939393939,0,0,0,0.366878
161215099,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,7,1,"161215099-1",13.01722,2,1,15,23,9,46.162735,0.00874294223484848,3,2,5,20.270069
161218078,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,9,1,"161218078-1",65.9647993189498,2,2,29,34,6,31.563999,0.00597803011363636,0,0,0,15.760181
161219404,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,3,6,1,"161219404-1",16.2642,2,2,18,23,6,13.967872,0.0026454303030303,0,1,1,6.91447
161227665,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,9,1,"161227665-1",65.0568,2,2,18,19,2,6.257083,0.00118505359848485,0,0,0,3.128542
161228694,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,13,1,"161228694-1",65.0861,2,1,11,12,2,8.943676,0.00169387803030303,0,0,0,4.587335
161228767,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,7,1,"161228767-1",19.5998,2,1,11,18,8,63.72452,0.0120690378787879,0,1,1,30.699926
161230982,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,9,1,"161230982-1",19.5998,4,1,33,38,6,1.847543,0.000349913446969697,0,0,0,0.924507
161233898,1,2,1,3,NA,NA,NA,NA,NA,NA,NA,3,9,1,"161233898-1",77.102925,4,2,27,28,2,0.361568,6.84787878787879e-05,0,0,0,0.180784
161236013,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,5,1,"161236013-1",10.7722,2,1,21,24,4,3.951574,0.000748404166666667,0,0,0,2.009067
161239499,1,3,1,2,3,NA,NA,NA,NA,NA,NA,3,9,1,"161239499-1",235.051525,3,1,29,33,5,57.264976,0.0108456393939394,0,0,0,28.522348
161242347,1,2,2,4,NA,NA,NA,NA,NA,NA,NA,3,9,1,"161242347-1",290.3775,4,2,10,13,4,1.689096,0.000319904545454545,0,0,0,0.759218
161245970,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,5,1,"161245970-1",3.9483,4,1,27,29,3,0.892024,0.000168943939393939,0,0,0,0.502792
161246595,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,6,1,"161246595-1",13.19872,2,2,20,23,4,26.248293,0.00497126761363636,0,0,0,13.073496
161249172,1,2,2,4,NA,NA,NA,NA,NA,NA,NA,3,9,1,"161249172-1",16.2642,2,2,27,33,7,36.852861,0.00697970852272727,0,0,0,18.303539
171000030,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,1,9,1,"171000030-1",11.82636,2,1,1,2,3,2.620806,0.000496364772727273,0,0,0,1.310403
171000082,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,7,1,"171000082-1",4.89995,2,2,7,9,3,0.976412,0.000184926515151515,0,0,0,0.488206
171000082,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,8,1,"171000082-2",4.89995,4,2,12,15,4,1.502524,0.000284568939393939,0,0,0,0.764662
171000383,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,3,6,1,"171000383-1",280.347329909288,2,1,22,28,7,13.22188,0.00250414393939394,0,1,1,5.482471
171000383,2,3,1,2,3,NA,NA,NA,NA,NA,NA,3,7,1,"171000383-2",278.851252605839,4,1,29,31,3,1.014628,0.000192164393939394,0,0,0,0.507314
171001603,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,7,1,"171001603-1",65.0568,2,2,13,17,5,25.575939,0.00484392784090909,0,0,0,12.612805
171001868,1,2,1,3,NA,NA,NA,NA,NA,NA,NA,1,5,1,"171001868-1",13.02516,2,2,34,35,2,4.17555,0.000790823863636364,0,0,0,2.087775
171002542,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,5,1,"171002542-1",3.91996,2,2,27,NA,NA,2.930784,0.000555072727272727,1,0,1,0.211304
171003534,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,5,1,"171003534-1",65.0568,2,1,20,26,7,14.814032,0.00280568787878788,0,1,1,7.117185
171003572,1,3,1,2,3,NA,NA,NA,NA,NA,NA,3,7,1,"171003572-1",98.1571587135047,3,2,28,32,5,8.429488,0.00159649393939394,0,0,0,4.214744
171003959,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,13,1,"171003959-1",65.0568,2,2,20,22,3,3.436288,0.000650812121212121,0,0,0,1.742547
171004808,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,5,1,"171004808-1",16.28965,2,2,24,29,6,19.835677,0.00375675700757576,0,1,1,9.637885
171004819,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,13,1,"171004819-1",65.0861,3,2,24,32,9,41.199533,0.00780294185606061,3,0,3,15.82152
171004874,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,3,3,1,"171004874-1",13.01136,2,2,22,23,2,0.595228,0.000112732575757576,0,0,0,0.297614
