"tempid","freq1","freq2","freq3","freq4","freq5","freq6","freq7","freq8","freq9","freq10","freq11","freq12","freq13","freq14","freq15","freq16","freq17","freq18","freq19","freq20","freq21","freq22","freq23","freq24","freq25","freq26","freq27","freq28","freq29","freq30","freq31","freq32","freq33","freq34","freq35","freq36","freq37","freq38","freq39","freq40","TOURPURP","IS_INBOUND","PREV_ORIG_DEP_BIN","TRIP_ID","bin1","bin2","bin3","bin4","bin5","bin6","bin7","bin8","bin9","total"
60294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,29,4,0,0,0,0,0,0,0,0,0,0
60301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2992.10121687466,0,0,0,0,0,0,0,0,0,0,6,0,30,1,2992.10121687466,2992.10121687466,2992.10121687466,2992.10121687466,2992.10121687466,2992.10121687466,2992.10121687466,2992.10121687466,2992.10121687466,2992.10121687466
60302,0,0,0,0,0,0,0,0,65.7983,0,0,1276.4091,0,0,19.5998,32.72805,0,0,154.86225,0,1451.02864666667,318.82062,130.5974,0,0,0,0,0,298.5123,46.89535,32.567375,52.3988,0,0,0,0,0,0,0,0,6,0,30,2,46.89535,79.462725,131.861525,131.861525,131.861525,131.861525,131.861525,131.861525,131.861525,3880.21799166667
60303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.0873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,30,3,0,0,0,0,0,0,0,0,0,65.0873
60304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.95088,0,0,0,0,0,0,0,0,0,6,0,30,4,0,3.95088,3.95088,3.95088,3.95088,3.95088,3.95088,3.95088,3.95088,3.95088
60311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1937.62659833333,0,0,0,0,0,0,0,0,0,6,0,31,1,1937.62659833333,1937.62659833333,1937.62659833333,1937.62659833333,1937.62659833333,1937.62659833333,1937.62659833333,1937.62659833333,1937.62659833333,1937.62659833333
60312,0,0,0,0,0,44.5682,0,0,0,0,0,0,0,0,1078.751625,104.1144,0,0,1014.79288,0,0,0,0,65.1776,0,0,0,0,0,0,0,229.6601,0,0,0,0,0,0,0,0,6,0,31,2,0,229.6601,229.6601,229.6601,229.6601,229.6601,229.6601,229.6601,229.6601,2537.064805
60313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,31,3,0,0,0,0,0,0,0,0,0,0
60314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,31,4,0,0,0,0,0,0,0,0,0,0
60321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820.678633606443,0,0,0,0,0,0,0,0,6,0,32,1,820.678633606443,820.678633606443,820.678633606443,820.678633606443,820.678633606443,820.678633606443,820.678633606443,820.678633606443,820.678633606443,820.678633606443
