"TOURPURP","IS_INBOUND","TOD","PERSONTYPE","work","univ","scho","esco","shop","main","eati","visi","disc"
6,1,1,6,0,0,0,0,921.490136614862,910.62138,623.34512,0,48.7926
7,1,1,6,0,0,0,0,53.8029,0,0,0,0
8,1,1,6,0,0,0,0,0,0,36.0992,394.94832,376.89872
9,1,1,6,0,0,0,0,88.681794242566,0,33.7887,65.2647,116.299330177934
1,0,2,6,0,0,0,22.4042875695796,0,22.4042875695796,0,0,0
1,1,2,6,0,0,0,22.4042875695796,0,0,0,0,0
3,0,1,7,0,0,49767.8604316667,28854.6968716667,5802.66130333333,3709.04634166666,2977.55242,406.169498333333,4036.71538833333
4,0,1,7,0,0,5050.148095,11838.5368316667,140.637353333333,905.322483333333,955.147663333333,0,330.67187
5,0,1,7,0,0,1205.1384,16712.2677866667,2761.10161166667,32.63235,1373.81700666667,33.2814533333333,2154.04552
6,0,1,7,0,0,195.295235,356.882598333333,0,39.903,48.89572,21.51064,0
7,0,1,7,0,0,121.319253333333,1399.28054,0,350.688466666667,671.590455,0,140.13612
8,0,1,7,0,0,352.496046666667,93.030625,9.9116,22.2530666666667,0,626.74784,0
9,0,1,7,0,0,3204.19349666667,4102.650535,572.30912,84.1588166666666,2503.25618166667,811.11642,4313.12573333333
13,0,1,7,0,0,930.19995,0,0,0,478.515013333333,0,1494.79184666667
3,1,1,7,0,0,38611.11163,44013.178655,13544.0336966667,9068.77080333333,14642.5319733333,3241.66155333333,20307.6241766667
4,1,1,7,0,0,1825.59231333333,7336.44504,3334.086085,1512.320515,2379.4667,143.65465,290.73896
5,1,1,7,0,0,0,502.03528,1599.185685,21.7549,4025.52976,10.75532,0
6,1,1,7,0,0,0,660.06586,1030.51429833333,119.961483333333,120.271936666667,0,203.64482
7,1,1,7,0,0,297.51435,0,665.213426666667,234.393233333333,217.734116666667,212.6971,2099.03255
8,1,1,7,0,0,0,16.2642,111.585385,16.2642,16.2642,789.570075,16.316175
9,1,1,7,0,0,1522.75337,1353.30276333333,2901.68683333333,661.475523333333,955.178188333333,76.582095,2124.247425
13,1,1,7,0,0,0,0,0,0,19.1382,212.6971,1200.51694
3,0,1,8,0,0,3425.23425166667,6865.94421666667,909.231366666667,136.173425,449.3119,280.887,423.202895
4,0,1,8,0,0,471.205186666667,4149.79839333334,555.71454,2778.52711166667,615.971471666667,50.0236,464.551825
5,0,1,8,0,0,0,4126.24912166667,2569.05355,1913.30699666667,1035.89056,221.78767,1728.25807
6,0,1,8,0,0,166.6369,376.919605,0,1803.795,275.28736,528.1046,71.827325
7,0,1,8,0,0,0,2601.18345666667,1311.71555,2043.0196,510.51252,436.0244,350.688466666667
8,0,1,8,0,0,34.0830666666667,537.505315,771.460585,0,472.426375,16.349475,58.6224216666667
9,0,1,8,0,0,643.512773333333,3947.118985,1884.35918,2309.29588333333,917.175073333334,78.9479716666667,5213.91847666667
13,0,1,8,0,0,0,285.8868,0,0,0,0,767.49132
3,1,1,8,0,0,10201.82454,5560.449175,4097.62343333333,1395.054955,2565.11700166667,366.765091666667,5136.7136
4,1,1,8,0,0,510.870433333334,4278.79558333333,3544.60730166667,1487.76392666667,3091.484475,1150.47475833333,975.304923333334
5,1,1,8,0,0,345.29588,1409.90112,4300.36393833333,525.7294,959.1742,536.2089,218.992335
6,1,1,8,0,0,0,2669.94697,1079.772075,976.549301666667,1232.3732,48.8089,0
7,1,1,8,0,0,0,350.688466666667,654.25946,334.2046,674.232883333333,0,2380.1148
8,1,1,8,0,0,0,0,135.355375,83.06985,27.68995,263.190025,0
9,1,1,8,0,0,460.053013333333,2351.310025,1818.13733333333,582.987833333333,2158.731655,224.8299,978.276143333333
13,1,1,8,0,0,0,293.727533333333,313.3274,0,19.1382,285.8868,65.4098
