grouped_tour_mode,auto_suff,tours,purpose
TNC-REG,2,2708.541202247769,Total
TNC-SHARED,2,0.0,Total
SCHOOLBUS,2,518.042163493812,Total
ESCOOTER,2,138.104208365837,Total
EBIKE,2,3286.5935766509256,Total
All,All,795338.6530190805,Work
DRIVEALONE,All,595016.7211338528,Work
SHARED2,All,84603.09436188595,Work
SHARED3,All,77417.0422954419,Work
WALK,All,10604.674393791389,Work
BIKE,All,9514.20063861994,Work
WALK-TRANSIT,All,7123.176176904248,Work
PNR-TRANSIT,All,1747.0007252606824,Work
KNR-TRANSIT,All,3095.3114680811277,Work
TNC-TRANSIT,All,9.8773380966108,Work
TAXI,All,0.0,Work
TNC-REG,All,781.5152766961806,Work
TNC-SHARED,All,0.0,Work
SCHOOLBUS,All,0.0,Work
ESCOOTER,All,0.0,Work
EBIKE,All,249.712356526178,Work
All,0,9985.523811054658,Work
DRIVEALONE,0,399.025870407897,Work
SHARED2,0,151.87421757494,Work
SHARED3,0,0.0,Work
WALK,0,790.221420803447,Work
BIKE,0,0.0,Work
WALK-TRANSIT,0,4323.969105522798,Work
PNR-TRANSIT,0,0.0,Work
KNR-TRANSIT,0,286.1612591479606,Work
TNC-TRANSIT,0,9.8773380966108,Work
TAXI,0,0.0,Work
TNC-REG,0,496.078623958397,Work
TNC-SHARED,0,0.0,Work
SCHOOLBUS,0,0.0,Work
ESCOOTER,0,0.0,Work
EBIKE,0,0.0,Work
All,1,258890.9152881544,Work
DRIVEALONE,1,194824.447561643,Work
SHARED2,1,26042.7995240626,Work
SHARED3,1,22306.8953970716,Work
WALK,1,8920.80633456379,Work
BIKE,1,529.2243619855,Work
WALK-TRANSIT,1,2403.6980836745797,Work
PNR-TRANSIT,1,734.0107064431742,Work
KNR-TRANSIT,1,1191.1691069594553,Work
TNC-TRANSIT,1,0.0,Work
TAXI,1,0.0,Work
TNC-REG,1,245.348853515889,Work
TNC-SHARED,1,0.0,Work
SCHOOLBUS,1,0.0,Work
ESCOOTER,1,0.0,Work
EBIKE,1,0.0,Work
All,2,526462.2139198715,Work
DRIVEALONE,2,399793.247701802,Work
SHARED2,2,58408.4206202484,Work
SHARED3,2,55110.1468983703,Work
WALK,2,893.646638424153,Work
BIKE,2,8984.97627663444,Work
WALK-TRANSIT,2,395.50898770687047,Work
PNR-TRANSIT,2,1012.9900188175084,Work
KNR-TRANSIT,2,1617.9811019737115,Work
TNC-TRANSIT,2,0.0,Work
TAXI,2,0.0,Work
TNC-REG,2,40.0877992218947,Work
TNC-SHARED,2,0.0,Work
SCHOOLBUS,2,0.0,Work
ESCOOTER,2,0.0,Work
EBIKE,2,249.712356526178,Work
All,All,72076.54660354409,University
DRIVEALONE,All,21481.26523689866,University
SHARED2,All,9648.62728130121,University
SHARED3,All,12719.50056023019,University
WALK,All,6848.518498043601,University
BIKE,All,1569.7864994990675,University
WALK-TRANSIT,All,10181.487674631964,University
PNR-TRANSIT,All,319.83610074895876,University
KNR-TRANSIT,All,140.31612912784897,University
TNC-TRANSIT,All,0.0,University
TAXI,All,4.0,University
TNC-REG,All,958.904704155316,University
TNC-SHARED,All,0.0,University
SCHOOLBUS,All,20.0,University
ESCOOTER,All,0.0,University
EBIKE,All,0.0,University
All,0,12791.0,University
DRIVEALONE,0,49.0,University
SHARED2,0,1538.0,University
SHARED3,0,214.0,University
WALK,0,99.0,University
BIKE,0,1233.0,University
WALK-TRANSIT,0,5270.949936000001,University
PNR-TRANSIT,0,89.7804,University
KNR-TRANSIT,0,0.0,University
TNC-TRANSIT,0,0.0,University
TAXI,0,4.0,University
TNC-REG,0,0.0,University
TNC-SHARED,0,0.0,University
SCHOOLBUS,0,20.0,University
ESCOOTER,0,0.0,University
EBIKE,0,0.0,University
All,1,34251.581673910594,University
DRIVEALONE,1,9252.43914484136,University
SHARED2,1,4261.36050935122,University
SHARED3,1,7029.78579044377,University
WALK,1,3470.94867299096,University
BIKE,1,260.15240256449,University
WALK-TRANSIT,1,4890.927463666941,University
PNR-TRANSIT,1,0.0,University
KNR-TRANSIT,1,140.31612912784897,University
TNC-TRANSIT,1,0.0,University
TAXI,1,0.0,University
TNC-REG,1,958.904704155316,University
TNC-SHARED,1,0.0,University
SCHOOLBUS,1,0.0,University
ESCOOTER,1,0.0,University
EBIKE,1,0.0,University
All,2,25033.964929633494,University
DRIVEALONE,2,12179.8260920573,University
SHARED2,2,3849.26677194999,University
SHARED3,2,5475.71476978642,University
WALK,2,3278.56982505264,University
BIKE,2,76.6340969345775,University
WALK-TRANSIT,2,19.6102749650194,University
PNR-TRANSIT,2,230.05570074895874,University
KNR-TRANSIT,2,0.0,University
TNC-TRANSIT,2,0.0,University
TAXI,2,0.0,University
TNC-REG,2,0.0,University
TNC-SHARED,2,0.0,University
SCHOOLBUS,2,0.0,University
ESCOOTER,2,0.0,University
EBIKE,2,0.0,University
All,All,370551.5369245041,School
DRIVEALONE,All,50096.37525185679,School
SHARED2,All,84971.08824780851,School
SHARED3,All,157970.27055362595,School
WALK,All,50215.19837603348,School
BIKE,All,18582.42717827229,School
WALK-TRANSIT,All,2125.28900825939,School
PNR-TRANSIT,All,0.0,School
KNR-TRANSIT,All,0.0,School
TNC-TRANSIT,All,0.0,School
TAXI,All,0.0,School
TNC-REG,All,0.0,School
TNC-SHARED,All,0.0,School
SCHOOLBUS,All,4582.63342841512,School
ESCOOTER,All,0.0,School
EBIKE,All,277.262891367173,School
All,0,535.7411600331474,School
DRIVEALONE,0,0.0,School
SHARED2,0,0.0,School
SHARED3,0,283.638030645744,School
WALK,0,40.0723114816791,School
BIKE,0,0.0,School
WALK-TRANSIT,0,34.24452988729453,School
PNR-TRANSIT,0,0.0,School
KNR-TRANSIT,0,0.0,School
TNC-TRANSIT,0,0.0,School
TAXI,0,0.0,School
TNC-REG,0,0.0,School
TNC-SHARED,0,0.0,School
SCHOOLBUS,0,149.895019270037,School
ESCOOTER,0,0.0,School
EBIKE,0,0.0,School
All,1,93492.8280014621,School
DRIVEALONE,1,7559.11702709989,School
SHARED2,1,23075.8097766524,School
SHARED3,1,47209.0185256672,School
WALK,1,11641.4345244784,School
BIKE,1,46.9319312323893,School
WALK-TRANSIT,1,25.25248552134667,School
PNR-TRANSIT,1,0.0,School
KNR-TRANSIT,1,0.0,School
TNC-TRANSIT,1,0.0,School
TAXI,1,0.0,School
TNC-REG,1,0.0,School
TNC-SHARED,1,0.0,School
SCHOOLBUS,1,3914.69624565127,School
ESCOOTER,1,0.0,School
EBIKE,1,0.0,School
All,2,276522.96776300884,School
DRIVEALONE,2,42537.2582247569,School
SHARED2,2,61895.2784711561,School
SHARED3,2,110477.613997313,School
WALK,2,38533.6915400734,School
BIKE,2,18535.4952470399,School
WALK-TRANSIT,2,2065.7919928507486,School
PNR-TRANSIT,2,0.0,School
KNR-TRANSIT,2,0.0,School
TNC-TRANSIT,2,0.0,School
TAXI,2,0.0,School
TNC-REG,2,0.0,School
TNC-SHARED,2,0.0,School
SCHOOLBUS,2,518.042163493812,School
ESCOOTER,2,0.0,School
EBIKE,2,277.262891367173,School
All,All,1619658.1682006032,Ind-Maintenance
DRIVEALONE,All,602926.3844597035,Ind-Maintenance
SHARED2,All,392555.5930384987,Ind-Maintenance
SHARED3,All,410840.3465459006,Ind-Maintenance
WALK,All,140166.4102470719,Ind-Maintenance
BIKE,All,18776.318625145806,Ind-Maintenance
WALK-TRANSIT,All,12707.897320229486,Ind-Maintenance
PNR-TRANSIT,All,1914.342883392162,Ind-Maintenance
KNR-TRANSIT,All,8936.193905360975,Ind-Maintenance
TNC-TRANSIT,All,169.2353156176017,Ind-Maintenance
TAXI,All,1947.2792086913,Ind-Maintenance
TNC-REG,All,8744.755247976791,Ind-Maintenance
TNC-SHARED,All,0.0,Ind-Maintenance
SCHOOLBUS,All,0.0,Ind-Maintenance
ESCOOTER,All,288.741959382586,Ind-Maintenance
EBIKE,All,2103.474931681188,Ind-Maintenance
All,0,37847.372398730695,Ind-Maintenance
DRIVEALONE,0,2730.47102330347,Ind-Maintenance
SHARED2,0,1787.56186559976,Ind-Maintenance
SHARED3,0,599.391278527622,Ind-Maintenance
WALK,0,10136.1543774924,Ind-Maintenance
BIKE,0,0.0,Ind-Maintenance
WALK-TRANSIT,0,7796.769471218247,Ind-Maintenance
PNR-TRANSIT,0,83.91054305011743,Ind-Maintenance
KNR-TRANSIT,0,3250.6009941330963,Ind-Maintenance
TNC-TRANSIT,0,56.3385987955167,Ind-Maintenance
TAXI,0,320.276190548646,Ind-Maintenance
TNC-REG,0,2764.94926723099,Ind-Maintenance
TNC-SHARED,0,0.0,Ind-Maintenance
SCHOOLBUS,0,0.0,Ind-Maintenance
ESCOOTER,0,288.741959382586,Ind-Maintenance
EBIKE,0,359.797652502899,Ind-Maintenance
All,1,470929.0903270772,Ind-Maintenance
DRIVEALONE,1,144894.419918633,Ind-Maintenance
SHARED2,1,115779.244494685,Ind-Maintenance
SHARED3,1,141222.355572469,Ind-Maintenance
WALK,1,42409.8929031677,Ind-Maintenance
BIKE,1,483.170513427805,Ind-Maintenance
WALK-TRANSIT,1,4181.6411678993245,Ind-Maintenance
PNR-TRANSIT,1,1513.8866505603437,Ind-Maintenance
KNR-TRANSIT,1,5660.150693979755,Ind-Maintenance
TNC-TRANSIT,1,112.896716822085,Ind-Maintenance
TAXI,1,1627.003018142654,Ind-Maintenance
TNC-REG,1,3561.47541340738,Ind-Maintenance
TNC-SHARED,1,0.0,Ind-Maintenance
SCHOOLBUS,1,0.0,Ind-Maintenance
ESCOOTER,1,0.0,Ind-Maintenance
EBIKE,1,42.7448851482284,Ind-Maintenance
All,2,1110881.7054747953,Ind-Maintenance
DRIVEALONE,2,455301.493517767,Ind-Maintenance
SHARED2,2,274988.786678214,Ind-Maintenance
SHARED3,2,269018.599694904,Ind-Maintenance
WALK,2,87620.3629664118,Ind-Maintenance
BIKE,2,18293.148111718,Ind-Maintenance
WALK-TRANSIT,2,729.4866811119136,Ind-Maintenance
PNR-TRANSIT,2,316.54568978170056,Ind-Maintenance
KNR-TRANSIT,2,25.44221724812555,Ind-Maintenance
TNC-TRANSIT,2,0.0,Ind-Maintenance
TAXI,2,0.0,Ind-Maintenance
TNC-REG,2,2418.33056733842,Ind-Maintenance
TNC-SHARED,2,0.0,Ind-Maintenance
SCHOOLBUS,2,0.0,Ind-Maintenance
ESCOOTER,2,0.0,Ind-Maintenance
EBIKE,2,1700.93239403006,Ind-Maintenance
All,All,1012237.3506941432,Ind-Discretionary
DRIVEALONE,All,408676.4993708737,Ind-Discretionary
SHARED2,All,148304.09424719686,Ind-Discretionary
SHARED3,All,172053.13483339292,Ind-Discretionary
WALK,All,209989.80779105332,Ind-Discretionary
BIKE,All,14354.853949815271,Ind-Discretionary
WALK-TRANSIT,All,26436.045315868825,Ind-Discretionary
PNR-TRANSIT,All,576.020687688831,Ind-Discretionary
KNR-TRANSIT,All,383.5417289542265,Ind-Discretionary
TNC-TRANSIT,All,0.0,Ind-Discretionary
TAXI,All,1113.06422541153,Ind-Discretionary
TNC-REG,All,1701.074617326277,Ind-Discretionary
TNC-SHARED,All,0.0,Ind-Discretionary
SCHOOLBUS,All,0.0,Ind-Discretionary
ESCOOTER,All,1499.4216282953505,Ind-Discretionary
EBIKE,All,1386.8466477160664,Ind-Discretionary
All,0,50060.78320702102,Ind-Discretionary
DRIVEALONE,0,10584.5536337407,Ind-Discretionary
SHARED2,0,2432.63826989888,Ind-Discretionary
SHARED3,0,150.656742365532,Ind-Discretionary
WALK,0,21176.9865947851,Ind-Discretionary
BIKE,0,84.3320154626326,Ind-Discretionary
WALK-TRANSIT,0,8215.693454477043,Ind-Discretionary
PNR-TRANSIT,0,0.0,Ind-Discretionary
KNR-TRANSIT,0,209.53873510495376,Ind-Discretionary
TNC-TRANSIT,0,0.0,Ind-Discretionary
TAXI,0,0.0,Ind-Discretionary
TNC-REG,0,354.848454112143,Ind-Discretionary
TNC-SHARED,0,0.0,Ind-Discretionary
SCHOOLBUS,0,0.0,Ind-Discretionary
ESCOOTER,0,92.8936559139734,Ind-Discretionary
EBIKE,0,62.3742416094516,Ind-Discretionary
All,1,312637.6802063424,Ind-Discretionary
DRIVEALONE,1,113420.316917965,Ind-Discretionary
SHARED2,1,72485.063962059,Ind-Discretionary
SHARED3,1,57075.9170093754,Ind-Discretionary
WALK,1,31915.3426628573,Ind-Discretionary
BIKE,1,6228.44037643549,Ind-Discretionary
WALK-TRANSIT,1,12557.375578515552,Ind-Discretionary
PNR-TRANSIT,1,0.0,Ind-Discretionary
KNR-TRANSIT,1,36.56895927959254,Ind-Discretionary
TNC-TRANSIT,1,0.0,Ind-Discretionary
TAXI,1,1113.06422541153,Ind-Discretionary
TNC-REG,1,1096.10332752668,Ind-Discretionary
TNC-SHARED,1,0.0,Ind-Discretionary
SCHOOLBUS,1,0.0,Ind-Discretionary
ESCOOTER,1,1268.42376401554,Ind-Discretionary
EBIKE,1,760.316535924521,Ind-Discretionary
All,2,649538.8872807798,Ind-Discretionary
DRIVEALONE,2,284671.628819168,Ind-Discretionary
SHARED2,2,73386.392015239,Ind-Discretionary
SHARED3,2,114826.561081652,Ind-Discretionary
WALK,2,156897.478533411,Ind-Discretionary
BIKE,2,8042.08155791715,Ind-Discretionary
WALK-TRANSIT,2,5662.976282876228,Ind-Discretionary
PNR-TRANSIT,2,576.020687688831,Ind-Discretionary
KNR-TRANSIT,2,137.43403456968022,Ind-Discretionary
TNC-TRANSIT,2,0.0,Ind-Discretionary
TAXI,2,0.0,Ind-Discretionary
TNC-REG,2,250.122835687454,Ind-Discretionary
TNC-SHARED,2,0.0,Ind-Discretionary
SCHOOLBUS,2,0.0,Ind-Discretionary
ESCOOTER,2,138.104208365837,Ind-Discretionary
EBIKE,2,564.155870182094,Ind-Discretionary
All,All,141862.9803750819,Joint-Maintenance
DRIVEALONE,All,0.0,Joint-Maintenance
SHARED2,All,92437.460474125,Joint-Maintenance
SHARED3,All,47304.1684960004,Joint-Maintenance
WALK,All,1201.476447211716,Joint-Maintenance
BIKE,All,857.286224187774,Joint-Maintenance
WALK-TRANSIT,All,6.974415892381714,Joint-Maintenance
PNR-TRANSIT,All,0.0,Joint-Maintenance
KNR-TRANSIT,All,0.0,Joint-Maintenance
TNC-TRANSIT,All,0.0,Joint-Maintenance
TAXI,All,0.0,Joint-Maintenance
TNC-REG,All,0.0,Joint-Maintenance
TNC-SHARED,All,0.0,Joint-Maintenance
SCHOOLBUS,All,0.0,Joint-Maintenance
ESCOOTER,All,0.0,Joint-Maintenance
EBIKE,All,49.9338393909406,Joint-Maintenance
All,0,0.0,Joint-Maintenance
DRIVEALONE,0,0.0,Joint-Maintenance
SHARED2,0,0.0,Joint-Maintenance
SHARED3,0,0.0,Joint-Maintenance
WALK,0,0.0,Joint-Maintenance
BIKE,0,0.0,Joint-Maintenance
WALK-TRANSIT,0,0.0,Joint-Maintenance
PNR-TRANSIT,0,0.0,Joint-Maintenance
KNR-TRANSIT,0,0.0,Joint-Maintenance
TNC-TRANSIT,0,0.0,Joint-Maintenance
TAXI,0,0.0,Joint-Maintenance
TNC-REG,0,0.0,Joint-Maintenance
TNC-SHARED,0,0.0,Joint-Maintenance
SCHOOLBUS,0,0.0,Joint-Maintenance
ESCOOTER,0,0.0,Joint-Maintenance
EBIKE,0,0.0,Joint-Maintenance
All,1,48413.0711207117,Joint-Maintenance
DRIVEALONE,1,0.0,Joint-Maintenance
SHARED2,1,31160.76046473,Joint-Maintenance
SHARED3,1,15778.2085318302,Joint-Maintenance
WALK,1,604.161005797653,Joint-Maintenance
BIKE,1,857.286224187774,Joint-Maintenance
WALK-TRANSIT,1,6.974415892381714,Joint-Maintenance
PNR-TRANSIT,1,0.0,Joint-Maintenance
KNR-TRANSIT,1,0.0,Joint-Maintenance
TNC-TRANSIT,1,0.0,Joint-Maintenance
TAXI,1,0.0,Joint-Maintenance
TNC-REG,1,0.0,Joint-Maintenance
TNC-SHARED,1,0.0,Joint-Maintenance
SCHOOLBUS,1,0.0,Joint-Maintenance
ESCOOTER,1,0.0,Joint-Maintenance
EBIKE,1,0.0,Joint-Maintenance
All,2,93449.9092543702,Joint-Maintenance
DRIVEALONE,2,0.0,Joint-Maintenance
SHARED2,2,61276.700009395,Joint-Maintenance
SHARED3,2,31525.9599641702,Joint-Maintenance
WALK,2,597.315441414063,Joint-Maintenance
BIKE,2,0.0,Joint-Maintenance
WALK-TRANSIT,2,0.0,Joint-Maintenance
PNR-TRANSIT,2,0.0,Joint-Maintenance
KNR-TRANSIT,2,0.0,Joint-Maintenance
TNC-TRANSIT,2,0.0,Joint-Maintenance
TAXI,2,0.0,Joint-Maintenance
TNC-REG,2,0.0,Joint-Maintenance
TNC-SHARED,2,0.0,Joint-Maintenance
SCHOOLBUS,2,0.0,Joint-Maintenance
ESCOOTER,2,0.0,Joint-Maintenance
EBIKE,2,49.9338393909406,Joint-Maintenance
All,All,203982.6431771227,Joint-Discretionary
DRIVEALONE,All,0.0,Joint-Discretionary
SHARED2,All,114473.0686075304,Joint-Discretionary
SHARED3,All,43811.2101885028,Joint-Discretionary
WALK,All,45235.84961475972,Joint-Discretionary
BIKE,All,239.3403289589178,Joint-Discretionary
WALK-TRANSIT,All,0.0,Joint-Discretionary
PNR-TRANSIT,All,0.0,Joint-Discretionary
KNR-TRANSIT,All,0.0,Joint-Discretionary
TNC-TRANSIT,All,0.0,Joint-Discretionary
TAXI,All,0.0,Joint-Discretionary
TNC-REG,All,0.0,Joint-Discretionary
TNC-SHARED,All,0.0,Joint-Discretionary
SCHOOLBUS,All,0.0,Joint-Discretionary
ESCOOTER,All,0.0,Joint-Discretionary
EBIKE,All,223.17443737088,Joint-Discretionary
All,0,556.5208837134279,Joint-Discretionary
DRIVEALONE,0,0.0,Joint-Discretionary
SHARED2,0,494.477809705399,Joint-Discretionary
SHARED3,0,0.0,Joint-Discretionary
WALK,0,62.0430740080289,Joint-Discretionary
BIKE,0,0.0,Joint-Discretionary
WALK-TRANSIT,0,0.0,Joint-Discretionary
PNR-TRANSIT,0,0.0,Joint-Discretionary
KNR-TRANSIT,0,0.0,Joint-Discretionary
TNC-TRANSIT,0,0.0,Joint-Discretionary
TAXI,0,0.0,Joint-Discretionary
TNC-REG,0,0.0,Joint-Discretionary
TNC-SHARED,0,0.0,Joint-Discretionary
SCHOOLBUS,0,0.0,Joint-Discretionary
ESCOOTER,0,0.0,Joint-Discretionary
EBIKE,0,0.0,Joint-Discretionary
All,1,66248.99621834104,Joint-Discretionary
DRIVEALONE,1,0.0,Joint-Discretionary
SHARED2,1,45400.6397549459,Joint-Discretionary
SHARED3,1,12214.0317464235,Joint-Discretionary
WALK,1,8535.26485878479,Joint-Discretionary
BIKE,1,99.0598581868538,Joint-Discretionary
WALK-TRANSIT,1,0.0,Joint-Discretionary
PNR-TRANSIT,1,0.0,Joint-Discretionary
KNR-TRANSIT,1,0.0,Joint-Discretionary
TNC-TRANSIT,1,0.0,Joint-Discretionary
TAXI,1,0.0,Joint-Discretionary
TNC-REG,1,0.0,Joint-Discretionary
TNC-SHARED,1,0.0,Joint-Discretionary
SCHOOLBUS,1,0.0,Joint-Discretionary
ESCOOTER,1,0.0,Joint-Discretionary
EBIKE,1,0.0,Joint-Discretionary
All,2,137177.12607506823,Joint-Discretionary
DRIVEALONE,2,0.0,Joint-Discretionary
SHARED2,2,68577.9510428791,Joint-Discretionary
SHARED3,2,31597.1784420793,Joint-Discretionary
WALK,2,36638.5416819669,Joint-Discretionary
BIKE,2,140.280470772064,Joint-Discretionary
WALK-TRANSIT,2,0.0,Joint-Discretionary
PNR-TRANSIT,2,0.0,Joint-Discretionary
KNR-TRANSIT,2,0.0,Joint-Discretionary
TNC-TRANSIT,2,0.0,Joint-Discretionary
TAXI,2,0.0,Joint-Discretionary
TNC-REG,2,0.0,Joint-Discretionary
TNC-SHARED,2,0.0,Joint-Discretionary
SCHOOLBUS,2,0.0,Joint-Discretionary
ESCOOTER,2,0.0,Joint-Discretionary
EBIKE,2,223.17443737088,Joint-Discretionary
All,All,114790.43582928032,Work sub-tour
DRIVEALONE,All,63827.54313706136,Work sub-tour
SHARED2,All,11849.736942712909,Work sub-tour
SHARED3,All,5745.7853967445,Work sub-tour
WALK,All,31685.56728481248,Work sub-tour
BIKE,All,1388.5761205314982,Work sub-tour
WALK-TRANSIT,All,39.573546798112915,Work sub-tour
PNR-TRANSIT,All,0.0,Work sub-tour
KNR-TRANSIT,All,0.0,Work sub-tour
TNC-TRANSIT,All,0.0,Work sub-tour
TAXI,All,0.0,Work sub-tour
TNC-REG,All,0.0,Work sub-tour
TNC-SHARED,All,0.0,Work sub-tour
SCHOOLBUS,All,0.0,Work sub-tour
ESCOOTER,All,0.0,Work sub-tour
EBIKE,All,221.4217877836,Work sub-tour
All,0,460.40054729163694,Work sub-tour
DRIVEALONE,0,44.8883499012554,Work sub-tour
SHARED2,0,0.0,Work sub-tour
SHARED3,0,0.0,Work sub-tour
WALK,0,343.70703775641,Work sub-tour
BIKE,0,0.0,Work sub-tour
WALK-TRANSIT,0,39.573546798112915,Work sub-tour
PNR-TRANSIT,0,0.0,Work sub-tour
KNR-TRANSIT,0,0.0,Work sub-tour
TNC-TRANSIT,0,0.0,Work sub-tour
TAXI,0,0.0,Work sub-tour
TNC-REG,0,0.0,Work sub-tour
TNC-SHARED,0,0.0,Work sub-tour
SCHOOLBUS,0,0.0,Work sub-tour
ESCOOTER,0,0.0,Work sub-tour
EBIKE,0,0.0,Work sub-tour
All,1,35396.78621606146,Work sub-tour
DRIVEALONE,1,26390.1766471709,Work sub-tour
SHARED2,1,6983.50642153205,Work sub-tour
SHARED3,1,1540.95247287085,Work sub-tour
WALK,1,472.507749578968,Work sub-tour
BIKE,1,9.64292490868824,Work sub-tour
WALK-TRANSIT,1,0.0,Work sub-tour
PNR-TRANSIT,1,0.0,Work sub-tour
KNR-TRANSIT,1,0.0,Work sub-tour
TNC-TRANSIT,1,0.0,Work sub-tour
TAXI,1,0.0,Work sub-tour
TNC-REG,1,0.0,Work sub-tour
TNC-SHARED,1,0.0,Work sub-tour
SCHOOLBUS,1,0.0,Work sub-tour
ESCOOTER,1,0.0,Work sub-tour
EBIKE,1,0.0,Work sub-tour
All,2,78933.24906592722,Work sub-tour
DRIVEALONE,2,37392.4781399892,Work sub-tour
SHARED2,2,4866.23052118086,Work sub-tour
SHARED3,2,4204.83292387365,Work sub-tour
WALK,2,30869.3524974771,Work sub-tour
BIKE,2,1378.93319562281,Work sub-tour
WALK-TRANSIT,2,0.0,Work sub-tour
PNR-TRANSIT,2,0.0,Work sub-tour
KNR-TRANSIT,2,0.0,Work sub-tour
TNC-TRANSIT,2,0.0,Work sub-tour
TAXI,2,0.0,Work sub-tour
TNC-REG,2,0.0,Work sub-tour
TNC-SHARED,2,0.0,Work sub-tour
SCHOOLBUS,2,0.0,Work sub-tour
ESCOOTER,2,0.0,Work sub-tour
EBIKE,2,221.4217877836,Work sub-tour
