a,mgra,parkarea
613,3866,1
614,3911,1
615,3926,1
616,3928,1
617,3930,1
618,3932,1
619,3934,1
620,4008,1
621,4009,1
622,4013,1
623,4064,1
624,4065,1
625,4066,1
626,4067,1
627,4068,1
628,4069,1
629,4070,1
630,4071,1
631,4072,1
632,4073,1
633,4074,1
634,4075,1
635,4076,1
636,4077,1
637,4078,1
638,4079,1
639,4080,1
640,4081,1
641,4082,1
642,4083,1
643,4084,1
644,4085,1
645,4086,1
646,4089,1
647,4090,1
648,4091,1
649,4092,1
650,4093,1
651,4094,1
652,4095,1
653,4096,1
654,4097,1
655,4098,1
656,4099,1
657,4100,1
658,4170,1
659,4173,1
660,4176,1
661,4459,1
662,4675,1
663,4676,1
664,4677,1
665,4679,1
666,4680,1
667,4696,1
668,4707,1
669,4711,1
670,4712,1
671,5135,1
672,5585,1
673,5642,1
674,5861,1
675,6052,1
676,6054,1
677,6181,1
678,6320,1
679,6779,1
680,6864,1
681,6867,1
682,6908,1
683,6916,1
684,7009,1
685,7059,1
686,7069,1
687,7072,1
688,7088,1
689,7089,1
690,7091,1
691,7356,1
692,7377,1
693,7383,1
694,7386,1
695,7388,1
696,7390,1
697,7422,1
698,7424,1
699,7427,1
700,7429,1
701,7432,1
702,7434,1
703,7435,1
704,7436,1
705,7438,1
706,7439,1
707,7440,1
708,7441,1
709,7470,1
710,7473,1
711,7474,1
712,7478,1
713,7897,1
714,7898,1
715,7899,1
716,7900,1
717,7901,1
718,7902,1
719,7903,1
720,7905,1
721,7906,1
722,7907,1
723,7923,1
724,7963,1
725,7964,1
726,7965,1
727,8051,1
728,8071,1
729,8680,1
730,8940,1
731,9467,1
732,9470,1
733,9476,1
734,9477,1
735,9478,1
736,9482,1
737,9751,1
738,9752,1
739,9754,1
740,9755,1
741,9757,1
742,9787,1
743,9788,1
744,9790,1
745,9791,1
746,9792,1
747,9793,1
748,9794,1
749,9795,1
750,9796,1
751,9797,1
752,9798,1
753,9799,1
754,9800,1
755,9801,1
756,13060,1
757,13061,1
758,13066,1
759,13080,1
760,13097,1
761,13099,1
762,13111,1
763,13187,1
764,13325,1
765,14511,1
766,14518,1
767,14521,1
768,14526,1
769,14529,1
770,14531,1
771,14533,1
772,14535,1
