tourpurp,isInbound,interval,trip,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40
1,0,9,4,0,0,0,0,0,0,0,0,0.11662,0.25528,0.47512,0.06544,0.03736,0.00928,0.01223,0.02867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,10,2,0,0,0,0,0,0,0,0,0,0.39435,0.34314,0.08853,0.07701,0.04307,0.02672,0.01415,0.01303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,10,3,0,0,0,0,0,0,0,0,0,0.58435,0.28251,0.06374,0.00547,0.01589,0.02142,0.01314,0.01348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,10,4,0,0,0,0,0,0,0,0,0,0.15609,0.50247,0.11747,0.03268,0.00288,0.08175,0.02287,0.08379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,11,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,11,2,0,0,0,0,0,0,0,0,0,0,0.40169,0.25318,0.12359,0.0751,0.06161,0.03642,0.03619,0.01222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,11,3,0,0,0,0,0,0,0,0,0,0,0.50684,0.16562,0.03537,0.07925,0.08799,0.07881,0.04529,0.00083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,11,4,0,0,0,0,0,0,0,0,0,0,0.31269,0.32542,0.18451,0.09261,0.03028,0.01993,0.00959,0.02497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,12,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0.26883,0.29962,0.1439,0.07231,0.1315,0.04049,0.04226,0.00109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0.17551,0.28069,0.26289,0.21944,0.02002,0.01172,0.02577,0.00396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0.23822,0.14791,0.08675,0.16392,0.14763,0.11628,0.08492,0.01437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0.30461,0.23977,0.27009,0.04472,0.06486,0.04538,0.00757,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0.17891,0.53183,0.16322,0.00321,0.0459,0.03528,0.02465,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0.06915,0.27907,0.10157,0.04948,0.05269,0.35829,0.00675,0.083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15171,0.31,0.17722,0.1253,0.20968,0.0066,0.0093,0.01019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4071,0.34628,0.17059,0.02197,0.02248,0.01213,0.0018,0.01765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05524,0.24053,0.01544,0.01647,0.2925,0.01356,0.35,0.01626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34624,0.18118,0.25967,0.03563,0.007,0.011,0.05674,0.10254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06501,0.37626,0.08389,0.02968,0.21712,0.14,0.07276,0.01528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05985,0.44356,0.06651,0.20024,0.12845,0.053,0.03267,0.01572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11265,0.61102,0.15684,0.03419,0.054,0.00822,0.01289,0.01019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80926,0.02187,0.0585,0.05833,0.015,0.0167,0.01732,0.00302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12836,0.46133,0.25636,0.05138,0.045,0.02498,0.022,0.01059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44986,0.17268,0.06514,0.27,0.01016,0.0188,0.00317,0.01019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17653,0.38486,0.08883,0.16,0.06064,0.04312,0.06815,0.01787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68349,0.06657,0.09191,0.052,0.02146,0.03009,0.03871,0.01577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24823,0.15188,0.55,0.0061,0.00273,0.00904,0.01369,0.01833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19531,0.65878,0.044,0.01463,0.01045,0.04197,0.0173,0.01756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2052,0.36988,0.15,0.11119,0.08827,0.03227,0.02821,0.01498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10227,0.64,0.04419,0.00544,0.03263,0.15195,0.01445,0.00907,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4642,0.29,0.14193,0.049,0.00938,0.01241,0.01543,0.01765,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10143,0.58,0.03717,0.05636,0.14262,0.03576,0.0315,0.01516,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51021,0.15561,0.04178,0.2119,0.02165,0.04674,0.00192,0.01019,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32445,0.33316,0.23122,0.02639,0.03591,0.01582,0.0164,0.01665,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07176,0.31988,0.42275,0.04671,0.06197,0.03291,0.02877,0.01525,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17016,0.26321,0.03636,0.17594,0.00829,0.0353,0.17222,0.13852,0,0,0,0,0,0,0,0,0,0,0,0
1,0,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08875,0.07843,0.0459,0.02871,0.01607,0.24856,0.48129,0.01229,0,0,0,0,0,0,0,0,0,0,0,0
1,0,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44734,0.22676,0.12425,0.05484,0.06661,0.03373,0.02924,0.01723,0,0,0,0,0,0,0,0,0,0,0,0
1,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17138,0.49943,0.11288,0.05256,0.11378,0.02411,0.01608,0.00978,0,0,0,0,0,0,0,0,0,0,0
1,0,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26145,0.46997,0.06994,0.07358,0.08404,0.01476,0.01365,0.01261,0,0,0,0,0,0,0,0,0,0,0
1,0,22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25225,0.36001,0.15917,0.06901,0.0743,0.03486,0.02976,0.02064,0,0,0,0,0,0,0,0,0,0,0
1,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18889,0.6569,0.02382,0.06951,0.01091,0.02411,0.01608,0.00978,0,0,0,0,0,0,0,0,0,0
1,0,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3729,0.25084,0.20428,0.05938,0.04347,0.02929,0.02266,0.01718,0,0,0,0,0,0,0,0,0,0
1,0,23,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24098,0.14741,0.23525,0.16602,0.12544,0.04244,0.02724,0.01522,0,0,0,0,0,0,0,0,0,0
1,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11036,0.45976,0.00955,0.0275,0.04546,0.02368,0.01579,0.3079,0,0,0,0,0,0,0,0,0
1,0,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33943,0.23214,0.0567,0.2869,0.03591,0.01582,0.0164,0.0167,0,0,0,0,0,0,0,0,0
1,0,24,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31207,0.34685,0.14196,0.05601,0.06545,0.0324,0.02796,0.0173,0,0,0,0,0,0,0,0,0
1,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04464,0.07427,0.37218,0.06679,0.03747,0.02195,0.3738,0.0089,0,0,0,0,0,0,0,0
1,0,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68101,0.14391,0.05952,0.03173,0.02217,0.0239,0.0204,0.01736,0,0,0,0,0,0,0,0
1,0,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27106,0.33698,0.16058,0.07054,0.07509,0.03495,0.0298,0.021,0,0,0,0,0,0,0,0
1,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49264,0.38212,0.03408,0.0036,0.03953,0.0232,0.01544,0.00939,0,0,0,0,0,0,0
1,0,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22248,0.50597,0.10251,0.0587,0.04281,0.0283,0.02215,0.01708,0,0,0,0,0,0,0
1,0,26,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27112,0.33698,0.16058,0.07054,0.07509,0.0349,0.02979,0.021,0,0,0,0,0,0,0
1,0,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04035,0.72844,0.09811,0.05937,0.0333,0.01951,0.01301,0.00791,0,0,0,0,0,0
1,0,27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44655,0.25974,0.11496,0.05941,0.0492,0.03011,0.02296,0.01707,0,0,0,0,0,0
1,0,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2914,0.31676,0.16051,0.07052,0.0751,0.03493,0.02978,0.021,0,0,0,0,0,0
1,0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69218,0.06331,0.08372,0.0674,0.03794,0.02233,0.02401,0.00911,0,0,0,0,0
1,0,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38511,0.33589,0.10902,0.0577,0.04274,0.03041,0.02272,0.01641,0,0,0,0,0
1,0,28,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30719,0.31029,0.15694,0.0683,0.0733,0.0343,0.02928,0.0204,0,0,0,0,0
1,0,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50582,0.28007,0.054,0.06728,0.03775,0.03137,0.01474,0.00897,0,0,0,0
1,0,29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34109,0.34411,0.125,0.06347,0.04748,0.0354,0.02569,0.01776,0,0,0,0
1,0,29,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27569,0.32324,0.1641,0.07272,0.07682,0.03556,0.03028,0.02159,0,0,0,0
1,0,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25808,0.45,0.12183,0.0731,0.04277,0.02649,0.01615,0.01158,0,0,0
1,0,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36891,0.3321,0.11889,0.06067,0.04516,0.03293,0.02423,0.01711,0,0,0
1,0,30,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27105,0.337,0.16058,0.07054,0.07509,0.03495,0.02979,0.021,0,0,0
1,0,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40913,0.18469,0.14494,0.17091,0.04006,0.02449,0.01525,0.01053,0,0
1,0,31,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34107,0.34411,0.12502,0.06347,0.04748,0.0354,0.02569,0.01776,0,0
1,0,31,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2757,0.32324,0.16409,0.07272,0.07682,0.03556,0.03028,0.02159,0,0
1,0,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39107,0.30414,0.12672,0.07587,0.04483,0.0281,0.01679,0.01248,0
1,0,32,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35499,0.33812,0.12195,0.06207,0.04632,0.03416,0.02496,0.01743,0
1,0,32,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2757,0.32324,0.16409,0.07272,0.07682,0.03556,0.03028,0.02159,0
