periods_left_min,periods_left_max,stop_num,outbound,duration_offset,prob
11,47,1,True,10,0.008338547
11,47,2,True,10,0.0
11,47,3,True,10,0.0
0,0,1,True,11,0.0
0,0,2,True,11,0.0
0,0,3,True,11,0.0
1,1,1,True,11,0.0
1,1,2,True,11,0.0
1,1,3,True,11,0.0
2,2,1,True,11,0.0
2,2,2,True,11,0.0
2,2,3,True,11,0.0
3,3,1,True,11,0.0
3,3,2,True,11,0.0
3,3,3,True,11,0.0
4,4,1,True,11,0.0
4,4,2,True,11,0.0
4,4,3,True,11,0.0
5,5,1,True,11,0.0
5,5,2,True,11,0.0
5,5,3,True,11,0.0
6,6,1,True,11,0.0
6,6,2,True,11,0.0
6,6,3,True,11,0.0
7,7,1,True,11,0.0
7,7,2,True,11,0.0
7,7,3,True,11,0.0
8,8,1,True,11,0.0
8,8,2,True,11,0.0
8,8,3,True,11,0.0
9,9,1,True,11,0.0
9,9,2,True,11,0.0
9,9,3,True,11,0.0
10,10,1,True,11,0.0
10,10,2,True,11,0.0
10,10,3,True,11,0.0
11,47,1,True,11,0.001742592
11,47,2,True,11,0.003634194
11,47,3,True,11,0.0
0,0,1,False,0,1.0
0,0,2,False,0,1.0
0,0,3,False,0,1.0
1,1,1,False,0,0.094459318
1,1,2,False,0,0.201596967
1,1,3,False,0,0.167378763
2,2,1,False,0,0.009664059
2,2,2,False,0,0.013529257
2,2,3,False,0,0.0
3,3,1,False,0,0.0
3,3,2,False,0,0.00826
3,3,3,False,0,0.0
4,4,1,False,0,0.004609608
4,4,2,False,0,0.0
4,4,3,False,0,0.0
5,5,1,False,0,0.017812023
5,5,2,False,0,0.0
5,5,3,False,0,0.0
6,6,1,False,0,0.0
6,6,2,False,0,0.0
6,6,3,False,0,0.0
7,7,1,False,0,0.0
7,7,2,False,0,0.0
7,7,3,False,0,0.0
8,8,1,False,0,0.0
8,8,2,False,0,0.0
8,8,3,False,0,0.0
9,9,1,False,0,0.0
9,9,2,False,0,0.0
9,9,3,False,0,0.0
10,10,1,False,0,0.0
10,10,2,False,0,0.0
10,10,3,False,0,0.0
11,47,1,False,0,0.0
11,47,2,False,0,0.0
11,47,3,False,0,0.0
0,0,1,False,-1,0.0
0,0,2,False,-1,0.0
0,0,3,False,-1,0.0
1,1,1,False,-1,0.905540682
1,1,2,False,-1,0.798403033
1,1,3,False,-1,0.832621237
2,2,1,False,-1,0.338217009
2,2,2,False,-1,0.449948606
2,2,3,False,-1,0.387128109
3,3,1,False,-1,0.066826732
3,3,2,False,-1,0.022441247
3,3,3,False,-1,0.026328392
4,4,1,False,-1,0.0
4,4,2,False,-1,0.004206393
4,4,3,False,-1,0.033828307
5,5,1,False,-1,0.010600226
5,5,2,False,-1,0.0
5,5,3,False,-1,0.0
6,6,1,False,-1,0.0
6,6,2,False,-1,0.0
6,6,3,False,-1,0.0
7,7,1,False,-1,0.0
7,7,2,False,-1,0.003038879
7,7,3,False,-1,0.034532898
8,8,1,False,-1,0.0
8,8,2,False,-1,0.0
8,8,3,False,-1,0.056137696
9,9,1,False,-1,0.0
9,9,2,False,-1,0.0
9,9,3,False,-1,0.0
10,10,1,False,-1,0.0
10,10,2,False,-1,0.0
10,10,3,False,-1,0.0
11,47,1,False,-1,0.0
11,47,2,False,-1,0.0
11,47,3,False,-1,0.0
0,0,1,False,-2,0.0
0,0,2,False,-2,0.0
0,0,3,False,-2,0.0
1,1,1,False,-2,0.0
1,1,2,False,-2,0.0
1,1,3,False,-2,0.0
2,2,1,False,-2,0.652118931
2,2,2,False,-2,0.536522137
2,2,3,False,-2,0.612871891
3,3,1,False,-2,0.362642327
3,3,2,False,-2,0.473132908
3,3,3,False,-2,0.411737677
4,4,1,False,-2,0.080820827
4,4,2,False,-2,0.133181878
4,4,3,False,-2,0.055241069
5,5,1,False,-2,0.016001544
5,5,2,False,-2,0.014302787
5,5,3,False,-2,0.060062418
6,6,1,False,-2,0.0
6,6,2,False,-2,0.022116237
6,6,3,False,-2,0.0
7,7,1,False,-2,0.0
7,7,2,False,-2,0.0
7,7,3,False,-2,0.0
8,8,1,False,-2,0.0
8,8,2,False,-2,0.0
8,8,3,False,-2,0.0
9,9,1,False,-2,0.0
9,9,2,False,-2,0.0
9,9,3,False,-2,0.0
10,10,1,False,-2,0.0
10,10,2,False,-2,0.0
10,10,3,False,-2,0.0
11,47,1,False,-2,0.007514892
11,47,2,False,-2,0.0
11,47,3,False,-2,0.0
0,0,1,False,-3,0.0
0,0,2,False,-3,0.0
0,0,3,False,-3,0.0
1,1,1,False,-3,0.0
1,1,2,False,-3,0.0
1,1,3,False,-3,0.0
2,2,1,False,-3,0.0
2,2,2,False,-3,0.0
2,2,3,False,-3,0.0
3,3,1,False,-3,0.570530942
3,3,2,False,-3,0.496165845
3,3,3,False,-3,0.561933931
4,4,1,False,-3,0.502947596
4,4,2,False,-3,0.379151902
4,4,3,False,-3,0.457497313
5,5,1,False,-3,0.082929884
