primary_purpose,outbound,depart_range_start,depart_range_end,person_type,work,univ,school,escort,shopping,othmaint,eatout,social,othdiscr
social,False,1,48,PTYPE_UNIVERSITY,0,0,0,0.304,0.324,0,0.158,0.15,0.064
social,False,1,48,PTYPE_NONWORK,0,0,0,0.075,0.144,0.148,0.141,0.485,0.007
social,False,1,48,PTYPE_RETIRED,0,0,0,0.111,0.247,0.07,0.174,0.367,0.032
social,False,1,48,PTYPE_DRIVING,0,0,0,0,0,0,0.045,0.489,0.466
social,False,1,48,PTYPE_SCHOOL,0,0,0,0.017,0.115,0.017,0.017,0.817,0.017
social,False,1,48,PTYPE_PRESCHOOL,0,0,0,0,0.266,0.163,0.054,0.517,0
othdiscr,False,1,48,PTYPE_FULL,0,0,0,0.134,0.463,0.057,0.168,0.054,0.124
othdiscr,False,1,48,PTYPE_PART,0,0,0,0.233,0.282,0.106,0.156,0.02,0.203
othdiscr,False,1,48,PTYPE_UNIVERSITY,0,0,0,0.095,0.15,0.127,0.333,0.044,0.251
othdiscr,False,1,48,PTYPE_NONWORK,0,0,0,0.129,0.451,0.12,0.096,0.025,0.18
othdiscr,False,1,48,PTYPE_RETIRED,0,0,0,0.038,0.481,0.128,0.09,0.013,0.25
othdiscr,False,1,48,PTYPE_DRIVING,0,0,0,0,0.292,0,0.111,0.215,0.383
othdiscr,False,1,48,PTYPE_SCHOOL,0,0,0,0.168,0.359,0.082,0.118,0.009,0.263
othdiscr,False,1,48,PTYPE_PRESCHOOL,0,0,0,0.29,0.224,0.072,0.266,0.028,0.121
atwork,False,1,48,PTYPE_FULL,0.896,0,0,0.002,0.026,0.008,0.067,0,0.002
atwork,False,1,48,PTYPE_PART,0.896,0,0,0.002,0.026,0.008,0.067,0,0.002
atwork,False,1,48,PTYPE_UNIVERSITY,0.896,0,0,0.002,0.026,0.008,0.067,0,0.002
atwork,False,1,48,PTYPE_DRIVING,0.896,0,0,0.002,0.026,0.008,0.067,0,0.002
