coefficient_name,value,constrain
coef_calib_tours2firstofmultipl_DRIVEALONE_work,-3.0147,F
coef_calib_tours2firstofmultipl_SHARED3_work,-999,F
coef_calib_tours2firstofmultipl_WALK_work,-3.0147,F
coef_calib_tours2firstofmultipl_BIKE_work,-999,F
coef_calib_tours2firstofmultipl_WALK_TRANSIT_work,-999,F
coef_calib_tours2firstofmultipl_PNR_TRANSIT_work,-999,F
coef_calib_tours2firstofmultipl_KNR_TRANSIT_work,-999,F
coef_calib_tours2firstofmultipl_TNC_TRANSIT_work,-999,F
coef_calib_tours2lastofmultiple_DRIVEALONE_work,-2.0599,F
coef_calib_tours2lastofmultiple_SHARED3_work,-999,F
coef_calib_tours2lastofmultiple_WALK_work,-2.0599,F
coef_calib_tours2lastofmultiple_BIKE_work,-999,F
coef_calib_tours2lastofmultiple_WALK_TRANSIT_work,-999,F
coef_calib_tours2lastofmultiple_PNR_TRANSIT_work,-999,F
coef_calib_tours2lastofmultiple_KNR_TRANSIT_work,-999,F
coef_calib_tours2lastofmultiple_TNC_TRANSIT_work,-999,F
coef_calib_tours3_DRIVEALONE_work,1.980965272,F
coef_calib_tours3_SHARED2_work,1.050255131,F
coef_calib_tours3_SHARED3_work,0.14,F
coef_calib_tours3_WALK_work,1.52573542,F
coef_calib_tours3_BIKE_work,-999,F
coef_calib_tours3_WALK_TRANSIT_work,-999,F
coef_calib_tours3_PNR_TRANSIT_work,-999,F
coef_calib_tours3_KNR_TRANSIT_work,-999,F
coef_calib_tours3_TNC_TRANSIT_work,-999,F
coef_calib_tours3_TAXI_work,-999,F
coef_calib_tours3_TNC_SINGLE_work,-999,F
coef_calib_tours3_TNC_SHARED_work,-999,F
coef_calib_tours3totstops0_DRIVEALONE_work,-2.2614,F
coef_calib_tours3totstops0_SHARED2_work,-2.2614,F
coef_calib_tours3totstops0_WALK_work,-2.2614,F
coef_calib_tours3totstops0_BIKE_work,-999,F
coef_calib_tours3totstops0_WALK_TRANSIT_work,-999,F
coef_calib_tours3totstops0_PNR_TRANSIT_work,-999,F
coef_calib_tours3totstops0_KNR_TRANSIT_work,-999,F
coef_calib_tours3totstops0_TNC_TRANSIT_work,-999,F
coef_calib_tours3firstofmultipl_DRIVEALONE_work,-1.8752,F
coef_calib_tours3firstofmultipl_SHARED2_work,-1.8752,F
coef_calib_tours3firstofmultipl_WALK_work,-1.8752,F
coef_calib_tours3firstofmultipl_BIKE_work,-999,F
coef_calib_tours3firstofmultipl_WALK_TRANSIT_work,-999,F
coef_calib_tours3firstofmultipl_PNR_TRANSIT_work,-999,F
coef_calib_tours3firstofmultipl_KNR_TRANSIT_work,-999,F
coef_calib_tours3firstofmultipl_TNC_TRANSIT_work,-999,F
coef_calib_tours3lastofmultiple_DRIVEALONE_work,-1.611,F
coef_calib_tours3lastofmultiple_SHARED2_work,-1.611,F
coef_calib_tours3lastofmultiple_WALK_work,-1.611,F
coef_calib_tours3lastofmultiple_BIKE_work,-999,F
coef_calib_tours3lastofmultiple_WALK_TRANSIT_work,-999,F
coef_calib_tours3lastofmultiple_PNR_TRANSIT_work,-999,F
coef_calib_tours3lastofmultiple_KNR_TRANSIT_work,-999,F
coef_calib_tours3lastofmultiple_TNC_TRANSIT_work,-999,F
coef_calib_tourtnr_DRIVEALONE_work,-999,F
coef_calib_tourtnr_BIKE_work,-999,F
coef_calib_tourtnr_PNR_TRANSIT_work,-999,F
coef_calib_tourwtran_DRIVEALONE_work,-999,F
coef_calib_tourwtran_SHARED2_work,-2.13161349,F
coef_calib_tourwtran_SHARED3_work,-2.554559977,F
coef_calib_tourwtran_WALK_work,-1.995669828,F
coef_calib_tourwtran_BIKE_work,-999,F
coef_calib_tourwtran_WALK_TRANSIT_work,0.03,F
coef_calib_tourwtran_PNR_TRANSIT_work,-999,F
coef_calib_tourwtran_KNR_TRANSIT_work,-999,F
coef_calib_tourwtran_TNC_TRANSIT_work,-999,F
coef_calib_tourwtran_TAXI_work,-7.69,F
coef_calib_tourwtran_TNC_SINGLE_work,-1.99,F
coef_calib_tourwtran_TNC_SHARED_work,-6.69,F
coef_calib_tourwtrantotstops0_DRIVEALONE_work,-999,F
coef_calib_tourwtrantotstops0_SHARED2_work,-1.6562,F
