coefficient_name,value,constrain
coef_hhsize2_sr2_disc,0.352972249,F
coef_hhsize2_sr3p_disc,-0.936579922,F
coef_hhsize3_sr2_disc,0.412665036,F
coef_hhsize3_sr3p_disc,-0.798959661,F
coef_hhsize4p_sr2_disc,0.761157155,F
coef_hhsize4p_sr3p_disc,0.578130166,F
coef_age1624_sr2_atwork,0.0,F
coef_age1624_sr3p_atwork,0.0,F
coef_age1624_nmot_atwork,0.0,F
coef_age1624_tran_atwork,0.0,F
coef_age4155_sr2_atwork,0.0,F
coef_age4155_sr3p_atwork,0.0,F
coef_age4155_nmot_atwork,0.0,F
coef_age4155_tran_atwork,-1.166,F
coef_age5664_sr2_atwork,0.0,F
coef_age5664_sr3p_atwork,0.0,F
coef_age5664_nmot_atwork,0.0,F
coef_age5664_tran_atwork,-1.263,F
coef_age65pl_sr2_atwork,0.0,F
coef_age65pl_sr3p_atwork,0.0,F
coef_age65pl_nmot_atwork,0.0,F
coef_age65pl_tran_atwork,0.0,F
coef_sr_da_atwork,-0.824,F
coef_sr_sr_atwork,2.435,F
coef_female_sr2_atwork,0.0,F
coef_female_sr3p_atwork,0.0,F
coef_female_tran_atwork,0.0,F
coef_female_nmot_atwork,0.0,F
coef_oMix_nmot_atwork,0.214,F
coef_oMix_wTran_atwork,0.0,F
coef_oIntDen_nmot_atwork,0.0,F
coef_oIntDen_wTran_atwork,0.0,F
coef_dEmpDen_nmot_atwork,0.0,F
coef_dEmpDen_wTran_atwork,0.0,F
coef_dEmpDen_dTran_atwork,0.0,F
coef_hhsize2_sr2_atwork,0.0,F
coef_hhsize2_sr3p_atwork,0.0,F
coef_hhsize3_sr2_atwork,0.0,F
coef_hhsize3_sr3p_atwork,0.0,F
coef_hhsize4p_sr2_atwork,0.0,F
coef_hhsize4p_sr3p_atwork,0.0,F
coef_calib_civtebikeownership_BIKE_school,1.0,F
coef_calib_civtebikeownership_BIKE_atwork,1.0,F
coef_calib_civtebikeownership_BIKE_maint,1.0,F
coef_calib_escorttour_WALK_maint,-1.2579,F
coef_calib_escorttour_PNR_TRANSIT_maint,-5.8388,F
coef_calib_civtebikeownership_BIKE_disc,1.0,F
coef_calib_probikedistrict_BIKE_maint,1.5524,F
coef_calib_civtebikeownership_BIKE_univ,1.0,F
coef_calib_escorttour_WALK_TRANSIT_maint,-5.8388,F
coef_calib_probikedistrict_BIKE_univ,1.5524,F
coef_calib_probikedistrict_BIKE_atwork,1.5524,F
coef_calib_probikedistrict_BIKE_disc,1.5524,F
coef_calib_escorttour_BIKE_maint,-1.2579,F
coef_calib_escorttour_TNC_TRANSIT_maint,-5.8388,F
coef_calib_probikedistrict_BIKE_work,1.5524,F
coef_calib_probikedistrict_BIKE_school,1.5524,F
coef_calib_escorttour_KNR_TRANSIT_maint,-5.8388,F
coef_calib_civtebikeownership_BIKE_work,1.0,F
coef_calib_parkingconst_WLK_TRANSIT_work,0.64,F
coef_calib_parkingconst_WLK_TRANSIT_univ,0.64,F
coef_calib_parkingconst_WLK_TRANSIT_school,0.4,F
coef_calib_parkingconst_WLK_TRANSIT_maint,0.765,F
coef_calib_parkingconst_WLK_TRANSIT_disc,0.9,F
coef_calib_parkingconst_WLK_TRANSIT_atwork,0.96,F
coef_calib_parkingconst_DRV_TRANSIT_work,1.28,F
coef_calib_parkingconst_DRV_TRANSIT_univ,1.28,F
coef_calib_parkingconst_DRV_TRANSIT_school,0.8,F
coef_calib_parkingconst_DRV_TRANSIT_maint,1.36,F
