Vehicle Body Type,Vehicle Age,Vehicle Fuel Type,Tour Mode,freq
Motorcycle,3,Gas,Shared Ride 2,611.0
Motorcycle,3,Hybrid,Shared Ride 2,12.0
Motorcycle,3,PEV,Shared Ride 2,15.0
Motorcycle,4,BEV,Shared Ride 2,20.0
Motorcycle,4,Diesel,Shared Ride 2,17.0
Motorcycle,4,Gas,Shared Ride 2,512.0
Motorcycle,4,Hybrid,Shared Ride 2,11.0
Motorcycle,4,PEV,Shared Ride 2,16.0
Motorcycle,5,BEV,Shared Ride 2,13.0
Motorcycle,5,Diesel,Shared Ride 2,10.0
Motorcycle,5,Gas,Shared Ride 2,540.0
Motorcycle,5,Hybrid,Shared Ride 2,10.0
Motorcycle,5,PEV,Shared Ride 2,10.0
Motorcycle,6,BEV,Shared Ride 2,5.0
Motorcycle,6,Diesel,Shared Ride 2,4.0
Motorcycle,6,Gas,Shared Ride 2,347.0
Motorcycle,6,Hybrid,Shared Ride 2,6.0
Motorcycle,6,PEV,Shared Ride 2,4.0
Motorcycle,7,BEV,Shared Ride 2,14.0
Motorcycle,7,Diesel,Shared Ride 2,11.0
Motorcycle,7,Gas,Shared Ride 2,363.0
Motorcycle,7,Hybrid,Shared Ride 2,7.0
Motorcycle,7,PEV,Shared Ride 2,15.0
Motorcycle,8,BEV,Shared Ride 2,15.0
Motorcycle,8,Diesel,Shared Ride 2,18.0
Motorcycle,8,Gas,Shared Ride 2,385.0
Motorcycle,8,Hybrid,Shared Ride 2,5.0
Motorcycle,8,PEV,Shared Ride 2,10.0
Pickup,1,Diesel,Shared Ride 2,3116.0
Pickup,1,Gas,Shared Ride 2,55225.0
Pickup,1,Hybrid,Shared Ride 2,2126.0
Pickup,1,PEV,Shared Ride 2,206.0
Pickup,2,Diesel,Shared Ride 2,3746.0
Pickup,2,Gas,Shared Ride 2,56836.0
Pickup,2,Hybrid,Shared Ride 2,2474.0
Pickup,2,PEV,Shared Ride 2,115.0
Pickup,3,Diesel,Shared Ride 2,1875.0
Pickup,3,Gas,Shared Ride 2,49293.0
Pickup,3,Hybrid,Shared Ride 2,537.0
Pickup,3,PEV,Shared Ride 2,227.0
Pickup,4,Diesel,Shared Ride 2,1525.0
Pickup,4,Gas,Shared Ride 2,50028.0
Pickup,4,Hybrid,Shared Ride 2,596.0
Pickup,4,PEV,Shared Ride 2,436.0
Pickup,5,Diesel,Shared Ride 2,515.0
Pickup,5,Gas,Shared Ride 2,45780.0
Pickup,5,Hybrid,Shared Ride 2,2008.0
Pickup,5,PEV,Shared Ride 2,179.0
Pickup,6,BEV,Shared Ride 2,0.0
Pickup,6,Diesel,Shared Ride 2,436.0
Pickup,6,Gas,Shared Ride 2,46643.0
Pickup,6,Hybrid,Shared Ride 2,1560.0
Pickup,6,PEV,Shared Ride 2,292.0
Pickup,7,Diesel,Shared Ride 2,837.0
Pickup,7,Gas,Shared Ride 2,50962.0
Pickup,7,Hybrid,Shared Ride 2,1608.0
Pickup,7,PEV,Shared Ride 2,547.0
Pickup,8,BEV,Shared Ride 2,0.0
Pickup,8,Diesel,Shared Ride 2,342.0
Pickup,8,Gas,Shared Ride 2,44902.0
Pickup,8,Hybrid,Shared Ride 2,1379.0
Pickup,8,PEV,Shared Ride 2,418.0
SUV,1,BEV,Shared Ride 2,2760.0
SUV,1,Diesel,Shared Ride 2,2558.0
SUV,1,Gas,Shared Ride 2,173579.0
SUV,1,Hybrid,Shared Ride 2,4659.0
SUV,1,PEV,Shared Ride 2,833.0
SUV,2,BEV,Shared Ride 2,1375.0
SUV,2,Diesel,Shared Ride 2,5775.0
SUV,2,Gas,Shared Ride 2,187704.0
SUV,2,Hybrid,Shared Ride 2,5669.0
SUV,2,PEV,Shared Ride 2,499.0
SUV,3,BEV,Shared Ride 2,0.0
SUV,3,Diesel,Shared Ride 2,4876.0
SUV,3,Gas,Shared Ride 2,180387.0
SUV,3,Hybrid,Shared Ride 2,6229.0
SUV,3,PEV,Shared Ride 2,446.0
SUV,4,BEV,Shared Ride 2,373.0
SUV,4,Diesel,Shared Ride 2,4335.0
SUV,4,Gas,Shared Ride 2,162730.0
SUV,4,Hybrid,Shared Ride 2,5967.0
SUV,4,PEV,Shared Ride 2,449.0
SUV,5,BEV,Shared Ride 2,202.0
SUV,5,Diesel,Shared Ride 2,2929.0
SUV,5,Gas,Shared Ride 2,145449.0
SUV,5,Hybrid,Shared Ride 2,5460.0
SUV,5,PEV,Shared Ride 2,206.0
SUV,6,BEV,Shared Ride 2,189.0
SUV,6,Diesel,Shared Ride 2,1426.0
SUV,6,Gas,Shared Ride 2,113359.0
SUV,6,Hybrid,Shared Ride 2,4715.0
SUV,6,PEV,Shared Ride 2,259.0
SUV,7,Diesel,Shared Ride 2,1442.0
SUV,7,Gas,Shared Ride 2,123879.0
SUV,7,Hybrid,Shared Ride 2,6399.0
SUV,7,PEV,Shared Ride 2,562.0
SUV,8,BEV,Shared Ride 2,0.0
SUV,8,Diesel,Shared Ride 2,1425.0
SUV,8,Gas,Shared Ride 2,104480.0
SUV,8,Hybrid,Shared Ride 2,4931.0
SUV,8,PEV,Shared Ride 2,553.0
Van,1,BEV,Shared Ride 2,5.0
Van,1,Diesel,Shared Ride 2,695.0
Van,1,Gas,Shared Ride 2,29387.0
Van,1,Hybrid,Shared Ride 2,785.0
Van,1,PEV,Shared Ride 2,586.0
Van,2,Diesel,Shared Ride 2,842.0
Van,2,Gas,Shared Ride 2,32731.0
Van,2,Hybrid,Shared Ride 2,816.0
Van,2,PEV,Shared Ride 2,174.0
Van,3,Diesel,Shared Ride 2,903.0
Van,3,Gas,Shared Ride 2,49370.0
Van,3,Hybrid,Shared Ride 2,789.0
Van,3,PEV,Shared Ride 2,366.0
Van,4,Diesel,Shared Ride 2,776.0
Van,4,Gas,Shared Ride 2,59599.0
Van,4,Hybrid,Shared Ride 2,766.0
Van,4,PEV,Shared Ride 2,710.0
Van,5,BEV,Shared Ride 2,1.0
Van,5,Diesel,Shared Ride 2,661.0
Van,5,Gas,Shared Ride 2,52605.0
Van,5,Hybrid,Shared Ride 2,583.0
Van,5,PEV,Shared Ride 2,388.0
Van,6,Diesel,Shared Ride 2,637.0
Van,6,Gas,Shared Ride 2,45710.0
Van,6,Hybrid,Shared Ride 2,589.0
Van,6,PEV,Shared Ride 2,393.0
Van,7,BEV,Shared Ride 2,2.0
Van,7,Diesel,Shared Ride 2,576.0
Van,7,Gas,Shared Ride 2,43725.0
Van,7,Hybrid,Shared Ride 2,576.0
Van,7,PEV,Shared Ride 2,832.0
Van,8,Diesel,Shared Ride 2,479.0
Van,8,Gas,Shared Ride 2,27741.0
Van,8,Hybrid,Shared Ride 2,397.0
Van,8,PEV,Shared Ride 2,737.0
non_hh_veh,non_hh_veh,non_hh_veh,Shared Ride 2,228569.0
0,0,0,Shared Ride 2,409115.0
Pickup,1,BEV,Shared Ride 2,1.0
Pickup,4,BEV,Shared Ride 2,2.0
Pickup,5,BEV,Shared Ride 2,1.0
Van,6,BEV,Shared Ride 2,1.0
Van,8,BEV,Shared Ride 2,1.0
Van,4,BEV,Shared Ride 2,0.0
0,0,0,Shared Ride 2,409115.0
Car,1,BEV,Shared Ride 3+,1951.0
Car,1,Diesel,Shared Ride 3+,3172.0
Car,1,Gas,Shared Ride 3+,229100.0
Car,1,Hybrid,Shared Ride 3+,8740.0
Car,1,PEV,Shared Ride 3+,1646.0
Car,2,BEV,Shared Ride 3+,1461.0
Car,2,Diesel,Shared Ride 3+,3091.0
Car,2,Gas,Shared Ride 3+,262973.0
Car,2,Hybrid,Shared Ride 3+,10944.0
Car,2,PEV,Shared Ride 3+,1143.0
Car,3,BEV,Shared Ride 3+,1602.0
Car,3,Diesel,Shared Ride 3+,6046.0
Car,3,Gas,Shared Ride 3+,246078.0
Car,3,Hybrid,Shared Ride 3+,10300.0
Car,3,PEV,Shared Ride 3+,1891.0
Car,4,BEV,Shared Ride 3+,1297.0
Car,4,Diesel,Shared Ride 3+,5153.0
Car,4,Gas,Shared Ride 3+,233226.0
Car,4,Hybrid,Shared Ride 3+,10997.0
Car,4,PEV,Shared Ride 3+,3103.0
Car,5,BEV,Shared Ride 3+,475.0
Car,5,Diesel,Shared Ride 3+,3006.0
Car,5,Gas,Shared Ride 3+,199556.0
Car,5,Hybrid,Shared Ride 3+,9466.0
Car,5,PEV,Shared Ride 3+,908.0
Car,6,BEV,Shared Ride 3+,293.0
Car,6,Diesel,Shared Ride 3+,1797.0
Car,6,Gas,Shared Ride 3+,153323.0
Car,6,Hybrid,Shared Ride 3+,5560.0
Car,6,PEV,Shared Ride 3+,728.0
Car,7,BEV,Shared Ride 3+,309.0
Car,7,Diesel,Shared Ride 3+,2029.0
Car,7,Gas,Shared Ride 3+,145116.0
Car,7,Hybrid,Shared Ride 3+,4607.0
Car,7,PEV,Shared Ride 3+,879.0
Car,8,BEV,Shared Ride 3+,3.0
Car,8,Diesel,Shared Ride 3+,1632.0
Car,8,Gas,Shared Ride 3+,125790.0
Car,8,Hybrid,Shared Ride 3+,2927.0
Car,8,PEV,Shared Ride 3+,326.0
Car-AV,1,BEV,Shared Ride 3+,9751.0
Car-AV,1,PEV,Shared Ride 3+,4772.0
Car-AV,2,BEV,Shared Ride 3+,10545.0
Car-AV,2,PEV,Shared Ride 3+,4946.0
Car-AV,3,BEV,Shared Ride 3+,9291.0
Car-AV,3,PEV,Shared Ride 3+,4746.0
Car-AV,4,BEV,Shared Ride 3+,7428.0
Car-AV,4,PEV,Shared Ride 3+,4296.0
Car-AV,5,BEV,Shared Ride 3+,6311.0
Car-AV,5,PEV,Shared Ride 3+,3686.0
Car-AV,6,BEV,Shared Ride 3+,4409.0
Car-AV,6,PEV,Shared Ride 3+,2731.0
Car-AV,7,BEV,Shared Ride 3+,4865.0
Car-AV,7,PEV,Shared Ride 3+,2983.0
Car-AV,8,BEV,Shared Ride 3+,4003.0
Car-AV,8,PEV,Shared Ride 3+,2765.0
Motorcycle,1,BEV,Shared Ride 3+,7.0
Motorcycle,1,Diesel,Shared Ride 3+,2.0
Motorcycle,1,Gas,Shared Ride 3+,262.0
Motorcycle,1,Hybrid,Shared Ride 3+,3.0
Motorcycle,1,PEV,Shared Ride 3+,2.0
Motorcycle,2,BEV,Shared Ride 3+,4.0
Motorcycle,2,Diesel,Shared Ride 3+,7.0
Motorcycle,2,Gas,Shared Ride 3+,285.0
Motorcycle,2,Hybrid,Shared Ride 3+,5.0
Motorcycle,2,PEV,Shared Ride 3+,1.0
Motorcycle,3,BEV,Shared Ride 3+,6.0
Motorcycle,3,Diesel,Shared Ride 3+,7.0
Motorcycle,3,Gas,Shared Ride 3+,263.0
Motorcycle,3,Hybrid,Shared Ride 3+,5.0
Motorcycle,3,PEV,Shared Ride 3+,0.0
Motorcycle,4,BEV,Shared Ride 3+,6.0
Motorcycle,4,Diesel,Shared Ride 3+,9.0
Motorcycle,4,Gas,Shared Ride 3+,236.0
Motorcycle,4,Hybrid,Shared Ride 3+,4.0
Motorcycle,4,PEV,Shared Ride 3+,2.0
Motorcycle,5,BEV,Shared Ride 3+,6.0
Motorcycle,5,Diesel,Shared Ride 3+,5.0
Motorcycle,5,Gas,Shared Ride 3+,213.0
Motorcycle,5,Hybrid,Shared Ride 3+,4.0
Motorcycle,5,PEV,Shared Ride 3+,5.0
Motorcycle,6,BEV,Shared Ride 3+,4.0
Motorcycle,6,Diesel,Shared Ride 3+,3.0
Motorcycle,6,Gas,Shared Ride 3+,160.0
Motorcycle,6,Hybrid,Shared Ride 3+,4.0
Motorcycle,6,PEV,Shared Ride 3+,2.0
Motorcycle,7,BEV,Shared Ride 3+,7.0
Motorcycle,7,Diesel,Shared Ride 3+,5.0
Motorcycle,7,Gas,Shared Ride 3+,146.0
Motorcycle,7,Hybrid,Shared Ride 3+,4.0
Motorcycle,7,PEV,Shared Ride 3+,5.0
Motorcycle,8,BEV,Shared Ride 3+,7.0
Motorcycle,8,Diesel,Shared Ride 3+,7.0
Motorcycle,8,Gas,Shared Ride 3+,164.0
Motorcycle,8,Hybrid,Shared Ride 3+,1.0
Motorcycle,8,PEV,Shared Ride 3+,4.0
Pickup,1,Diesel,Shared Ride 3+,2866.0
Pickup,1,Gas,Shared Ride 3+,49101.0
Pickup,1,Hybrid,Shared Ride 3+,1890.0
Pickup,1,PEV,Shared Ride 3+,190.0
Pickup,2,Diesel,Shared Ride 3+,3369.0
Pickup,2,Gas,Shared Ride 3+,49806.0
Pickup,2,Hybrid,Shared Ride 3+,2146.0
Pickup,2,PEV,Shared Ride 3+,86.0
Pickup,3,Diesel,Shared Ride 3+,1684.0
Pickup,3,Gas,Shared Ride 3+,42466.0
Pickup,3,Hybrid,Shared Ride 3+,491.0
Pickup,3,PEV,Shared Ride 3+,174.0
Pickup,4,Diesel,Shared Ride 3+,1284.0
Pickup,4,Gas,Shared Ride 3+,42486.0
Pickup,4,Hybrid,Shared Ride 3+,436.0
Pickup,4,PEV,Shared Ride 3+,360.0
Pickup,5,Diesel,Shared Ride 3+,421.0
Pickup,5,Gas,Shared Ride 3+,37907.0
Pickup,5,Hybrid,Shared Ride 3+,1677.0
Pickup,5,PEV,Shared Ride 3+,156.0
Pickup,6,BEV,Shared Ride 3+,0.0
Pickup,6,Diesel,Shared Ride 3+,349.0
Pickup,6,Gas,Shared Ride 3+,37788.0
Pickup,6,Hybrid,Shared Ride 3+,1299.0
Pickup,6,PEV,Shared Ride 3+,187.0
Pickup,7,Diesel,Shared Ride 3+,670.0
Pickup,7,Gas,Shared Ride 3+,40852.0
Pickup,7,Hybrid,Shared Ride 3+,1287.0
Pickup,7,PEV,Shared Ride 3+,456.0
Pickup,8,BEV,Shared Ride 3+,0.0
Pickup,8,Diesel,Shared Ride 3+,270.0
Pickup,8,Gas,Shared Ride 3+,35099.0
Pickup,8,Hybrid,Shared Ride 3+,1087.0
Pickup,8,PEV,Shared Ride 3+,314.0
SUV,1,BEV,Shared Ride 3+,3274.0
SUV,1,Diesel,Shared Ride 3+,3158.0
SUV,1,Gas,Shared Ride 3+,203054.0
SUV,1,Hybrid,Shared Ride 3+,5493.0
SUV,1,PEV,Shared Ride 3+,949.0
SUV,2,BEV,Shared Ride 3+,1543.0
SUV,2,Diesel,Shared Ride 3+,6732.0
SUV,2,Gas,Shared Ride 3+,216370.0
SUV,2,Hybrid,Shared Ride 3+,6630.0
SUV,2,PEV,Shared Ride 3+,619.0
SUV,3,BEV,Shared Ride 3+,0.0
SUV,3,Diesel,Shared Ride 3+,5521.0
SUV,3,Gas,Shared Ride 3+,205943.0
SUV,3,Hybrid,Shared Ride 3+,7116.0
SUV,3,PEV,Shared Ride 3+,468.0
SUV,4,BEV,Shared Ride 3+,425.0
