tourdur,purpose,freq
18.5,2: University,11
18.5,3: School,19
18.5,5: Individual Maintenance,1
18.5,6: Individual Discretionary,11
18.5,7: Joint Maintenance,1
19.0,2: University,4
19.0,3: School,23
19.0,5: Individual Maintenance,2
19.0,6: Individual Discretionary,4
19.5,2: University,1
19.5,3: School,7
19.5,6: Individual Discretionary,1
20.0,3: School,5
20.0,6: Individual Discretionary,2
20.0,7: Joint Maintenance,1
