stop_period,tour_purpose,freq,stop_skim_period
16.25,3: School,63465,4: PM
16.25,4: Escort,114402,4: PM
16.25,5: Individual Maintenance,87738,4: PM
16.25,6: Individual Discretionary,43339,4: PM
16.25,7: Joint Maintenance,11173,4: PM
16.25,8: Joint Discretionary,6290,4: PM
16.25,9: Work-based,3665,4: PM
16.75,1: Work,216998,4: PM
16.75,2: University,12073,4: PM
16.75,3: School,54964,4: PM
16.75,4: Escort,73763,4: PM
16.75,5: Individual Maintenance,77788,4: PM
16.75,6: Individual Discretionary,51407,4: PM
16.75,7: Joint Maintenance,10415,4: PM
16.75,8: Joint Discretionary,7789,4: PM
16.75,9: Work-based,2955,4: PM
17.25,1: Work,248554,4: PM
17.25,2: University,10617,4: PM
17.25,3: School,52252,4: PM
17.25,4: Escort,60431,4: PM
17.25,5: Individual Maintenance,74725,4: PM
17.25,6: Individual Discretionary,64617,4: PM
17.25,7: Joint Maintenance,10885,4: PM
17.25,8: Joint Discretionary,11384,4: PM
17.25,9: Work-based,2404,4: PM
17.75,1: Work,218166,4: PM
17.75,2: University,9670,4: PM
17.75,3: School,42506,4: PM
17.75,4: Escort,54842,4: PM
17.75,5: Individual Maintenance,70389,4: PM
17.75,6: Individual Discretionary,72913,4: PM
17.75,7: Joint Maintenance,11174,4: PM
17.75,8: Joint Discretionary,13377,4: PM
17.75,9: Work-based,1907,4: PM
18.25,1: Work,156942,4: PM
18.25,2: University,8866,4: PM
18.25,3: School,22517,4: PM
18.25,4: Escort,48749,4: PM
18.25,5: Individual Maintenance,71082,4: PM
18.25,6: Individual Discretionary,89067,4: PM
18.25,7: Joint Maintenance,12308,4: PM
18.25,8: Joint Discretionary,17480,4: PM
18.25,9: Work-based,1749,4: PM
18.75,1: Work,100388,4: PM
18.75,2: University,8323,4: PM
18.75,3: School,12122,4: PM
18.75,4: Escort,41751,4: PM
18.75,5: Individual Maintenance,67417,4: PM
18.75,6: Individual Discretionary,95062,4: PM
18.75,7: Joint Maintenance,12299,4: PM
18.75,8: Joint Discretionary,20593,4: PM
18.75,9: Work-based,1514,4: PM
19.25,1: Work,93495,5: EV
19.25,2: University,6210,5: EV
19.25,3: School,7187,5: EV
19.25,4: Escort,38492,5: EV
19.25,5: Individual Maintenance,61484,5: EV
19.25,6: Individual Discretionary,81664,5: EV
19.25,7: Joint Maintenance,11175,5: EV
19.25,8: Joint Discretionary,16894,5: EV
19.25,9: Work-based,1550,5: EV
19.75,1: Work,63162,5: EV
19.75,2: University,5908,5: EV
19.75,3: School,4142,5: EV
19.75,4: Escort,34697,5: EV
19.75,5: Individual Maintenance,59980,5: EV
19.75,6: Individual Discretionary,66532,5: EV
19.75,7: Joint Maintenance,11575,5: EV
19.75,8: Joint Discretionary,14285,5: EV
19.75,9: Work-based,1434,5: EV
20.25,1: Work,47675,5: EV
20.25,2: University,5704,5: EV
20.25,3: School,2294,5: EV
20.25,4: Escort,29780,5: EV
20.25,5: Individual Maintenance,52196,5: EV
20.25,6: Individual Discretionary,62356,5: EV
20.25,7: Joint Maintenance,9980,5: EV
20.25,8: Joint Discretionary,12376,5: EV
20.25,9: Work-based,1370,5: EV
20.75,1: Work,37793,5: EV
20.75,2: University,5444,5: EV
20.75,3: School,1373,5: EV
20.75,4: Escort,24715,5: EV
20.75,5: Individual Maintenance,38253,5: EV
20.75,6: Individual Discretionary,63659,5: EV
20.75,7: Joint Maintenance,7514,5: EV
20.75,8: Joint Discretionary,12073,5: EV
20.75,9: Work-based,1238,5: EV
21.25,1: Work,31743,5: EV
21.25,2: University,4874,5: EV
21.25,3: School,750,5: EV
21.25,4: Escort,21637,5: EV
21.25,5: Individual Maintenance,26917,5: EV
21.25,6: Individual Discretionary,62881,5: EV
21.25,7: Joint Maintenance,5095,5: EV
