MAZ,TAZ
982,1973
983,2538
984,1942
985,3188
986,622
987,975
988,2304
989,4700
990,570
991,1776
992,4024
993,2391
994,2402
995,652
996,643
997,2359
998,889
999,2470
1000,746
1001,2958
1002,2313
1003,1818
1004,4105
1005,3487
1006,2154
1007,2202
1008,4280
1009,1431
1010,1446
1011,823
1012,2658
1013,1769
1014,3971
1015,1939
1016,1673
1017,2035
1018,422
1019,3336
1020,795
1021,2882
1022,3461
1023,3380
1024,1159
1025,617
1026,2684
1027,371
1028,1486
1029,2169
1030,2442
1031,53
1032,2444
1033,4227
1034,619
1035,2573
1036,2538
1037,3676
1038,1836
1039,4653
1040,1425
1041,1831
1042,3969
1043,1076
1044,427
1045,1527
1046,4340
1047,3619
1048,2252
1049,3307
1050,1982
1051,1578
1052,2841
1053,2841
1054,1834
1055,4697
1056,2003
1057,2339
1058,3091
1059,883
1060,3311
1061,2480
1062,1838
1063,2570
1064,2232
1065,2788
1066,1312
1067,3399
1068,1550
1069,1525
1070,1917
1071,3946
1072,541
1073,4314
1074,3641
1075,2596
1076,1159
1077,95
1078,878
1079,983
1080,2573
1081,2309
1082,1526
1083,4620
1084,1620
1085,2897
1086,2471
1087,4166
1088,1560
1089,2543
1090,754
1091,3722
1092,367
1093,2305
1094,1792
1095,2042
1096,1757
1097,2682
1098,1277
1099,2575
1100,4399
1101,3091
1102,2472
1103,2682
1104,4410
1105,3265
1106,828
1107,4021
1108,3712
1109,2231
1110,3383
1111,2013
1112,1005
1113,3651
1114,30
1115,825
1116,3751
1117,3751
1118,3058
1119,3338
1120,2313
1121,2628
1122,2375
1123,1018
1124,3755
1125,4052
1126,3437
1127,2589
1128,4690
1129,2769
1130,3406
1131,1308
1132,1310
1133,3954
1134,2250
1135,2395
1136,1486
1137,2300
1138,818
1139,1131
1140,983
1141,3535
1142,388
1143,654
1144,25
1145,661
1146,2652
1147,1526
1148,2614
1149,2476
1150,3523
1151,4098
1152,2589
1153,2130
1154,253
1155,2036
1156,1703
1157,3575
1158,3523
1159,2370
1160,3307
1161,4235
1162,4211
1163,1555
1164,1634
1165,4071
1166,2637
1167,2559
1168,4274
1169,2573
1170,32
1171,3465
1172,2312
1173,3272
1174,3674
1175,3465
1176,2581
1177,2145
1178,2076
1179,3893
1180,1159
1181,1419
1182,3522
1183,2339
1184,2207
1185,1961
1186,2480
1187,2214
1188,3243
1189,371
1190,2288
1191,14
1192,4260
1193,347
1194,3349
1195,1784
1196,1747
1197,4272
1198,2501
1199,2688
1200,570
1201,1816
1202,1863
1203,4260
1204,3892
1205,4166
1206,1332
1207,4511
1208,2555
1209,2535
1210,2243
1211,766
1212,1667
1213,2010
1214,2769
1215,1863
1216,1136
1217,54
1218,1086
1219,2479
1220,3810
1221,4014
1222,1527
1223,866
1224,4675
1225,664
1226,4279
1227,3062
1228,949
1229,1032
1230,2665
1231,1582
1232,3890
1233,2355
1234,4459
1235,2391
1236,2313
1237,1856
1238,2154
1239,3855
1240,2562
1241,812
1242,3416
1243,3522
1244,88
1245,3520
1246,3089
1247,1853
1248,271
1249,2300
1250,388
1251,4694
1252,1627
1253,1922
1254,1486
1255,1487
1256,1709
1257,812
1258,586
1259,4021
1260,582
1261,33
1262,4690
1263,3002
1264,4592
1265,737
1266,956
1267,4686
1268,4702
1269,1682
1270,4052
1271,253
1272,1830
1273,3441
1274,3708
1275,2686
1276,48
1277,4292
1278,2607
1279,2530
1280,729
1281,2682
1282,4425
1283,3090
1284,3954
1285,2612
1286,2878
1287,643
1288,1528
1289,2345
1290,3999
1291,2265
1292,2286
1293,1932
1294,963
1295,606
1296,4110
1297,1586
1298,646
1299,1440
1300,423
1301,2589
1302,588
1303,2042
1304,1724
1305,1838
1306,1608
1307,2069
1308,280
1309,912
1310,1240
1311,1453
1312,617
1313,777
1314,2396
1315,343
1316,889
1317,1487
1318,2375
1319,2213
1320,4160
1321,1629
1322,4021
1323,2903
1324,54
1325,2061
1326,1166
1327,1676
1328,1658
1329,720
1330,1540
1331,371
1332,1749
1333,584
1334,613
1335,2009
1336,2700
1337,2637
1338,3460
1339,3923
1340,3722
1341,4264
1342,1925
1343,2292
1344,2776
1345,783
1346,2903
1347,32
1348,2841
1349,2109
1350,49
1351,576
1352,2590
1353,4429
1354,3893
1355,2202
1356,1052
1357,1757
1358,1308
1359,1300
1360,1355
1361,3901
1362,2288
1363,3057
1364,2066
1365,2013
1366,1618
1367,1965
1368,755
1369,2008
1370,611
1371,3058
1372,3029
1373,661
1374,4652
1375,2897
1376,4178
1377,2210
1378,2250
1379,956
1380,17
1381,3350
1382,780
1383,2191
1384,517
1385,253
1386,2286
1387,843
1388,48
1389,989
1390,1571
1391,1571
1392,4286
1393,40
1394,2408
1395,2616
1396,2733
1397,2089
1398,1076
1399,40
1400,3346
1401,2391
1402,2394
1403,3709
1404,3652
1405,3655
1406,2326
1407,1018
1408,989
1409,4511
1410,780
1411,38
1412,608
1413,730
1414,2352
1415,1834
1416,2842
1417,895
1418,2535
1419,392
1420,2652
1421,4052
