stop_period,purpose,freq,stop_skim_period
21.25,6: Individual Discretionary,20060,5: EV
21.25,7: Joint Maintenance,1713,5: EV
21.25,8: Joint Discretionary,3154,5: EV
21.25,9: Work-based,161,5: EV
21.75,1: Work,10496,5: EV
21.75,2: University,1457,5: EV
21.75,3: School,261,5: EV
21.75,4: Escort,5694,5: EV
21.75,5: Individual Maintenance,6953,5: EV
21.75,6: Individual Discretionary,8458,5: EV
21.75,7: Joint Maintenance,1227,5: EV
21.75,8: Joint Discretionary,1287,5: EV
21.75,9: Work-based,160,5: EV
22.25,1: Work,9222,5: EV
22.25,2: University,1162,5: EV
22.25,3: School,267,5: EV
22.25,4: Escort,4535,5: EV
22.25,5: Individual Maintenance,5062,5: EV
22.25,6: Individual Discretionary,7003,5: EV
22.25,7: Joint Maintenance,820,5: EV
22.25,8: Joint Discretionary,857,5: EV
22.25,9: Work-based,152,5: EV
22.75,1: Work,8654,5: EV
22.75,2: University,933,5: EV
22.75,3: School,245,5: EV
22.75,4: Escort,3929,5: EV
22.75,5: Individual Maintenance,3916,5: EV
22.75,6: Individual Discretionary,4800,5: EV
22.75,7: Joint Maintenance,574,5: EV
22.75,8: Joint Discretionary,488,5: EV
22.75,9: Work-based,116,5: EV
23.25,1: Work,8411,5: EV
23.25,2: University,644,5: EV
23.25,3: School,226,5: EV
23.25,4: Escort,3472,5: EV
23.25,5: Individual Maintenance,2748,5: EV
23.25,6: Individual Discretionary,3683,5: EV
23.25,7: Joint Maintenance,403,5: EV
23.25,8: Joint Discretionary,377,5: EV
23.25,9: Work-based,105,5: EV
23.75,1: Work,9266,5: EV
23.75,2: University,526,5: EV
23.75,3: School,301,5: EV
23.75,4: Escort,2921,5: EV
23.75,5: Individual Maintenance,2084,5: EV
23.75,6: Individual Discretionary,1902,5: EV
23.75,7: Joint Maintenance,279,5: EV
23.75,8: Joint Discretionary,191,5: EV
23.75,9: Work-based,85,5: EV
24.25,1: Work,16177,5: EV
24.25,2: University,419,5: EV
24.25,3: School,247,5: EV
24.25,4: Escort,3083,5: EV
24.25,5: Individual Maintenance,1623,5: EV
24.25,6: Individual Discretionary,1796,5: EV
24.25,7: Joint Maintenance,228,5: EV
24.25,8: Joint Discretionary,194,5: EV
24.25,9: Work-based,54,5: EV
