OwnershipCategory,tour_mode,purpose,freq
1: 1+ Veh/Adults > Veh,02: Shared Ride 2,2: University,8880
1: 1+ Veh/Adults > Veh,02: Shared Ride 2,3: School,42509
1: 1+ Veh/Adults > Veh,02: Shared Ride 2,5: Individual Maintenance,155036
1: 1+ Veh/Adults > Veh,02: Shared Ride 2,6: Individual Discretionary,37463
1: 1+ Veh/Adults > Veh,02: Shared Ride 2,7: Joint Maintenance,16657
1: 1+ Veh/Adults > Veh,02: Shared Ride 2,8: Joint Discretionary,11243
1: 1+ Veh/Adults > Veh,02: Shared Ride 2,9: Work-based,6205
1: 1+ Veh/Adults > Veh,03: Shared Ride 3+,1: Work,13916
1: 1+ Veh/Adults > Veh,03: Shared Ride 3+,2: University,4746
1: 1+ Veh/Adults > Veh,03: Shared Ride 3+,3: School,30238
1: 1+ Veh/Adults > Veh,03: Shared Ride 3+,5: Individual Maintenance,145393
1: 1+ Veh/Adults > Veh,03: Shared Ride 3+,6: Individual Discretionary,23007
1: 1+ Veh/Adults > Veh,03: Shared Ride 3+,7: Joint Maintenance,8521
1: 1+ Veh/Adults > Veh,03: Shared Ride 3+,8: Joint Discretionary,2825
1: 1+ Veh/Adults > Veh,03: Shared Ride 3+,9: Work-based,335
1: 1+ Veh/Adults > Veh,04: Walk,1: Work,4858
1: 1+ Veh/Adults > Veh,04: Walk,2: University,3450
1: 1+ Veh/Adults > Veh,04: Walk,3: School,8781
1: 1+ Veh/Adults > Veh,04: Walk,5: Individual Maintenance,52509
1: 1+ Veh/Adults > Veh,04: Walk,6: Individual Discretionary,27033
1: 1+ Veh/Adults > Veh,04: Walk,7: Joint Maintenance,1450
1: 1+ Veh/Adults > Veh,04: Walk,8: Joint Discretionary,3815
1: 1+ Veh/Adults > Veh,04: Walk,9: Work-based,4413
1: 1+ Veh/Adults > Veh,05: Bike,1: Work,11696
1: 1+ Veh/Adults > Veh,05: Bike,2: University,1832
1: 1+ Veh/Adults > Veh,05: Bike,3: School,857
1: 1+ Veh/Adults > Veh,05: Bike,5: Individual Maintenance,424
1: 1+ Veh/Adults > Veh,05: Bike,6: Individual Discretionary,3275
1: 1+ Veh/Adults > Veh,06: Walk to Transit,1: Work,20561
1: 1+ Veh/Adults > Veh,06: Walk to Transit,2: University,11043
1: 1+ Veh/Adults > Veh,06: Walk to Transit,3: School,3155
1: 1+ Veh/Adults > Veh,06: Walk to Transit,5: Individual Maintenance,5018
1: 1+ Veh/Adults > Veh,06: Walk to Transit,6: Individual Discretionary,4355
1: 1+ Veh/Adults > Veh,06: Walk to Transit,7: Joint Maintenance,2023
1: 1+ Veh/Adults > Veh,06: Walk to Transit,8: Joint Discretionary,839
1: 1+ Veh/Adults > Veh,06: Walk to Transit,9: Work-based,332
1: 1+ Veh/Adults > Veh,07: PNR to Transit,1: Work,1386
1: 1+ Veh/Adults > Veh,07: PNR to Transit,2: University,923
1: 1+ Veh/Adults > Veh,07: PNR to Transit,5: Individual Maintenance,203
1: 1+ Veh/Adults > Veh,07: PNR to Transit,6: Individual Discretionary,215
1: 1+ Veh/Adults > Veh,08: KNR to Transit,1: Work,5209
1: 1+ Veh/Adults > Veh,08: KNR to Transit,2: University,1793
1: 1+ Veh/Adults > Veh,08: KNR to Transit,3: School,492
1: 1+ Veh/Adults > Veh,08: KNR to Transit,5: Individual Maintenance,818
1: 1+ Veh/Adults > Veh,08: KNR to Transit,6: Individual Discretionary,2244
1: 1+ Veh/Adults > Veh,08: KNR to Transit,7: Joint Maintenance,262
1: 1+ Veh/Adults > Veh,08: KNR to Transit,8: Joint Discretionary,257
1: 1+ Veh/Adults > Veh,09: TNC to Transit,1: Work,1
1: 1+ Veh/Adults > Veh,10: Taxi,1: Work,165
1: 1+ Veh/Adults > Veh,10: Taxi,5: Individual Maintenance,46
1: 1+ Veh/Adults > Veh,10: Taxi,6: Individual Discretionary,317
1: 1+ Veh/Adults > Veh,10: Taxi,7: Joint Maintenance,93
1: 1+ Veh/Adults > Veh,10: Taxi,8: Joint Discretionary,16
1: 1+ Veh/Adults > Veh,10: Taxi,9: Work-based,51
1: 1+ Veh/Adults > Veh,11: TNC Single,1: Work,244
1: 1+ Veh/Adults > Veh,11: TNC Single,5: Individual Maintenance,39
1: 1+ Veh/Adults > Veh,11: TNC Single,6: Individual Discretionary,280
1: 1+ Veh/Adults > Veh,11: TNC Single,7: Joint Maintenance,111
1: 1+ Veh/Adults > Veh,11: TNC Single,8: Joint Discretionary,30
1: 1+ Veh/Adults > Veh,11: TNC Single,9: Work-based,31
1: 1+ Veh/Adults > Veh,12: TNC Shared,1: Work,1426
1: 1+ Veh/Adults > Veh,12: TNC Shared,5: Individual Maintenance,126
1: 1+ Veh/Adults > Veh,12: TNC Shared,6: Individual Discretionary,1041
1: 1+ Veh/Adults > Veh,12: TNC Shared,7: Joint Maintenance,385
1: 1+ Veh/Adults > Veh,12: TNC Shared,8: Joint Discretionary,93
1: 1+ Veh/Adults > Veh,12: TNC Shared,9: Work-based,89
1: 1+ Veh/Adults > Veh,13: School Bus,3: School,24295
2: Vehicles >= Adults,01: SOV,1: Work,591734
2: Vehicles >= Adults,01: SOV,2: University,44436
2: Vehicles >= Adults,01: SOV,3: School,8803
2: Vehicles >= Adults,01: SOV,5: Individual Maintenance,411457
2: Vehicles >= Adults,01: SOV,6: Individual Discretionary,154632
2: Vehicles >= Adults,01: SOV,9: Work-based,48467
2: Vehicles >= Adults,02: Shared Ride 2,1: Work,124036
2: Vehicles >= Adults,02: Shared Ride 2,2: University,10962
2: Vehicles >= Adults,02: Shared Ride 2,3: School,173459
2: Vehicles >= Adults,02: Shared Ride 2,5: Individual Maintenance,337851
2: Vehicles >= Adults,02: Shared Ride 2,6: Individual Discretionary,76451
2: Vehicles >= Adults,02: Shared Ride 2,7: Joint Maintenance,42055
2: Vehicles >= Adults,02: Shared Ride 2,8: Joint Discretionary,29800
2: Vehicles >= Adults,02: Shared Ride 2,9: Work-based,11691
2: Vehicles >= Adults,03: Shared Ride 3+,1: Work,75228
2: Vehicles >= Adults,03: Shared Ride 3+,2: University,8806
2: Vehicles >= Adults,03: Shared Ride 3+,3: School,212898
2: Vehicles >= Adults,03: Shared Ride 3+,5: Individual Maintenance,431725
2: Vehicles >= Adults,03: Shared Ride 3+,6: Individual Discretionary,84205
2: Vehicles >= Adults,03: Shared Ride 3+,7: Joint Maintenance,15393
2: Vehicles >= Adults,03: Shared Ride 3+,8: Joint Discretionary,20867
2: Vehicles >= Adults,03: Shared Ride 3+,9: Work-based,5745
2: Vehicles >= Adults,04: Walk,1: Work,6403
2: Vehicles >= Adults,04: Walk,2: University,2470
2: Vehicles >= Adults,04: Walk,3: School,9499
2: Vehicles >= Adults,04: Walk,5: Individual Maintenance,51510
2: Vehicles >= Adults,04: Walk,6: Individual Discretionary,36782
2: Vehicles >= Adults,04: Walk,7: Joint Maintenance,1773
2: Vehicles >= Adults,04: Walk,8: Joint Discretionary,5620
2: Vehicles >= Adults,04: Walk,9: Work-based,23113
2: Vehicles >= Adults,05: Bike,1: Work,12188
2: Vehicles >= Adults,05: Bike,3: School,6095
2: Vehicles >= Adults,05: Bike,5: Individual Maintenance,1776
2: Vehicles >= Adults,05: Bike,6: Individual Discretionary,7750
2: Vehicles >= Adults,05: Bike,7: Joint Maintenance,78
2: Vehicles >= Adults,05: Bike,8: Joint Discretionary,15
2: Vehicles >= Adults,05: Bike,9: Work-based,575
2: Vehicles >= Adults,06: Walk to Transit,1: Work,3783
2: Vehicles >= Adults,06: Walk to Transit,2: University,1864
2: Vehicles >= Adults,06: Walk to Transit,3: School,474
2: Vehicles >= Adults,06: Walk to Transit,5: Individual Maintenance,1003
2: Vehicles >= Adults,06: Walk to Transit,6: Individual Discretionary,1303
2: Vehicles >= Adults,06: Walk to Transit,7: Joint Maintenance,112
2: Vehicles >= Adults,06: Walk to Transit,8: Joint Discretionary,60
2: Vehicles >= Adults,06: Walk to Transit,9: Work-based,70
2: Vehicles >= Adults,07: PNR to Transit,1: Work,2887
2: Vehicles >= Adults,07: PNR to Transit,2: University,1165
2: Vehicles >= Adults,07: PNR to Transit,6: Individual Discretionary,214
2: Vehicles >= Adults,08: KNR to Transit,1: Work,1546
2: Vehicles >= Adults,08: KNR to Transit,2: University,869
2: Vehicles >= Adults,08: KNR to Transit,3: School,730
2: Vehicles >= Adults,08: KNR to Transit,5: Individual Maintenance,439
2: Vehicles >= Adults,08: KNR to Transit,6: Individual Discretionary,386
2: Vehicles >= Adults,08: KNR to Transit,7: Joint Maintenance,8
2: Vehicles >= Adults,09: TNC to Transit,1: Work,1
2: Vehicles >= Adults,09: TNC to Transit,6: Individual Discretionary,1662
2: Vehicles >= Adults,10: Taxi,1: Work,55
2: Vehicles >= Adults,10: Taxi,2: University,15
2: Vehicles >= Adults,10: Taxi,5: Individual Maintenance,185
2: Vehicles >= Adults,10: Taxi,6: Individual Discretionary,2766
2: Vehicles >= Adults,10: Taxi,7: Joint Maintenance,100
2: Vehicles >= Adults,10: Taxi,8: Joint Discretionary,576
2: Vehicles >= Adults,10: Taxi,9: Work-based,108
2: Vehicles >= Adults,11: TNC Single,1: Work,95
2: Vehicles >= Adults,11: TNC Single,2: University,19
2: Vehicles >= Adults,11: TNC Single,5: Individual Maintenance,225
2: Vehicles >= Adults,11: TNC Single,6: Individual Discretionary,2640
2: Vehicles >= Adults,11: TNC Single,7: Joint Maintenance,110
2: Vehicles >= Adults,11: TNC Single,8: Joint Discretionary,564
2: Vehicles >= Adults,11: TNC Single,9: Work-based,121
2: Vehicles >= Adults,12: TNC Shared,1: Work,519
2: Vehicles >= Adults,12: TNC Shared,2: University,160
2: Vehicles >= Adults,12: TNC Shared,5: Individual Maintenance,578
2: Vehicles >= Adults,12: TNC Shared,6: Individual Discretionary,9356
2: Vehicles >= Adults,12: TNC Shared,7: Joint Maintenance,338
2: Vehicles >= Adults,12: TNC Shared,8: Joint Discretionary,2037
2: Vehicles >= Adults,12: TNC Shared,9: Work-based,245
2: Vehicles >= Adults,13: School Bus,3: School,34539
