grouped_linked_trip_mode,grouped_tour_mode,trips,purpose
TNC-REG,KNR-TRANSIT,0.0,Total
TNC-SHARED,KNR-TRANSIT,0.0,Total
SCHOOLBUS,KNR-TRANSIT,0.0,Total
ESCOOTER,KNR-TRANSIT,0.0,Total
EBIKE,KNR-TRANSIT,0.0,Total
All,TNC-TRANSIT,179.1126537142128,Total
DRIVEALONE,TNC-TRANSIT,0.0,Total
SHARED2,TNC-TRANSIT,0.0,Total
SHARED3,TNC-TRANSIT,0.0,Total
WALK,TNC-TRANSIT,0.0,Total
BIKE,TNC-TRANSIT,0.0,Total
WALK-TRANSIT,TNC-TRANSIT,0.0,Total
PNR-TRANSIT,TNC-TRANSIT,0.0,Total
KNR-TRANSIT,TNC-TRANSIT,0.0,Total
TNC-TRANSIT,TNC-TRANSIT,179.1126537142128,Total
TAXI,TNC-TRANSIT,0.0,Total
TNC-REG,TNC-TRANSIT,0.0,Total
TNC-SHARED,TNC-TRANSIT,0.0,Total
SCHOOLBUS,TNC-TRANSIT,0.0,Total
ESCOOTER,TNC-TRANSIT,0.0,Total
EBIKE,TNC-TRANSIT,0.0,Total
All,TAXI,22357.573608340703,Total
DRIVEALONE,TAXI,0.0,Total
SHARED2,TAXI,0.0,Total
SHARED3,TAXI,0.0,Total
WALK,TAXI,0.0,Total
BIKE,TAXI,0.0,Total
WALK-TRANSIT,TAXI,0.0,Total
PNR-TRANSIT,TAXI,0.0,Total
KNR-TRANSIT,TAXI,0.0,Total
TNC-TRANSIT,TAXI,0.0,Total
TAXI,TAXI,22357.573608340703,Total
TNC-REG,TAXI,0.0,Total
TNC-SHARED,TAXI,0.0,Total
SCHOOLBUS,TAXI,0.0,Total
ESCOOTER,TAXI,0.0,Total
EBIKE,TAXI,0.0,Total
All,TNC-REG,16578.766408806216,Total
DRIVEALONE,TNC-REG,0.0,Total
SHARED2,TNC-REG,0.0,Total
SHARED3,TNC-REG,0.0,Total
WALK,TNC-REG,0.0,Total
BIKE,TNC-REG,0.0,Total
WALK-TRANSIT,TNC-REG,0.0,Total
PNR-TRANSIT,TNC-REG,0.0,Total
KNR-TRANSIT,TNC-REG,0.0,Total
TNC-TRANSIT,TNC-REG,0.0,Total
TAXI,TNC-REG,0.0,Total
TNC-REG,TNC-REG,16578.766408806216,Total
TNC-SHARED,TNC-REG,0.0,Total
SCHOOLBUS,TNC-REG,0.0,Total
ESCOOTER,TNC-REG,0.0,Total
EBIKE,TNC-REG,0.0,Total
All,TNC-SHARED,0.0,Total
DRIVEALONE,TNC-SHARED,0.0,Total
SHARED2,TNC-SHARED,0.0,Total
SHARED3,TNC-SHARED,0.0,Total
WALK,TNC-SHARED,0.0,Total
BIKE,TNC-SHARED,0.0,Total
WALK-TRANSIT,TNC-SHARED,0.0,Total
PNR-TRANSIT,TNC-SHARED,0.0,Total
KNR-TRANSIT,TNC-SHARED,0.0,Total
TNC-TRANSIT,TNC-SHARED,0.0,Total
TAXI,TNC-SHARED,0.0,Total
TNC-REG,TNC-SHARED,0.0,Total
TNC-SHARED,TNC-SHARED,0.0,Total
SCHOOLBUS,TNC-SHARED,0.0,Total
ESCOOTER,TNC-SHARED,0.0,Total
EBIKE,TNC-SHARED,0.0,Total
All,SCHOOLBUS,13019.9328298986,Total
DRIVEALONE,SCHOOLBUS,0.0,Total
SHARED2,SCHOOLBUS,0.0,Total
SHARED3,SCHOOLBUS,0.0,Total
WALK,SCHOOLBUS,0.0,Total
BIKE,SCHOOLBUS,0.0,Total
WALK-TRANSIT,SCHOOLBUS,0.0,Total
PNR-TRANSIT,SCHOOLBUS,0.0,Total
KNR-TRANSIT,SCHOOLBUS,0.0,Total
TNC-TRANSIT,SCHOOLBUS,0.0,Total
TAXI,SCHOOLBUS,0.0,Total
TNC-REG,SCHOOLBUS,0.0,Total
TNC-SHARED,SCHOOLBUS,0.0,Total
SCHOOLBUS,SCHOOLBUS,13019.9328298986,Total
ESCOOTER,SCHOOLBUS,0.0,Total
EBIKE,SCHOOLBUS,0.0,Total
All,ESCOOTER,3548.566428318692,Total
DRIVEALONE,ESCOOTER,0.0,Total
SHARED2,ESCOOTER,0.0,Total
SHARED3,ESCOOTER,0.0,Total
WALK,ESCOOTER,0.0,Total
BIKE,ESCOOTER,0.0,Total
WALK-TRANSIT,ESCOOTER,0.0,Total
PNR-TRANSIT,ESCOOTER,0.0,Total
KNR-TRANSIT,ESCOOTER,0.0,Total
TNC-TRANSIT,ESCOOTER,0.0,Total
TAXI,ESCOOTER,0.0,Total
TNC-REG,ESCOOTER,0.0,Total
TNC-SHARED,ESCOOTER,0.0,Total
SCHOOLBUS,ESCOOTER,0.0,Total
ESCOOTER,ESCOOTER,3548.566428318692,Total
EBIKE,ESCOOTER,0.0,Total
All,EBIKE,9147.263193858962,Total
DRIVEALONE,EBIKE,0.0,Total
SHARED2,EBIKE,0.0,Total
SHARED3,EBIKE,0.0,Total
WALK,EBIKE,0.0,Total
BIKE,EBIKE,0.0,Total
WALK-TRANSIT,EBIKE,0.0,Total
PNR-TRANSIT,EBIKE,0.0,Total
KNR-TRANSIT,EBIKE,0.0,Total
TNC-TRANSIT,EBIKE,0.0,Total
TAXI,EBIKE,0.0,Total
TNC-REG,EBIKE,0.0,Total
TNC-SHARED,EBIKE,0.0,Total
SCHOOLBUS,EBIKE,0.0,Total
ESCOOTER,EBIKE,0.0,Total
EBIKE,EBIKE,9147.263193858962,Total
All,All,2138059.5636058664,Work
DRIVEALONE,All,1682389.6098594232,Work
SHARED2,All,184132.60760422188,Work
SHARED3,All,142041.64285589603,Work
WALK,All,75200.93562080494,Work
BIKE,All,22083.620085402425,Work
WALK-TRANSIT,All,17886.05787609128,Work
PNR-TRANSIT,All,3996.3279316363664,Work
KNR-TRANSIT,All,6125.567090945946,Work
TNC-TRANSIT,All,9.8773380966108,Work
TAXI,All,0.0,Work
TNC-REG,All,3301.686616606229,Work
TNC-SHARED,All,0.0,Work
SCHOOLBUS,All,0.0,Work
ESCOOTER,All,0.0,Work
EBIKE,All,555.1836622604703,Work
All,DRIVEALONE,1442772.3206452795,Work
DRIVEALONE,DRIVEALONE,1403406.00875088,Work
SHARED2,DRIVEALONE,0.0,Work
SHARED3,DRIVEALONE,32.4254645800559,Work
WALK,DRIVEALONE,38382.7775924829,Work
BIKE,DRIVEALONE,895.349888128709,Work
WALK-TRANSIT,DRIVEALONE,0.0,Work
PNR-TRANSIT,DRIVEALONE,0.0,Work
KNR-TRANSIT,DRIVEALONE,0.0,Work
TNC-TRANSIT,DRIVEALONE,0.0,Work
TAXI,DRIVEALONE,0.0,Work
TNC-REG,DRIVEALONE,0.0,Work
TNC-SHARED,DRIVEALONE,0.0,Work
SCHOOLBUS,DRIVEALONE,0.0,Work
ESCOOTER,DRIVEALONE,0.0,Work
EBIKE,DRIVEALONE,55.7589492081143,Work
All,SHARED2,300549.2357057859,Work
DRIVEALONE,SHARED2,146967.164173856,Work
SHARED2,SHARED2,138014.954625425,Work
SHARED3,SHARED2,0.0,Work
WALK,SHARED2,13690.1551698794,Work
BIKE,SHARED2,31.5292524838978,Work
WALK-TRANSIT,SHARED2,0.0,Work
PNR-TRANSIT,SHARED2,0.0,Work
KNR-TRANSIT,SHARED2,0.0,Work
TNC-TRANSIT,SHARED2,0.0,Work
TAXI,SHARED2,0.0,Work
TNC-REG,SHARED2,1845.43248414165,Work
TNC-SHARED,SHARED2,0.0,Work
SCHOOLBUS,SHARED2,0.0,Work
ESCOOTER,SHARED2,0.0,Work
EBIKE,SHARED2,0.0,Work
All,SHARED3,321313.0276493672,Work
DRIVEALONE,SHARED3,131893.985166703,Work
SHARED2,SHARED3,43928.4385673894,Work
SHARED3,SHARED3,141545.387413555,Work
WALK,SHARED3,3945.21650171977,Work
BIKE,SHARED3,0.0,Work
WALK-TRANSIT,SHARED3,0.0,Work
PNR-TRANSIT,SHARED3,0.0,Work
KNR-TRANSIT,SHARED3,0.0,Work
TNC-TRANSIT,SHARED3,0.0,Work
TAXI,SHARED3,0.0,Work
TNC-REG,SHARED3,0.0,Work
TNC-SHARED,SHARED3,0.0,Work
SCHOOLBUS,SHARED3,0.0,Work
ESCOOTER,SHARED3,0.0,Work
EBIKE,SHARED3,0.0,Work
All,WALK,18466.2865770529,Work
DRIVEALONE,WALK,0.0,Work
SHARED2,WALK,0.0,Work
SHARED3,WALK,0.0,Work
WALK,WALK,18466.2865770529,Work
BIKE,WALK,0.0,Work
WALK-TRANSIT,WALK,0.0,Work
PNR-TRANSIT,WALK,0.0,Work
KNR-TRANSIT,WALK,0.0,Work
TNC-TRANSIT,WALK,0.0,Work
TAXI,WALK,0.0,Work
TNC-REG,WALK,0.0,Work
TNC-SHARED,WALK,0.0,Work
SCHOOLBUS,WALK,0.0,Work
ESCOOTER,WALK,0.0,Work
EBIKE,WALK,0.0,Work
All,BIKE,21151.062268348,Work
DRIVEALONE,BIKE,0.0,Work
SHARED2,BIKE,0.0,Work
SHARED3,BIKE,0.0,Work
WALK,BIKE,0.0,Work
BIKE,BIKE,21151.062268348,Work
WALK-TRANSIT,BIKE,0.0,Work
PNR-TRANSIT,BIKE,0.0,Work
KNR-TRANSIT,BIKE,0.0,Work
TNC-TRANSIT,BIKE,0.0,Work
TAXI,BIKE,0.0,Work
TNC-REG,BIKE,0.0,Work
TNC-SHARED,BIKE,0.0,Work
SCHOOLBUS,BIKE,0.0,Work
ESCOOTER,BIKE,0.0,Work
EBIKE,BIKE,0.0,Work
All,WALK-TRANSIT,25998.828889295888,Work
DRIVEALONE,WALK-TRANSIT,122.451767984366,Work
SHARED2,WALK-TRANSIT,2189.2144114075,Work
SHARED3,WALK-TRANSIT,463.829977760961,Work
WALK,WALK-TRANSIT,716.499779669986,Work
BIKE,WALK-TRANSIT,5.67867644181647,Work
WALK-TRANSIT,WALK-TRANSIT,17886.05787609128,Work
PNR-TRANSIT,WALK-TRANSIT,0.0,Work
KNR-TRANSIT,WALK-TRANSIT,0.0,Work
TNC-TRANSIT,WALK-TRANSIT,0.0,Work
TAXI,WALK-TRANSIT,0.0,Work
TNC-REG,WALK-TRANSIT,143.581930917159,Work
TNC-SHARED,WALK-TRANSIT,0.0,Work
SCHOOLBUS,WALK-TRANSIT,0.0,Work
ESCOOTER,WALK-TRANSIT,0.0,Work
EBIKE,WALK-TRANSIT,0.0,Work
All,PNR-TRANSIT,1611.42255307918,Work
DRIVEALONE,PNR-TRANSIT,0.0,Work
SHARED2,PNR-TRANSIT,0.0,Work
SHARED3,PNR-TRANSIT,0.0,Work
WALK,PNR-TRANSIT,0.0,Work
BIKE,PNR-TRANSIT,0.0,Work
WALK-TRANSIT,PNR-TRANSIT,0.0,Work
PNR-TRANSIT,PNR-TRANSIT,3996.3279316363664,Work
KNR-TRANSIT,PNR-TRANSIT,0.0,Work
TNC-TRANSIT,PNR-TRANSIT,0.0,Work
TAXI,PNR-TRANSIT,0.0,Work
TNC-REG,PNR-TRANSIT,0.0,Work
TNC-SHARED,PNR-TRANSIT,0.0,Work
SCHOOLBUS,PNR-TRANSIT,0.0,Work
ESCOOTER,PNR-TRANSIT,0.0,Work
EBIKE,PNR-TRANSIT,0.0,Work
All,KNR-TRANSIT,4375.40506496139,Work
DRIVEALONE,KNR-TRANSIT,0.0,Work
SHARED2,KNR-TRANSIT,0.0,Work
SHARED3,KNR-TRANSIT,0.0,Work
WALK,KNR-TRANSIT,0.0,Work
BIKE,KNR-TRANSIT,0.0,Work
WALK-TRANSIT,KNR-TRANSIT,0.0,Work
PNR-TRANSIT,KNR-TRANSIT,0.0,Work
KNR-TRANSIT,KNR-TRANSIT,6125.567090945946,Work
TNC-TRANSIT,KNR-TRANSIT,0.0,Work
TAXI,KNR-TRANSIT,0.0,Work
TNC-REG,KNR-TRANSIT,0.0,Work
TNC-SHARED,KNR-TRANSIT,0.0,Work
SCHOOLBUS,KNR-TRANSIT,0.0,Work
ESCOOTER,KNR-TRANSIT,0.0,Work
EBIKE,KNR-TRANSIT,0.0,Work
All,TNC-TRANSIT,9.8773380966108,Work
DRIVEALONE,TNC-TRANSIT,0.0,Work
SHARED2,TNC-TRANSIT,0.0,Work
SHARED3,TNC-TRANSIT,0.0,Work
WALK,TNC-TRANSIT,0.0,Work
BIKE,TNC-TRANSIT,0.0,Work
WALK-TRANSIT,TNC-TRANSIT,0.0,Work
PNR-TRANSIT,TNC-TRANSIT,0.0,Work
KNR-TRANSIT,TNC-TRANSIT,0.0,Work
TNC-TRANSIT,TNC-TRANSIT,9.8773380966108,Work
TAXI,TNC-TRANSIT,0.0,Work
TNC-REG,TNC-TRANSIT,0.0,Work
TNC-SHARED,TNC-TRANSIT,0.0,Work
SCHOOLBUS,TNC-TRANSIT,0.0,Work
ESCOOTER,TNC-TRANSIT,0.0,Work
EBIKE,TNC-TRANSIT,0.0,Work
All,TAXI,0.0,Work
DRIVEALONE,TAXI,0.0,Work
SHARED2,TAXI,0.0,Work
SHARED3,TAXI,0.0,Work
WALK,TAXI,0.0,Work
BIKE,TAXI,0.0,Work
WALK-TRANSIT,TAXI,0.0,Work
PNR-TRANSIT,TAXI,0.0,Work
KNR-TRANSIT,TAXI,0.0,Work
TNC-TRANSIT,TAXI,0.0,Work
TAXI,TAXI,0.0,Work
TNC-REG,TAXI,0.0,Work
TNC-SHARED,TAXI,0.0,Work
SCHOOLBUS,TAXI,0.0,Work
ESCOOTER,TAXI,0.0,Work
EBIKE,TAXI,0.0,Work
All,TNC-REG,1312.67220154742,Work
DRIVEALONE,TNC-REG,0.0,Work
SHARED2,TNC-REG,0.0,Work
SHARED3,TNC-REG,0.0,Work
WALK,TNC-REG,0.0,Work
BIKE,TNC-REG,0.0,Work
WALK-TRANSIT,TNC-REG,0.0,Work
PNR-TRANSIT,TNC-REG,0.0,Work
KNR-TRANSIT,TNC-REG,0.0,Work
TNC-TRANSIT,TNC-REG,0.0,Work
TAXI,TNC-REG,0.0,Work
TNC-REG,TNC-REG,1312.67220154742,Work
TNC-SHARED,TNC-REG,0.0,Work
SCHOOLBUS,TNC-REG,0.0,Work
ESCOOTER,TNC-REG,0.0,Work
EBIKE,TNC-REG,0.0,Work
All,TNC-SHARED,0.0,Work
DRIVEALONE,TNC-SHARED,0.0,Work
SHARED2,TNC-SHARED,0.0,Work
SHARED3,TNC-SHARED,0.0,Work
WALK,TNC-SHARED,0.0,Work
BIKE,TNC-SHARED,0.0,Work
WALK-TRANSIT,TNC-SHARED,0.0,Work
PNR-TRANSIT,TNC-SHARED,0.0,Work
KNR-TRANSIT,TNC-SHARED,0.0,Work
TNC-TRANSIT,TNC-SHARED,0.0,Work
TAXI,TNC-SHARED,0.0,Work
TNC-REG,TNC-SHARED,0.0,Work
TNC-SHARED,TNC-SHARED,0.0,Work
SCHOOLBUS,TNC-SHARED,0.0,Work
ESCOOTER,TNC-SHARED,0.0,Work
EBIKE,TNC-SHARED,0.0,Work
All,SCHOOLBUS,0.0,Work
DRIVEALONE,SCHOOLBUS,0.0,Work
SHARED2,SCHOOLBUS,0.0,Work
SHARED3,SCHOOLBUS,0.0,Work
WALK,SCHOOLBUS,0.0,Work
BIKE,SCHOOLBUS,0.0,Work
WALK-TRANSIT,SCHOOLBUS,0.0,Work
PNR-TRANSIT,SCHOOLBUS,0.0,Work
KNR-TRANSIT,SCHOOLBUS,0.0,Work
TNC-TRANSIT,SCHOOLBUS,0.0,Work
TAXI,SCHOOLBUS,0.0,Work
TNC-REG,SCHOOLBUS,0.0,Work
TNC-SHARED,SCHOOLBUS,0.0,Work
SCHOOLBUS,SCHOOLBUS,0.0,Work
ESCOOTER,SCHOOLBUS,0.0,Work
EBIKE,SCHOOLBUS,0.0,Work
All,ESCOOTER,0.0,Work
DRIVEALONE,ESCOOTER,0.0,Work
SHARED2,ESCOOTER,0.0,Work
SHARED3,ESCOOTER,0.0,Work
WALK,ESCOOTER,0.0,Work
BIKE,ESCOOTER,0.0,Work
WALK-TRANSIT,ESCOOTER,0.0,Work
PNR-TRANSIT,ESCOOTER,0.0,Work
KNR-TRANSIT,ESCOOTER,0.0,Work
TNC-TRANSIT,ESCOOTER,0.0,Work
TAXI,ESCOOTER,0.0,Work
TNC-REG,ESCOOTER,0.0,Work
TNC-SHARED,ESCOOTER,0.0,Work
SCHOOLBUS,ESCOOTER,0.0,Work
ESCOOTER,ESCOOTER,0.0,Work
EBIKE,ESCOOTER,0.0,Work
All,EBIKE,499.424713052356,Work
DRIVEALONE,EBIKE,0.0,Work
SHARED2,EBIKE,0.0,Work
SHARED3,EBIKE,0.0,Work
WALK,EBIKE,0.0,Work
BIKE,EBIKE,0.0,Work
WALK-TRANSIT,EBIKE,0.0,Work
PNR-TRANSIT,EBIKE,0.0,Work
KNR-TRANSIT,EBIKE,0.0,Work
TNC-TRANSIT,EBIKE,0.0,Work
TAXI,EBIKE,0.0,Work
TNC-REG,EBIKE,0.0,Work
TNC-SHARED,EBIKE,0.0,Work
SCHOOLBUS,EBIKE,0.0,Work
ESCOOTER,EBIKE,0.0,Work
EBIKE,EBIKE,499.424713052356,Work
All,All,173381.0237063428,University
DRIVEALONE,All,82882.35636654474,University
SHARED2,All,24754.22825999782,University
SHARED3,All,13455.940796575898,University
WALK,All,17462.154693575023,University
BIKE,All,575.771204061044,University
WALK-TRANSIT,All,21611.27556388104,University
PNR-TRANSIT,All,686.3203871736048,University
KNR-TRANSIT,All,389.9248763363631,University
TNC-TRANSIT,All,0.0,University
TAXI,All,0.0,University
TNC-REG,All,1577.416046452241,University
TNC-SHARED,All,0.0,University
SCHOOLBUS,All,0.0,University
ESCOOTER,All,5103.80202387078,University
EBIKE,All,0.0,University
All,DRIVEALONE,53749.91006781745,University
DRIVEALONE,DRIVEALONE,51726.8440315938,University
SHARED2,DRIVEALONE,0.0,University
SHARED3,DRIVEALONE,0.0,University
WALK,DRIVEALONE,1859.53992171209,University
BIKE,DRIVEALONE,0.0,University
WALK-TRANSIT,DRIVEALONE,0.0,University
PNR-TRANSIT,DRIVEALONE,0.0,University
KNR-TRANSIT,DRIVEALONE,0.0,University
TNC-TRANSIT,DRIVEALONE,0.0,University
TAXI,DRIVEALONE,0.0,University
TNC-REG,DRIVEALONE,163.526114511565,University
TNC-SHARED,DRIVEALONE,0.0,University
SCHOOLBUS,DRIVEALONE,0.0,University
ESCOOTER,DRIVEALONE,0.0,University
EBIKE,DRIVEALONE,0.0,University
All,SHARED2,32494.59385009309,University
DRIVEALONE,SHARED2,11456.5212309754,University
SHARED2,SHARED2,17556.7559835359,University
SHARED3,SHARED2,0.0,University
WALK,SHARED2,78.7819530012712,University
BIKE,SHARED2,0.0,University
WALK-TRANSIT,SHARED2,0.0,University
PNR-TRANSIT,SHARED2,0.0,University
KNR-TRANSIT,SHARED2,0.0,University
TNC-TRANSIT,SHARED2,0.0,University
TAXI,SHARED2,0.0,University
TNC-REG,SHARED2,0.0,University
TNC-SHARED,SHARED2,0.0,University
SCHOOLBUS,SHARED2,0.0,University
ESCOOTER,SHARED2,3402.53468258052,University
EBIKE,SHARED2,0.0,University
All,SHARED3,41058.771688108,University
DRIVEALONE,SHARED3,18923.5329571998,University
SHARED2,SHARED3,7133.26807390174,University
SHARED3,SHARED3,13300.7033157162,University
WALK,SHARED3,0.0,University
BIKE,SHARED3,0.0,University
WALK-TRANSIT,SHARED3,0.0,University
PNR-TRANSIT,SHARED3,0.0,University
KNR-TRANSIT,SHARED3,0.0,University
TNC-TRANSIT,SHARED3,0.0,University
TAXI,SHARED3,0.0,University
TNC-REG,SHARED3,0.0,University
TNC-SHARED,SHARED3,0.0,University
SCHOOLBUS,SHARED3,0.0,University
ESCOOTER,SHARED3,1701.26734129026,University
EBIKE,SHARED3,0.0,University
All,WALK,12194.681404129136,University
DRIVEALONE,WALK,715.468324936936,University
SHARED2,WALK,0.0,University
SHARED3,WALK,0.0,University
WALK,WALK,11479.2130791922,University
BIKE,WALK,0.0,University
WALK-TRANSIT,WALK,0.0,University
PNR-TRANSIT,WALK,0.0,University
KNR-TRANSIT,WALK,0.0,University
TNC-TRANSIT,WALK,0.0,University
TAXI,WALK,0.0,University
TNC-REG,WALK,0.0,University
TNC-SHARED,WALK,0.0,University
SCHOOLBUS,WALK,0.0,University
ESCOOTER,WALK,0.0,University
EBIKE,WALK,0.0,University
All,BIKE,632.7280404680225,University
DRIVEALONE,BIKE,0.0,University
SHARED2,BIKE,0.0,University
SHARED3,BIKE,0.0,University
WALK,BIKE,56.9568364069785,University
BIKE,BIKE,575.771204061044,University
WALK-TRANSIT,BIKE,0.0,University
PNR-TRANSIT,BIKE,0.0,University
KNR-TRANSIT,BIKE,0.0,University
TNC-TRANSIT,BIKE,0.0,University
TAXI,BIKE,0.0,University
TNC-REG,BIKE,0.0,University
TNC-SHARED,BIKE,0.0,University
SCHOOLBUS,BIKE,0.0,University
ESCOOTER,BIKE,0.0,University
EBIKE,BIKE,0.0,University
All,WALK-TRANSIT,31736.174091157834,University
DRIVEALONE,WALK-TRANSIT,59.9898218388127,University
SHARED2,WALK-TRANSIT,64.2042025601834,University
SHARED3,WALK-TRANSIT,155.237480859698,University
WALK,WALK-TRANSIT,3987.66290326248,University
BIKE,WALK-TRANSIT,0.0,University
