distbin,District,purpose,value
41,8: East County,Work,826.0
42,1: Downtown,Work,157.0
42,2: Central,Work,2790.0
42,3: North City,Work,3305.0
42,4: South Suburban,Work,1675.0
42,5: East Suburban,Work,1864.0
42,6: North County West,Work,2478.0
42,7: North County East,Work,2965.0
42,8: East County,Work,728.0
43,1: Downtown,Work,187.0
43,2: Central,Work,2512.0
43,3: North City,Work,2965.0
43,4: South Suburban,Work,1504.0
43,5: East Suburban,Work,1835.0
43,6: North County West,Work,2400.0
43,7: North County East,Work,2788.0
43,8: East County,Work,617.0
44,1: Downtown,Work,174.0
44,2: Central,Work,2528.0
44,3: North City,Work,2843.0
44,4: South Suburban,Work,1603.0
44,5: East Suburban,Work,1574.0
44,6: North County West,Work,2261.0
44,7: North County East,Work,2484.0
44,8: East County,Work,472.0
45,1: Downtown,Work,156.0
45,2: Central,Work,2537.0
45,3: North City,Work,3176.0
45,4: South Suburban,Work,1450.0
45,5: East Suburban,Work,1587.0
45,6: North County West,Work,1918.0
45,7: North County East,Work,2164.0
45,8: East County,Work,326.0
46,1: Downtown,Work,163.0
46,2: Central,Work,2421.0
46,3: North City,Work,3180.0
46,4: South Suburban,Work,1514.0
46,5: East Suburban,Work,1310.0
46,6: North County West,Work,1744.0
46,7: North County East,Work,1946.0
46,8: East County,Work,315.0
47,1: Downtown,Work,154.0
47,2: Central,Work,2403.0
47,3: North City,Work,2077.0
47,4: South Suburban,Work,1243.0
47,5: East Suburban,Work,1175.0
47,6: North County West,Work,1881.0
47,7: North County East,Work,1771.0
47,8: East County,Work,370.0
48,1: Downtown,Work,147.0
48,2: Central,Work,1895.0
48,3: North City,Work,1790.0
48,4: South Suburban,Work,1285.0
48,5: East Suburban,Work,1065.0
48,6: North County West,Work,1475.0
48,7: North County East,Work,1505.0
48,8: East County,Work,224.0
49,1: Downtown,Work,178.0
49,2: Central,Work,1734.0
49,3: North City,Work,2152.0
49,4: South Suburban,Work,1206.0
49,5: East Suburban,Work,1078.0
49,6: North County West,Work,1346.0
49,7: North County East,Work,1657.0
49,8: East County,Work,258.0
50,1: Downtown,Work,103.0
50,2: Central,Work,1867.0
50,3: North City,Work,1496.0
50,4: South Suburban,Work,1104.0
50,5: East Suburban,Work,942.0
50,6: North County West,Work,1206.0
50,7: North County East,Work,1769.0
50,8: East County,Work,222.0
99999,1: Downtown,Work,1045.0
99999,2: Central,Work,17118.0
99999,3: North City,Work,16990.0
99999,4: South Suburban,Work,26210.0
99999,5: East Suburban,Work,9808.0
99999,6: North County West,Work,12064.0
99999,7: North County East,Work,14619.0
99999,8: East County,Work,1924.0
1,1: Downtown,University,
1,2: Central,University,80.0
1,3: North City,University,2086.0
1,4: South Suburban,University,8.0
1,5: East Suburban,University,1561.0
1,6: North County West,University,3001.0
1,7: North County East,University,423.0
1,8: East County,University,29.0
2,1: Downtown,University,4.0
2,2: Central,University,69.0
2,3: North City,University,774.0
2,4: South Suburban,University,46.0
2,5: East Suburban,University,353.0
2,6: North County West,University,346.0
2,7: North County East,University,455.0
2,8: East County,University,62.0
3,1: Downtown,University,15.0
3,2: Central,University,96.0
3,3: North City,University,736.0
3,4: South Suburban,University,85.0
3,5: East Suburban,University,301.0
3,6: North County West,University,229.0
3,7: North County East,University,424.0
3,8: East County,University,19.0
