tourdur,purpose,freq
19,8: Joint Discretionary,0
19,7: Joint Maintenance,0
19,3: School,0
19,Total,0
19,2: University,0
19,1: Work,0
19.5,9: Work-based,0
19.5,4: Escort,0
19.5,6: Individual Discretionary,0
19.5,5: Individual Maintenance,0
19.5,8: Joint Discretionary,0
19.5,7: Joint Maintenance,0
19.5,3: School,0
19.5,Total,0
19.5,2: University,0
19.5,1: Work,0
20,9: Work-based,0
20,4: Escort,0
20,6: Individual Discretionary,0
20,5: Individual Maintenance,0
20,8: Joint Discretionary,0
20,7: Joint Maintenance,0
20,3: School,0
20,Total,0
20,2: University,0
20,1: Work,0
