Purpose,OutboundPeriod,ReturnPeriod,Percent
4,15,6,0
4,15,7,0
4,15,8,0
4,15,9,0
4,15,10,0
4,15,11,0
4,15,12,0
4,15,13,0
4,15,14,0
4,15,15,0.00002
4,15,16,0.00519
4,15,17,0.00304
4,15,18,0.00023
4,15,19,0.00466
4,15,20,0.00007
4,15,21,0.00011
4,15,22,0.00004
4,15,23,0
4,15,24,0.00155
4,15,25,0.00043
4,15,26,0.00008
4,15,27,0
4,15,28,0
4,15,29,0
4,15,30,0
4,15,31,0
4,15,32,0
4,15,33,0
4,15,34,0
4,15,35,0
4,15,36,0
4,15,37,0
4,15,38,0
4,15,39,0
4,15,40,0
4,16,1,0
4,16,2,0
4,16,3,0
4,16,4,0
4,16,5,0
4,16,6,0
4,16,7,0
4,16,8,0
4,16,9,0
4,16,10,0
4,16,11,0
4,16,12,0
4,16,13,0
4,16,14,0
4,16,15,0
4,16,16,0.00108
4,16,17,0.00365
4,16,18,0.00039
4,16,19,0.00113
4,16,20,0.00232
4,16,21,0.00016
4,16,22,0.00019
4,16,23,0.00004
4,16,24,0
4,16,25,0.00275
4,16,26,0
4,16,27,0
4,16,28,0.00066
4,16,29,0
4,16,30,0.00004
4,16,31,0.00001
4,16,32,0.00044
4,16,33,0.00022
4,16,34,0.00065
4,16,35,0
4,16,36,0
4,16,37,0
4,16,38,0
4,16,39,0
4,16,40,0
4,17,1,0
4,17,2,0
4,17,3,0
4,17,4,0
4,17,5,0
4,17,6,0
4,17,7,0
4,17,8,0
4,17,9,0
4,17,10,0
4,17,11,0
4,17,12,0
4,17,13,0
4,17,14,0
4,17,15,0
4,17,16,0
4,17,17,0.00003
4,17,18,0.00479
4,17,19,0.002
4,17,20,0.00598
4,17,21,0.00406
4,17,22,0.00005
4,17,23,0.00282
4,17,24,0.00059
4,17,25,0
4,17,26,0
4,17,27,0.00002
4,17,28,0
4,17,29,0
4,17,30,0
4,17,31,0.00021
4,17,32,0
4,17,33,0.00005
4,17,34,0
4,17,35,0
4,17,36,0
4,17,37,0
4,17,38,0
4,17,39,0
4,17,40,0
4,18,1,0
4,18,2,0
4,18,3,0
4,18,4,0
4,18,5,0
4,18,6,0
4,18,7,0
4,18,8,0
4,18,9,0
4,18,10,0
4,18,11,0
4,18,12,0
4,18,13,0
4,18,14,0
4,18,15,0
4,18,16,0
4,18,17,0
4,18,18,0.00179
4,18,19,0.00348
4,18,20,0.00475
4,18,21,0.00127
4,18,22,0.00116
4,18,23,0.00135
4,18,24,0.00001
4,18,25,0.00029
4,18,26,0.00247
4,18,27,0
4,18,28,0.00015
4,18,29,0
4,18,30,0.00018
4,18,31,0
4,18,32,0
4,18,33,0
4,18,34,0
4,18,35,0
4,18,36,0
4,18,37,0
4,18,38,0
4,18,39,0
4,18,40,0
4,19,1,0
4,19,2,0
4,19,3,0
4,19,4,0
4,19,5,0
4,19,6,0
4,19,7,0
4,19,8,0
4,19,9,0
4,19,10,0
4,19,11,0
4,19,12,0
4,19,13,0
4,19,14,0
4,19,15,0
4,19,16,0
4,19,17,0
4,19,18,0
4,19,19,0.0054
