USER_Accou,Status,Score,Match_addr,LongLabel,ShortLabel,Subregion,Region,Postal,PostalExt,CntryName,X,Y,ExInfo,StrucType,StrucDet,IN_Neighbo,USER_Sleep,USER_Total,USER_Large,USER_Class,USER_Theat,USER_Banqu,USER_Numbe,USER_Mobil,USER_AAA_R,USER_TMD_A,MGRA,TAZ
Rancho Bernardo Inn,M,95.07000000000,"17550 Bernardo Oaks Dr, San Diego, California, 92128","17550 Bernardo Oaks Dr, San Diego, CA, 92128, USA",17550 Bernardo Oaks Dr,San Diego County,California,92128,2112,United States,-117.06625722200,33.03066659390,NORTH COUNTY INLAND | NORTH COUNTY INLAND,Commercial,Lodging,North County Inland,287.00000000000,80000.00000000000,10140.00000000000,700.00000000000,1000.00000000000,850.00000000000,25.00000000000,4 Star,4 Diamond,Yes,4723,3315
San Diego Marriott Gaslamp Quarter,M,96.69000000000,"660 K St, San Diego, California, 92101","660 K St, San Diego, CA, 92101, USA",660 K St,San Diego County,California,92101,7036,United States,-117.15872461800,32.70835119430,DOWNTOWN,Commercial,Lodging,Downtown,306.00000000000,5543.00000000000,2304.00000000000,144.00000000000,300.00000000000,180.00000000000,7.00000000000,3 Star,3 Diamond,Yes,7135,1883
San Diego Marriott Del Mar,M,94.55000000000,"11966 El Camino Real, San Diego, California, 92130","11966 El Camino Real, San Diego, CA, 92130, USA",11966 El Camino Real,San Diego County,California,92130,2592,United States,-117.23853123200,32.93630329560,NORTH COUNTY COASTAL | NORTH COUNTY COASTAL,Commercial,Lodging,North County Coastal,284.00000000000,12075.00000000000,7290.00000000000,414.00000000000,986.00000000000,540.00000000000,17.00000000000,3 Star,3 Diamond,Yes,6112,848
San Diego Marriott La Jolla,M,99.18000000000,"4240 La Jolla Village Dr, La Jolla, California, 92037","4240 La Jolla Village Dr, La Jolla, CA, 92037, USA",4240 La Jolla Village Dr,San Diego County,California,92037,1407,United States,-117.21532995700,32.87240968220,LA JOLLA,Commercial,Lodging,La Jolla,372.00000000000,22000.00000000000,10000.00000000000,600.00000000000,1000.00000000000,1500.00000000000,23.00000000000,3 Star,3 Diamond,Yes,7545,1195
Sheraton La Jolla Hotel,M,99.05000000000,"3299 Holiday Ct, La Jolla, California, 92037","3299 Holiday Ct, La Jolla, CA, 92037, USA",3299 Holiday Ct,San Diego County,California,92037,1830,United States,-117.23231764400,32.87052710670,LA JOLLA,Commercial,Lodging,La Jolla,252.00000000000,9000.00000000000,2640.00000000000,120.00000000000,250.00000000000,170.00000000000,10.00000000000,3 Star,3 Diamond,Yes,7475,970
San Diego Marriott Mission Valley,M,96.10000000000,"8757 Rio San Diego Dr, San Diego, California, 92108","8757 Rio San Diego Dr, San Diego, CA, 92108, USA",8757 Rio San Diego Dr,San Diego County,California,92108,1620,United States,-117.14011696000,32.77577568440,OLD TOWN | MISSION VALLEY OLD TOWN,Commercial,Lodging,Mission Valley/Old Town,353.00000000000,22000.00000000000,8448.00000000000,500.00000000000,1100.00000000000,850.00000000000,17.00000000000,3 Star,,Yes,12972,2236
San Diego Mission Bay Resort,M,94.93000000000,"1775 E Mission Bay Dr, San Diego, California, 92109","1775 E Mission Bay Dr, San Diego, CA, 92109, USA",1775 E Mission Bay Dr,San Diego County,California,92109,6801,United States,-117.20965767100,32.77893968520,MISSION BAY BEACHES | MISSION BAY BEACHES,,,Mission Bay/Beaches,357.00000000000,26900.00000000000,9600.00000000000,525.00000000000,1000.00000000000,750.00000000000,13.00000000000,,3 Diamond,Yes,7058,1262
Shore House at The Del,M,99.11000000000,"1500 Orange Ave, Coronado, California, 92118","1500 Orange Ave, Coronado, CA, 92118, USA",1500 Orange Ave,San Diego County,California,92118,2918,United States,-117.17591707500,32.67953479790,CORONADO,Commercial,,Coronado,75.00000000000,78814.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,No,3938,1555
Sheraton San Diego Resort,M,93.33000000000,"1380 Harbor Island Dr, San Diego, California, 92101","1380 Harbor Island Dr, San Diego, CA, 92101, USA",1380 Harbor Island Dr,San Diego County,California,92101,1007,United States,-117.19664979600,32.72706404460,POINT LOMA HARBOR ISLAND SHELTER ISLAND | POINT LOMA HARBOR ISLAND SHELTER ISLAND,,,"Point Loma, Harbor Island & Shelter Island",1053.00000000000,130000.00000000000,20000.00000000000,1500.00000000000,2000.00000000000,2000.00000000000,45.00000000000,,3 Diamond,Yes,7306,1348
Sheraton Mission Valley San Diego,M,96.11000000000,"1433 Camino del Rio S, San Diego, California, 92108","1433 Camino del Rio S, San Diego, CA, 92108, USA",1433 Camino del Rio S,San Diego County,California,92108,3521,United States,-117.15077354400,32.76584388350,OLD TOWN | MISSION VALLEY OLD TOWN,Commercial,Lodging,Mission Valley/Old Town,260.00000000000,12213.00000000000,4914.00000000000,300.00000000000,540.00000000000,380.00000000000,10.00000000000,4 Star,3 Diamond,Yes,11360,2088
