Time,dtaPeriod,TOD,Factors
7:15 PM,196,30,0.167329784
7:20 PM,197,30,0.162708578
7:25 PM,198,30,0.156839857
7:30 PM,199,31,0.174029071
7:35 PM,200,31,0.170998288
7:40 PM,201,31,0.169786836
7:45 PM,202,31,0.166800889
7:50 PM,203,31,0.161949048
7:55 PM,204,31,0.156435867
8:00 PM,205,32,0.168294787
8:05 PM,206,32,0.167474279
8:10 PM,207,32,0.169267169
8:15 PM,208,32,0.168737994
8:20 PM,209,32,0.165264927
8:25 PM,210,32,0.160960844
8:30 PM,211,33,0.170707706
8:35 PM,212,33,0.169015722
8:40 PM,213,33,0.168815383
8:45 PM,214,33,0.166953162
8:50 PM,215,33,0.163878526
8:55 PM,216,33,0.160629501
9:00 PM,217,34,0.16429466
9:05 PM,218,34,0.166355452
9:10 PM,219,34,0.170006181
9:15 PM,220,34,0.170241608
9:20 PM,221,34,0.166938106
9:25 PM,222,34,0.162163993
9:30 PM,223,35,0.175429927
9:35 PM,224,35,0.172501926
9:40 PM,225,35,0.170270328
9:45 PM,226,35,0.166273794
9:50 PM,227,35,0.160682235
9:55 PM,228,35,0.15484179
10:00 PM,229,36,0.170838971
10:05 PM,230,36,0.171219564
10:10 PM,231,36,0.172955937
10:15 PM,232,36,0.169369421
10:20 PM,233,36,0.161989162
10:25 PM,234,36,0.153626945
10:30 PM,235,37,0.177953476
10:35 PM,236,37,0.175432731
10:40 PM,237,37,0.173924873
10:45 PM,238,37,0.167442722
10:50 PM,239,37,0.157572807
10:55 PM,240,37,0.147673391
11:00 PM,241,38,0.173612698
11:05 PM,242,38,0.172961728
11:10 PM,243,38,0.174453701
11:15 PM,244,38,0.168756709
11:20 PM,245,38,0.159819022
11:25 PM,246,38,0.150396141
11:30 PM,247,39,0.177023312
11:35 PM,248,39,0.176511238
11:40 PM,249,39,0.176063795
11:45 PM,250,39,0.16776373
11:50 PM,251,39,0.156764093
11:55 PM,252,39,0.145873831
12:00 AM,253,40,0.044854457
12:05 AM,254,40,0.0441403
12:10 AM,255,40,0.043796782
12:15 AM,256,40,0.042053878
12:20 AM,257,40,0.039586874
12:25 AM,258,40,0.03715603
12:30 AM,259,40,0.035104863
12:35 AM,260,40,0.034089676
12:40 AM,261,40,0.033439703
12:45 AM,262,40,0.032126198
12:50 AM,263,40,0.030446574
12:55 AM,264,40,0.028831134
1:00 AM,265,40,0.027495932
1:05 AM,266,40,0.026972519
1:10 AM,267,40,0.026681432
1:15 AM,268,40,0.0258371
1:20 AM,269,40,0.024867113
1:25 AM,270,40,0.023844694
1:30 AM,271,40,0.023305912
1:35 AM,272,40,0.023550895
1:40 AM,273,40,0.023926053
1:45 AM,274,40,0.023621407
1:50 AM,275,40,0.022954258
1:55 AM,276,40,0.022279877
2:00 AM,277,40,0.021765504
2:05 AM,278,40,0.021766408
2:10 AM,279,40,0.021844151
2:15 AM,280,40,0.021489785
2:20 AM,281,40,0.021083891
2:25 AM,282,40,0.020954619
2:30 AM,283,40,0.021108299
2:35 AM,284,40,0.021799855
2:40 AM,285,40,0.022387453
2:45 AM,286,40,0.022231061
2:50 AM,287,40,0.021628096
2:55 AM,288,40,0.020977219
