TAZ,MGRA
916,17699
917,18785
918,18230
919,19156
920,22901
921,18942
922,18378
923,18569
924,19154
925,18189
926,18971
927,17703
928,17762
929,18865
930,18241
931,18191
932,18838
933,20059
934,18610
935,18947
936,18196
937,18234
938,17704
939,22902
940,18380
941,18431
942,18413
943,18882
944,14247
945,19407
946,22905
947,18418
948,18978
949,18919
950,18613
951,17713
952,18815
953,18572
954,19430
955,19419
956,17736
957,17739
958,18242
959,19162
960,19398
961,22907
962,18427
963,18565
964,18386
965,18573
966,20042
967,18955
968,18574
969,22908
970,17711
971,20062
972,18922
973,18387
974,18575
975,18878
976,18388
977,18576
978,18244
979,18786
980,19393
981,18389
982,18203
983,22911
984,18983
985,17742
986,18200
987,18435
988,18255
989,18444
990,18857
991,18249
992,18394
993,18436
994,22913
995,18615
996,19421
997,18614
998,17712
999,18927
1000,18578
1001,18585
1002,22942
1003,18851
1004,20032
1005,18959
1006,18445
1007,18580
1008,18843
1009,18935
1010,18616
1011,18989
1012,17718
1013,19188
1014,19244
1015,18848
1016,22922
1017,19403
1018,18582
1019,18960
1020,18583
1021,18961
1022,18891
1023,18256
1024,19413
1025,18455
1026,19196
1027,19982
1028,18448
1029,18586
1030,18587
1031,19193
1032,22935
1033,18459
1034,18846
1035,18993
1036,20039
1037,18936
1038,18588
1039,22936
1040,22926
1041,18589
1042,19395
1043,19195
1044,22927
1045,22928
1046,14251
1047,18594
1048,19006
1049,14255
1050,17720
1051,17721
1052,18180
1053,18939
1054,18893
1055,22930
1056,19414
1057,17722
1058,19213
1059,18963
1060,18205
1061,18593
1062,19048
1063,18991
1064,18940
1065,19198
1066,19182
1067,19050
1068,17724
1069,18468
1070,17725
1071,20045
1072,19980
1073,22941
1074,18931
1075,18258
1076,18604
1077,18259
1078,18994
1079,19417
1080,17727
1081,18264
1082,19436
1083,18995
1084,18467
1085,18898
1086,18465
1087,21434
1088,22938
1089,19010
1090,18016
1091,19327
1092,18451
1093,18450
1094,19758
1095,19012
1096,22939
1097,17982
1098,18900
1099,22953
1100,17985
1101,19204
1102,19049
1103,18469
1104,18477
1105,18036
1106,18038
1107,18998
1108,19016
1109,22943
1110,18272
1111,22954
1112,19291
1113,19329
1114,19003
1115,19410
1116,18904
1117,18905
1118,19015
1119,17992
1120,18029
1121,19183
1122,18906
1123,19007
1124,17986
1125,19293
1126,18270
1127,19017
1128,18912
1129,19002
1130,20056
1131,19018
1132,18023
1133,19019
1134,18913
1135,19294
1136,18541
1137,19766
1138,22947
1139,18488
1140,19361
1141,19009
1142,19295
1143,19328
1144,22951
1145,19216
1146,18555
1147,14257
1148,19021
1149,19713
1150,18001
1151,19024
1152,19023
1153,19022
1154,19206
1155,22956
1156,19305
1157,19333
1158,19820
1159,19849
1160,14206
1161,22963
1162,19774
1163,19027
1164,18534
1165,19028
1166,19033
1167,19718
1168,19743
1169,18490
1170,14207
1171,19030
1172,19304
1173,22959
1174,19338
1175,19208
1176,19335
1177,18491
1178,19721
1179,19307
1180,20386
1181,19221
1182,14221
1183,19031
1184,19342
1185,17998
1186,14258
1187,19345
1188,14211
1189,19032
1190,19747
1191,18040
1192,19794
1193,19309
1194,18560
1195,19852
1196,19039
1197,19320
1198,19732
1199,20835
1200,19037
1201,14220
1202,19754
1203,19669
1204,20317
1205,22965
1206,19346
1207,18032
1208,19842
1209,14214
1210,19319
1211,19043
1212,22968
1213,19344
1214,19042
1215,18497
1216,18045
1217,20933
1218,20945
1219,21013
1220,19736
1221,19347
1222,19046
1223,19348
1224,19678
1225,19317
1226,19315
1227,18009
1228,19685
1229,19628
1230,19349
1231,19318
1232,19856
1233,14203
1234,18000
1235,19350
1236,22977
1237,19656
1238,18498
