stop_period,purpose,freq,stop_skim_period
23.75,4: Escort,2988,5: EV
23.75,5: Individual Maintenance,2041,5: EV
23.75,6: Individual Discretionary,2152,5: EV
23.75,7: Joint Maintenance,318,5: EV
23.75,8: Joint Discretionary,174,5: EV
23.75,9: Work-based,77,5: EV
24.25,1: Work,15532,5: EV
24.25,2: University,375,5: EV
24.25,3: School,288,5: EV
24.25,4: Escort,3077,5: EV
24.25,5: Individual Maintenance,1646,5: EV
24.25,6: Individual Discretionary,1738,5: EV
24.25,7: Joint Maintenance,236,5: EV
24.25,8: Joint Discretionary,180,5: EV
24.25,9: Work-based,63,5: EV
