tourdur,purpose,freq
16.5,5: Individual Maintenance,30
16.5,6: Individual Discretionary,69
16.5,7: Joint Maintenance,2
16.5,8: Joint Discretionary,4
17.0,1: Work,111
17.0,2: University,96
17.0,3: School,215
17.0,5: Individual Maintenance,18
17.0,6: Individual Discretionary,35
17.0,7: Joint Maintenance,3
17.0,8: Joint Discretionary,2
17.5,1: Work,43
17.5,2: University,49
17.5,3: School,110
17.5,5: Individual Maintenance,10
17.5,6: Individual Discretionary,20
18.0,1: Work,13
18.0,2: University,10
18.0,3: School,55
18.0,5: Individual Maintenance,5
18.0,6: Individual Discretionary,13
18.5,1: Work,4
18.5,2: University,14
18.5,3: School,24
18.5,5: Individual Maintenance,2
18.5,6: Individual Discretionary,6
19.0,1: Work,2
19.0,2: University,2
19.0,3: School,20
19.0,5: Individual Maintenance,3
19.0,6: Individual Discretionary,2
19.5,3: School,12
19.5,5: Individual Maintenance,1
19.5,6: Individual Discretionary,1
20.0,2: University,1
20.0,3: School,6
