purpose,freq_dep,freq_arr,skim_period,period
7: Joint Maintenance,258.0,73.0,1: EA,5.25
7: Joint Maintenance,13.131348761029953,127.3028849608976,1: EA,0.25
7: Joint Maintenance,324.0,115.0,1: EA,5.75
7: Joint Maintenance,438.0,217.0,2: AM,6.25
7: Joint Maintenance,517.0,388.0,2: AM,6.75
7: Joint Maintenance,629.0,472.0,2: AM,7.25
7: Joint Maintenance,971.0,413.0,2: AM,7.75
7: Joint Maintenance,1518.0,460.0,2: AM,8.25
7: Joint Maintenance,2057.0,489.0,2: AM,8.75
7: Joint Maintenance,2627.0,490.0,3: MD,9.25
7: Joint Maintenance,4902.0,835.0,3: MD,9.75
7: Joint Maintenance,5816.0,2215.0,3: MD,10.25
7: Joint Maintenance,5788.0,2886.0,3: MD,10.75
8: Joint Discretionary,5294.0,2398.0,4: PM,17.25
8: Joint Discretionary,3210.0,2039.0,4: PM,16.75
8: Joint Discretionary,2766.0,1424.0,4: PM,16.25
8: Joint Discretionary,1826.0,1237.0,4: PM,15.75
8: Joint Discretionary,1178.0,1766.0,3: MD,13.25
8: Joint Discretionary,1633.0,1668.0,3: MD,14.75
8: Joint Discretionary,1269.0,1682.0,3: MD,14.25
8: Joint Discretionary,1239.0,1873.0,3: MD,13.75
8: Joint Discretionary,2249.0,1671.0,3: MD,15.25
8: Joint Discretionary,8435.0,3501.0,4: PM,18.25
8: Joint Discretionary,772.0,6488.0,5: EV,20.75
8: Joint Discretionary,4783.0,5535.0,5: EV,19.25
8: Joint Discretionary,1648.0,6559.0,5: EV,19.75
8: Joint Discretionary,1188.0,6736.0,5: EV,20.25
8: Joint Discretionary,43.0,390.0,5: EV,23.75
8: Joint Discretionary,483.0,6380.0,5: EV,21.25
8: Joint Discretionary,337.0,2555.0,5: EV,21.75
8: Joint Discretionary,216.0,1671.0,5: EV,22.25
8: Joint Discretionary,161.0,994.0,5: EV,22.75
8: Joint Discretionary,80.0,725.0,5: EV,23.25
8: Joint Discretionary,1237.0,1895.0,3: MD,12.75
8: Joint Discretionary,10485.0,4274.0,4: PM,18.75
8: Joint Discretionary,1842.0,1711.0,3: MD,12.25
8: Joint Discretionary,6647.0,2885.0,4: PM,17.75
8: Joint Discretionary,2205.0,1356.0,3: MD,11.25
8: Joint Discretionary,15.14519020588704,162.09718501710057,1: EA,0.25
8: Joint Discretionary,10.04433218767259,97.12061705505059,1: EA,0.75
